idno	translation	other-identifier	author-name	num-authors	author-gender	author-nationality	book-title	publ-first	publ-edition	publ-ref	publ-decade	publisher	collection	subgenre	type	ISBN	status	counter	read	Bemerkungen	protagonists	narration	setting-type	setting-place	setting-time	translator(s)	title-original	publ-original	Startkorpus	Duplikat prüfen	scifi	sentimental	policier	blanche
AlexanderD_Tour	yes		Alexander, David	1	male	USA	La tour, prends garde...		1992	1992	1990s	Le Masque	Romans d'aventures	policier	populaire	2-7024-2256-X	tei	1								Catelot, G.-A.	Murder points a finger				no	no	yes	no
Amelin_Jardins	no		Amelin, Michel	1	male	FRA	Les jardins du casino		1989	1989	1980s	Le Masque	Romans d'aventures	policier	populaire	2-7024-1879-1	tei	1													no	no	yes	no
Amila_Balcon	no	rv0672	Amila, Jean	1	male	FRA	Balcon Hiroshima	1985		1985	1980s	(unknown)	(unknown)	policier	populaire	(unknown)	tei	1													no	no	yes	no
Amila_Boucher	no	rv0679	Amila, Jean	1	male	FRA	Le Boucher des Hurlus	1982		1982	1980s	(unknown)	(unknown)	policier	populaire	(unknown)	tei	1													no	no	yes	no
Amila_Nef	no	rv0684	Amila, Jean	1	male	FRA	Nef Dingues	1972		1972	1970s	(unknown)	(unknown)	policier	populaire	(unknown)	tei	1													no	no	yes	no
Andre_Celle	no		Andre, Alix	1	female	FRA	Celle qu’on n’attend pas		1977	1977	1970s	Tallandier	(unknown)	sentimental	populaire	(unknown)	tei	1													no	yes	no	no
Andre_Chevalier	no		Andre, Alix	1	female	FRA	Le chevalier errant		1972	1972	1970s	Tallandier	(unknown)	sentimental	populaire	(unknown)	tei	1													no	yes	no	no
Andre_Maison	no		Andre, Alix	1	female	FRA	La maison du corsaire		1970	1970	1970s	Tallandier	(unknown)	sentimental	populaire	(unknown)	tei	1													no	yes	no	no
Andre_Mal	no		Andre, Alix	1	female	FRA	Ce mal s'appelle l'amour		1977	1977	1970s	Tallandier	(unknown)	sentimental	populaire	(unknown)	tei	1													no	yes	no	no
Andre_Neiges	no		Andre, Alix	1	female	FRA	Les neiges d'Offenburg		1977	1977	1970s	Tallandier	(unknown)	sentimental	populaire	(unknown)	tei	1													no	yes	no	no
Andreota_Pieuvre	no		Andreota, Paul	1	male	FRA	La pieuvre		1989	1989	1980s	Le Masque	Romans d'aventures	policier	populaire	2-7024-1892-9	tei	1	no												no	no	yes	no
Andreota_Zigzags	no		Andreota, Paul	1	male	FRA	Zigzags		1989	1989	1980s	Le Masque	Romans d'aventures	policier	populaire	2-7024-1964-X	tei	1	no												no	no	yes	no
Andrevon_Cauchemar	no		Andrevon, Jean-Pierre	1	male	FRA	Cauchemar...chauchemars!		1982	1982	1980s	J'ai lu	Science-Fiction et Fantastique	scifi	populaire	2-277-21281-4	tei	1		Kapitel nicht erkannt											yes	no	no	no
