pleins	ADJ	plein
naturel	NOUN	naturel
qu'	ADV	qu'
:	PUNCT	:
je	PRON	je
pas	ADV	pas
,	PUNCT	,
,	PUNCT	,
dit	VERB	dire
vie	NOUN	vie
qu'	PRON	qu'
à	ADP	à
les	DET	le
m'	PRON	me
,	PUNCT	,
Choiseul	PROPN	Choiseul
Pourquoi	ADV	pourquoi
...	PUNCT	...
était	AUX	être
beau	ADJ	beau
pas	ADV	pas
amis	NOUN	ami
chose	NOUN	chose
ai	AUX	avoir
régulières	ADJ	régulier
des	DET	un
,	PUNCT	,
qui	PRON	qui
s'	PRON	se
hypocrisie	NOUN	hypocrisie
.	PUNCT	.
étaitr	AUX	étaitr
:	PUNCT	:
bon	VERB	bon
)	PUNCT	)
amitié	NOUN	amitié
façon	NOUN	façon
ne	ADV	ne
en	PRON	en
c'	PRON	ce
tout	ADV	tout
Fidèle	ADJ	fidèle
.	PUNCT	.
se	PRON	se
.	PUNCT	.
sa	DET	son
de	ADP	de
être	AUX	être
le	DET	le
Avec	ADP	avec
pas	ADV	pas
dit	VERB	dire
:	PUNCT	:
et	CCONJ	et
.	PUNCT	.
.	PUNCT	.
de	ADP	de
,	PUNCT	,
?	PUNCT	?
?	PUNCT	?
bien	ADV	bien
la	DET	le
Boufflers	PROPN	Boufflers
être	AUX	être
homme	NOUN	homme
,	PUNCT	,
Autant	ADV	autant
pour	ADP	pour
ai	AUX	avoir
il	PRON	il
.	PUNCT	.
comble	NOUN	comble
sur	ADP	sur
Il	PRON	il
pourrais	VERB	pouvoir
l'	DET	le
est	AUX	être
femme	NOUN	femme
eu	VERB	avoir
exemple	NOUN	exemple
,	PUNCT	,
,	PUNCT	,
,	PUNCT	,
qu'	SCONJ	que
de	ADP	de
entière	ADJ	entier
seules	ADJ	seul
,	PUNCT	,
aussi	ADV	aussi
.	PUNCT	.
atteint	VERB	atteindre
qu'	PRON	qu'
de	ADP	de
lui	PRON	lui
son	DET	son
ses	DET	son
il	PRON	il
une	DET	un
.	PUNCT	.
Allons	VERB	aller
.	PUNCT	.
admiration	NOUN	admiration
.	PUNCT	.
,	PUNCT	,
—	PUNCT	—
parle	VERB	parle
chacun	PRON	chacun
davantage	ADV	davantage
;	PUNCT	;
amour	NOUN	amour
Les	DET	le
chose	NOUN	chose
.	PUNCT	.
Pas	ADV	pas
,	PUNCT	,
jamais	ADV	jamais
Joueur	ADJ	joueur
main	NOUN	main
ce	PRON	ce
vous	PRON	vous
lui	PRON	lui
y	PRON	y
son	DET	son
plus	ADV	plus
de	ADP	de
des	DET	un
effleurait	VERB	effleurer
;	PUNCT	;
et	CCONJ	et
ne	ADV	ne
la	DET	le
—	PUNCT	—
de	ADP	de
jamais	ADV	jamais
me	PRON	me
l'	PRON	l'
Non	ADV	non
on	PRON	on
l'	DET	le
même	ADJ	même
non	ADV	non
âme	NOUN	âme
égal	ADJ	égal
que	SCONJ	que
.	PUNCT	.
»	PUNCT	»
fers	NOUN	fer
me	PRON	me
devait	VERB	devoir
.	PUNCT	.
Dans	ADP	dans
les	DET	le
n'	ADV	n'
pas	ADV	pas
.	PUNCT	.
.	PUNCT	.
froid	ADJ	froid
n'	ADV	n'
de	ADP	de
pas	ADV	pas
souvent	ADV	souvent
se	PRON	se
la	DET	le
peu	ADV	peu
.	PUNCT	.
eût	AUX	avoir
traits	NOUN	trait
vous	PRON	vous
a	AUX	avoir
ceci	PRON	ceci
:	PUNCT	:
.	PUNCT	.
quelque	DET	quelque
forme	NOUN	forme
la	DET	le
.	PUNCT	.
non	ADV	non
relire	VERB	relire
,	PUNCT	,
dire	VERB	dire
.	PUNCT	.
dès	ADP	dès
entière	ADJ	entier
baissé	VERB	baisser
:	PUNCT	:
qui	PRON	qui
yeux	NOUN	oeil
rien	PRON	rien
soirs	NOUN	soir
absolu	ADJ	absolu
sur	ADP	sur
aucunement	ADV	aucunement
y	PRON	y
.	PUNCT	.
faut	VERB	falloir
d'	DET	d'
à	ADP	à
Bon	ADJ	bon
le	DET	le
gardait	VERB	garder
que	SCONJ	que
;	PUNCT	;
,	PUNCT	,
.	PUNCT	.
à	ADP	à
et	CCONJ	et
la	DET	le
semble	VERB	semble
.	PUNCT	.
clair	ADJ	clair
?	PUNCT	?
sa	DET	son
il	PRON	il
.	PUNCT	.
était	AUX	être
.	PUNCT	.
de	ADP	de
sa	DET	son
l'	PRON	l'
de	ADP	de
avait	VERB	avoir
degré	NOUN	degré
de	ADP	de
,	PUNCT	,
de	ADP	de
qu'	SCONJ	que
,	PUNCT	,
est	AUX	être
s'	SCONJ	s'
sont	AUX	être
que	ADV	que
tout	ADJ	tout
sans	ADP	sans
prodigue	ADJ	prodigue
découvre	VERB	découvrir
en	ADP	en
autre	ADJ	autre
—	PUNCT	—
feu	NOUN	feu
sceptique	NOUN	sceptique
ton	NOUN	ton
détestait	VERB	détester
pourtant	ADV	pourtant
,	PUNCT	,
la	DET	le
.	PUNCT	.
garde	NOUN	garde
au	ADP	au
ironique	ADJ	ironique
cela	PRON	cela
,	PUNCT	,
Mais	CCONJ	mais
Inspiré	VERB	inspirer
à	ADP	à
en	ADP	en
travaillait	VERB	travailler
était	AUX	être
je	PRON	je
une	DET	un
pas	ADV	pas
naissance	NOUN	naissance
finitude	NOUN	finitude
de	ADP	de
était	AUX	être
qu'	PRON	qu'
pour	ADP	pour
dischose	NOUN	dischose
ses	DET	son
avec	ADP	avec
n'	ADV	n'
j'	PRON	je
une	DET	un
pour	ADP	pour
,	PUNCT	,
à	ADP	à
cela	PRON	cela
autre	ADJ	autre
l'	PRON	l'
.	PUNCT	.
confuse	ADJ	confus
.	PUNCT	.
plusieurs	DET	plusieurs
Lui	PRON	lui
Il	PRON	il
nuit	NOUN	nuit
forme	NOUN	forme
qui	PRON	qui
posé	VERB	poser
.	PUNCT	.
-on	PRON	on
Pas	ADV	pas
les	DET	le
moi	PRON	moi
homme	NOUN	homme
est	AUX	être
l'	DET	le
étais	VERB	être
.	PUNCT	.
n'	ADV	n'
ont	AUX	avoir
sienne	PRON	sienne
assemblée	NOUN	assemblée
générosité	NOUN	générosité
[	PUNCT	[
de	ADP	de
perdre	VERB	perdre
toujours	ADV	toujours
beauté	NOUN	beauté
dames	NOUN	dame
,	PUNCT	,
Prison	NOUN	prison
des	DET	un
un	PRON	un
qui	PRON	qui
