poudre	NOUN	poudre
rudes	ADJ	rude
,	PUNCT	,
les	DET	le
.	PUNCT	.
,	PUNCT	,
.	PUNCT	.
à	ADP	à
Ma	DET	mon
—	PUNCT	—
…	PUNCT	…
hôpital	NOUN	hôpital
donne	VERB	donne
,	PUNCT	,
les	DET	le
j'	PRON	je
sol	NOUN	sol
en	ADP	en
prendre	VERB	prendre
aucun	DET	aucun
hurlements	NOUN	hurlement
séduit	VERB	séduire
,	PUNCT	,
pouvoir	VERB	pouvoir
à	ADP	à
,	PUNCT	,
et	CCONJ	et
ordinaire	ADV	ordinaire
.	PUNCT	.
soir	NOUN	soir
brouette	NOUN	brouette
à	ADP	à
sur	ADP	sur
un	DET	un
sœurs	NOUN	sœur
C'	PRON	ce
luxe	NOUN	luxe
…	PUNCT	…
Elle	PRON	lui
brillait	VERB	briller
et	CCONJ	et
me	PRON	me
rude	ADJ	rude
et	CCONJ	et
où	PRON	où
et	CCONJ	et
mémoire	NOUN	mémoire
m'	PRON	me
le	DET	le
le	DET	le
qui	PRON	qui
s'	SCONJ	s'
décembre	NOUN	décembre
charriant	VERB	charrier
tout	ADV	tout
et	CCONJ	et
un	DET	un
besoins	NOUN	besoin
de	ADP	de
pas	ADV	pas
qui	PRON	qui
va	VERB	aller
établissement	NOUN	établissement
d'	ADP	de
flamand	ADJ	flamand
…	PUNCT	…
cuisine	NOUN	cuisine
connaître	VERB	connaître
fois	NOUN	fois
,	PUNCT	,
marne	NOUN	marne
médecin	NOUN	médecin
Je	PRON	je
on	PRON	on
,	PUNCT	,
robustes	ADJ	robuste
,	PUNCT	,
cependant	ADV	cependant
l'	DET	le
qui	PRON	qui
de	ADP	de
compter	VERB	compter
,	PUNCT	,
un	DET	un
nous	PRON	nous
,	PUNCT	,
verve	NOUN	verve
de	ADP	de
l'	PRON	l'
à	ADP	à
suite	NOUN	suite
tout	ADJ	tout
gaie	ADJ	gai
6	NUM	6
de	ADP	de
le	DET	le
,	PUNCT	,
jours	NOUN	jour
-	NOUN	-
pour	ADP	pour
moi	PRON	moi
encore	ADV	encore
à	ADP	à
qui	PRON	qui
enfant	NOUN	enfant
le	DET	le
nette	ADJ	net
simple	ADJ	simple
qui	PRON	qui
à	ADP	à
une	DET	un
Santerre	PROPN	Santerre
le	DET	le
bonne	ADJ	bon
dont	PRON	dont
temps	NOUN	temps
violemment	ADV	violemment
a	AUX	avoir
manger	VERB	manger
fait	VERB	faire
,	PUNCT	,
années	NOUN	année
risquait	VERB	risquer
les	DET	le
,	PUNCT	,
loups	NOUN	loup
et	CCONJ	et
d'	ADP	de
ans	NOUN	an
peu	ADV	peu
grande	ADJ	grand
marquée	VERB	marquer
aggloméré	VERB	agglomérer
cave	NOUN	cave
-	ADV	-
l'	DET	le
,	PUNCT	,
village	NOUN	village
manquer	VERB	manquer
la	DET	le
,	PUNCT	,
,	PUNCT	,
bonheur	NOUN	bonheur
,	PUNCT	,
»	PUNCT	»
accoucheuse	NOUN	accoucheur
presque	ADV	presque
,	PUNCT	,
à	ADP	à
…	PUNCT	…
des	DET	un
arrivée	NOUN	arrivée
seulement	ADV	seulement
parlé	VERB	parler
juste	ADV	juste
à	ADP	à
,	PUNCT	,
poêle	NOUN	poêle
exception	NOUN	exception
dans	ADP	dans
Elle	PRON	lui
eau	NOUN	eau
monde	NOUN	monde
allait	VERB	aller
une	DET	un
