cotonnades	NOUN	cotonnade
d'	ADP	de
genre	NOUN	genre
secrétaire	NOUN	secrétaire
coordonnées	NOUN	coordonnée
,	PUNCT	,
un	DET	un
un	DET	un
,	PUNCT	,
avec	ADP	avec
attirer	VERB	attirer
,	PUNCT	,
de	ADP	de
.	PUNCT	.
autres	ADJ	autre
de	ADP	de
je	PRON	je
...	PUNCT	...
tiroirs	NOUN	tiroir
du	ADP	de
ça	PRON	cela
bien	ADV	bien
de	ADP	de
bâtard	ADJ	bâtard
...	PUNCT	...
investir	VERB	investir
Elle	PRON	lui
.	PUNCT	.
...	PUNCT	...
remarqué	VERB	remarquer
noté	VERB	noter
.	PUNCT	.
disposer	VERB	disposer
Nobel	PROPN	Nobel
mais	CCONJ	mais
enrichis	VERB	enrichir
lu	VERB	lire
été	AUX	être
il	PRON	il
a	AUX	avoir
vous	PRON	vous
l'	PRON	l'
pas	ADV	pas
douzaine	NOUN	douzaine
gestes	NOUN	geste
nutrition	NOUN	nutrition
Ici	ADV	ici
cuisine	NOUN	cuisine
tout	ADJ	tout
beau	ADJ	beau
il	PRON	il
«	PUNCT	«
.	PUNCT	.
et	CCONJ	et
quelques	DET	quelque
sous-tasses	NOUN	sous-tasse
ce	PRON	ce
j'	PRON	je
est	AUX	être
—	PUNCT	—
...	PUNCT	...
tableaux	NOUN	tableau
j'	PRON	je
je	PRON	je
a	AUX	avoir
il	PRON	il
en	PRON	en
syntaxe	NOUN	syntaxe
.	PUNCT	.
théière	NOUN	théière
de	ADP	de
général	NOUN	général
assiette	NOUN	assiette
étiquettes	NOUN	étiquette
livre	NOUN	livre
sa	DET	son
ai	AUX	avoir
aimait	VERB	aimer
qui	PRON	qui
ça	PRON	cela
revues	NOUN	revue
,	PUNCT	,
si	SCONJ	si
ma	DET	mon
voir	VERB	voir
Des	DET	un
...	PUNCT	...
n'	ADV	n'
essentiellement	ADV	essentiellement
la	DET	le
.	PUNCT	.
gens	NOUN	gens
pot	NOUN	pot
des	DET	un
c'	PRON	ce
m'	PRON	me
avoir	VERB	avoir
?	PUNCT	?
mauve	ADJ	mauve
habitudes	NOUN	habitude
,	PUNCT	,
être	AUX	être
Ça	PRON	cela
une	DET	un
des	ADP	de
uniquement	ADV	uniquement
nègre	NOUN	nègre
tendue	VERB	tendre
a	AUX	avoir
ai	AUX	avoir
indiennes	ADJ	indien
,	PUNCT	,
ce	PRON	ce
.	PUNCT	.
par	ADP	par
,	PUNCT	,
,	PUNCT	,
,	PUNCT	,
ne	ADV	ne
continuer	VERB	continuer
excuse	VERB	excuse
savez	VERB	savoir
connais	VERB	connaître
être	AUX	être
est	AUX	être
de	ADP	de
livres	NOUN	livre
documents	NOUN	document
et	CCONJ	et
je	PRON	je
,	PUNCT	,
est	AUX	être
parler	VERB	parler
pour	ADP	pour
ventes	NOUN	vente
demande	VERB	demande
féliciter	VERB	féliciter
aime	VERB	aime
blonde	ADJ	blond
a	AUX	avoir
tout	ADV	tout
,	PUNCT	,
occasion	NOUN	occasion
essaie	VERB	essayer
les	DET	le
me	PRON	me
Tout	PRON	tout
