gibier	NOUN	gibier
colonel	NOUN	colonel
;	PUNCT	;
aucun	PRON	aucun
La	DET	le
lorsqu'	SCONJ	lorsque
je	PRON	je
il	PRON	il
.	PUNCT	.
elle	PRON	lui
un	DET	un
sur	ADP	sur
elle	PRON	lui
en	ADP	en
guêpes	NOUN	guêpe
,	PUNCT	,
raisonnable	ADJ	raisonnable
peinture	NOUN	peinture
elle	PRON	lui
gardes	NOUN	garde
l'	DET	le
en	ADP	en
Drôles	ADJ	drôle
peintres	NOUN	peintre
faire	VERB	faire
aimeraient	VERB	aimer
récit	NOUN	récit
ou	CCONJ	ou
.	PUNCT	.
que	SCONJ	que
bêtes	NOUN	bête
Des	DET	un
ayant	AUX	avoir
De	ADP	de
de	ADP	de
c'	PRON	ce
m'	PRON	me
se	PRON	se
angoisse	NOUN	angoisse
tout	PRON	tout
m'	PRON	me
qu'	SCONJ	que
!	PUNCT	!
.	PUNCT	.
sais	VERB	savoir
pour	ADP	pour
lui	PRON	lui
ouverte	ADJ	ouvert
vins	NOUN	vin
.	PUNCT	.
quand	SCONJ	quand
se	PRON	se
un	DET	un
hommes	NOUN	homme
ne	ADV	ne
.	PUNCT	.
aiment	VERB	aimer
allègrement	ADV	allègrement
sœurs	NOUN	sœur
,	PUNCT	,
ne	ADV	ne
,	PUNCT	,
ont	AUX	avoir
avec	ADP	avec
veux	VERB	vouloir
vos	DET	votre
pour	ADP	pour
.	PUNCT	.
disparaissent	VERB	disparaître
peintres	NOUN	peintre
sont	AUX	être
Dans	ADP	dans
Ma	DET	mon
serai	AUX	être
à	ADP	à
être	AUX	être
sa	DET	son
s'	PRON	se
dessiner	VERB	dessiner
belle	ADJ	bel
matin	NOUN	matin
ronge	VERB	ronger
Pour	ADP	pour
des	ADP	de
Pas	ADV	pas
me	PRON	me
.	PUNCT	.
,	PUNCT	,
de	ADP	de
est	AUX	être
mère	NOUN	mère
cœur	NOUN	cœur
à	ADP	à
,	PUNCT	,
foyer	NOUN	foyer
pensées	NOUN	pensée
peu	ADV	peu
mais	CCONJ	mais
son	DET	son
Quels	ADJ	quel
rêve	NOUN	rêve
veille	VERB	veille
qui	PRON	qui
pensée	NOUN	pensée
goût	NOUN	goût
demande	VERB	demande
»	PUNCT	»
Les	DET	le
,	PUNCT	,
de	ADP	de
et	CCONJ	et
...	PUNCT	...
la	PRON	le
un	DET	un
deviendras	VERB	devenir
le	DET	le
bon	ADJ	bon
de	ADP	de
,	PUNCT	,
en	ADP	en
s'	PRON	se
.	PUNCT	.
visage	NOUN	visage
l'	PRON	l'
chose	NOUN	chose
seulement	ADV	seulement
exemple	NOUN	exemple
noms	NOUN	nom
Dieu	PROPN	Dieu
comme	ADP	comme
ne	ADV	ne
est	AUX	être
.	PUNCT	.
pour	ADP	pour
de	ADP	de
n'	ADV	n'
encore	ADV	encore
j'	PRON	je
,	PUNCT	,
venant	VERB	venir
un	DET	un
à	ADP	à
...	PUNCT	...
La	DET	le
,	PUNCT	,
bout	NOUN	bout
,	PUNCT	,
aime	VERB	aime
Elle	PRON	lui
aime	VERB	aime
difficile	ADJ	difficile
mort	ADJ	mort
ne	ADV	ne
nous	PRON	nous
bon	ADJ	bon
trop	ADV	trop
avoir	VERB	avoir
à	ADP	à
.	PUNCT	.
berlingot	NOUN	berlingot
attire	VERB	attire
ma	DET	mon
mère	NOUN	mère
ne	ADV	ne
autour	ADV	autour
je	PRON	je
.	PUNCT	.
ne	ADV	ne
pas	ADV	pas
montré	VERB	montrer
tandis	ADV	tandis
la	DET	le
serait	AUX	être
fonder	VERB	fonder
quand	SCONJ	quand
apôtres	NOUN	apôtre
Rockefeller	PROPN	Rockefeller
Il	PRON	il
le	DET	le
tu	PRON	tu
un	DET	un
en	PRON	en
des	DET	un
on	PRON	on
sont	AUX	être
c'	PRON	ce
Les	DET	le
Bouche	NOUN	bouche
.	PUNCT	.
.	PUNCT	.
que	SCONJ	que
la	DET	le
,	PUNCT	,
des	DET	un
elle	PRON	lui
les	DET	le
,	PUNCT	,
me	PRON	me
tombe	VERB	tombe
aux	ADP	à
de	ADP	de
églises	NOUN	église
glisse	VERB	glisse
J'	PRON	je
beaux	ADJ	beal
les	DET	le
vue	NOUN	vue
qu'	PRON	qu'
qui	PRON	qui
un	DET	un
dans	ADP	dans
un	DET	un
nababs	NOUN	nabab
père	NOUN	père
connaissons	VERB	connaître
.	PUNCT	.
dans	ADP	dans
chaleur	NOUN	chaleur
je	PRON	je
.	PUNCT	.
mon	DET	mon
ma	DET	mon
sent	VERB	sentir
on	PRON	on
est	AUX	être
est	VERB	être
bien	ADV	bien
fortune	NOUN	fortune
Nid	NOUN	nid
refuser	VERB	refuser
Tout	ADJ	tout
me	PRON	me
du	ADP	de
l'	DET	le
homme	NOUN	homme
c'	PRON	ce
de	ADP	de
m'	PRON	me
âmes	NOUN	âme
demeure	VERB	demeure
main	NOUN	main
peintre	NOUN	peintre
je	PRON	je
d'	ADP	de
les	DET	le
mère	NOUN	mère
à	ADP	à
