objecteurs	NOUN	objecteur
;	PUNCT	;
monuments	NOUN	monument
meilleure	ADJ	meilleur
,	PUNCT	,
La	DET	le
manquât	VERB	manquer
avait	VERB	avoir
,	PUNCT	,
le	DET	le
prenaient	VERB	prendre
grandir	VERB	grandir
durs	ADJ	dur
.	PUNCT	.
il	PRON	il
donne	VERB	donne
,	PUNCT	,
Sans	ADP	sans
formes	NOUN	forme
d'	ADP	de
de	ADP	de
,	PUNCT	,
deux	NUM	deux
qu'	PRON	qu'
une	DET	un
ne	ADV	ne
on	PRON	on
car	CCONJ	car
,	PUNCT	,
pays	NOUN	pays
entre	ADP	entre
ses	DET	son
rire	VERB	rire
ma	DET	mon
.	PUNCT	.
facteur	NOUN	facteur
timbré	VERB	timbrer
,	PUNCT	,
Il	PRON	il
surnommé	VERB	surnommer
moustache	NOUN	moustache
trop	ADV	trop
hauts	ADJ	haut
imprimer	VERB	imprimer
»	PUNCT	»
voir	VERB	voir
ces	DET	ce
guerre	NOUN	guerre
doux	ADJ	doux
des	DET	un
car	CCONJ	car
du	ADP	de
côté	NOUN	côté
Ambroise	PROPN	Ambroise
Le	DET	le
la	DET	le
ainsi	ADV	ainsi
était	AUX	être
la	DET	le
la	DET	le
musée	NOUN	musée
défendît	VERB	défendre
revint	VERB	revenir
frères	NOUN	frère
vivons	VERB	vivre
,	PUNCT	,
bien	ADV	bien
revenu	VERB	revenir
poil	NOUN	poil
risque	VERB	risque
tué	VERB	tuer
aux	ADP	à
,	PUNCT	,
naïf	ADJ	naïf
guerre	NOUN	guerre
ne	ADV	ne
joué	VERB	jouer
de	ADP	de
-	NOUN	-
avec	ADP	avec
rien	PRON	rien
ni	CCONJ	ni
trente	NUM	trente
de	ADP	de
leur	PRON	leur
merci	PROPN	merci
d'	ADP	de
que	PRON	que
n'	ADV	n'
Clos	NOUN	clos
la	DET	le
cours	NOUN	cours
Joli	PROPN	Joli
,	PUNCT	,
équatoriale	ADJ	équatorial
qu'	SCONJ	que
à	ADP	à
le	DET	le
.	PUNCT	.
occasion	NOUN	occasion
.	PUNCT	.
à	ADP	à
s'	PRON	se
occupation	NOUN	occupation
;	PUNCT	;
sur	ADP	sur
gravés	VERB	graver
d'	ADP	de
volants	NOUN	volant
dont	PRON	dont
ou	CCONJ	ou
ses	DET	son
«	PUNCT	«
à	ADP	à
«	PUNCT	«
cliché	NOUN	cliché
plupart	NOUN	plupart
,	PUNCT	,
et	CCONJ	et
mention	NOUN	mention
ballon	NOUN	ballon
»	PUNCT	»
.	PUNCT	.
idées	NOUN	idée
considérait	VERB	considérer
cerfs	NOUN	cerf
différent	ADJ	différent
de	ADP	de
mépris	NOUN	mépris
péri	VERB	périr
raccrocher	VERB	raccrocher
opinions	NOUN	opinion
connues	VERB	connaître
pacifisme	NOUN	pacifisme
on	PRON	on
au	ADP	au
,	PUNCT	,
en	ADP	en
choisi	VERB	choisir
y	PRON	y
guides	NOUN	guide
qui	PRON	qui
la	DET	le
sur	ADP	sur
mère	NOUN	mère
même	ADV	même
libre	ADJ	libre
à	ADP	à
lançait	VERB	lancer
activité	NOUN	activité
aux	ADP	à
existence	NOUN	existence
été	AUX	être
voit	VERB	voir
je	PRON	je
et	CCONJ	et
touristique	ADJ	touristique
,	PUNCT	,
existe	VERB	existe
pendant	ADP	pendant
«	PUNCT	«
visage	NOUN	visage
.	PUNCT	.
.	PUNCT	.
cerf	NOUN	cerf
dois	VERB	devoir
et	CCONJ	et
Fleury	NOUN	fleury
peut-être	ADV	peut-être
que	SCONJ	que
de	ADP	de
un	DET	un
appelait	VERB	appeler
gros	ADJ	gros
«	PUNCT	«
.	PUNCT	.
.	PUNCT	.
des	ADP	de
trouve	VERB	trouve
en	ADP	en
photos	NOUN	photo
la	DET	le
guides	NOUN	guide
petit	ADJ	petit
Cléry	PROPN	Cléry
oncle	NOUN	oncle
,	PUNCT	,
.	PUNCT	.
l'	DET	le
un	DET	un
volontaires	ADJ	volontaire
d'	ADP	de
fameux	ADJ	fameux
lié	VERB	lier
Le	DET	le
s'	SCONJ	s'
notre	DET	notre
On	PRON	on
bon	ADJ	bon
estime	NOUN	estime
L'	DET	le
signalent	VERB	signaler
dont	PRON	dont
que	ADV	que
rôle	NOUN	rôle
pas	ADV	pas
et	CCONJ	et
médaille	NOUN	médaille
avait	AUX	avoir
du	ADP	de
,	PUNCT	,
éléphants	NOUN	éléphant
notre	DET	notre
pacifique	NOUN	pacifique
ses	DET	son
se	PRON	se
dernières	ADJ	dernier
dans	ADP	dans
,	PUNCT	,
on	PRON	on
lui	PRON	lui
d'	DET	d'
musée	NOUN	musée
ses	DET	son
14	NOUN	14
reflet	NOUN	reflet
à	ADP	à
.	PUNCT	.
le	DET	le
-il	PRON	il
un	PRON	un
qui	PRON	qui
condamnât	VERB	condamner
,	PUNCT	,
-	NOUN	-
Fleury	PROPN	Fleury
Mon	DET	mon
bien	ADV	bien
celle	PRON	celui
le	DET	le
,	PUNCT	,
ce	DET	ce
origine	NOUN	origine
à	ADP	à
,	PUNCT	,
les	DET	le
,	PUNCT	,
qualifie	VERB	qualifier
coupés	VERB	couper
ainsi	ADV	ainsi
tombeau	NOUN	tombeau
d'	ADP	de
reçu	VERB	recevoir
de	ADP	de
commença	VERB	commencer
était	AUX	être
mon	DET	mon
ses	DET	son
,	PUNCT	,
histoire	NOUN	histoire
souriante	ADJ	souriant
pendant	ADP	pendant
où	PRON	où
Il	PRON	il
cette	DET	ce
,	PUNCT	,
modestie	NOUN	modestie
l'	DET	le
y	PRON	y
gardé	VERB	garder
«	PUNCT	«
lassitudes	NOUN	lassitude
dans	ADP	dans
avait	AUX	avoir
de	ADP	de
vicissitudes	NOUN	vicissitude
de	ADP	de
.	PUNCT	.
Il	PRON	il
à	ADP	à
que	SCONJ	que
,	PUNCT	,
le	DET	le
le	DET	le
se	PRON	se
deux	NUM	deux
18	NOUN	18
de	ADP	de
les	DET	le
godillots	NOUN	godillot
vie	NOUN	vie
flamme	NOUN	flamme
Duprat	PROPN	Duprat
célébrer	VERB	célébrer
l'	DET	le
Des	DET	un
Fleury	PROPN	Fleury
le	DET	le
ajouter	VERB	ajouter
pays	NOUN	pays
ont	AUX	avoir
vie	NOUN	vie
avec	ADP	avec
la	DET	le
des	ADP	de
avec	ADP	avec
même	ADV	même
marotte	NOUN	marotte
subvention	NOUN	subvention
,	PUNCT	,
attraction	NOUN	attraction
le	DET	le
Français	NOUN	français
municipalité	NOUN	municipalité
de	ADP	de
