enveloppes	NOUN	enveloppe
à	ADP	à
dépouillement	NOUN	dépouillement
sentie	VERB	sentir
avec	ADP	avec
elle	PRON	lui
,	PUNCT	,
dieu	NOUN	dieu
,	PUNCT	,
.	PUNCT	.
.	PUNCT	.
plus	ADV	plus
de	ADP	de
décachetant	VERB	décacheter
...	PUNCT	...
multiplient	VERB	multiplier
semblait	VERB	sembler
à	ADP	à
Kate	PROPN	Kate
qu'	SCONJ	que
Les	DET	le
quaker	ADJ	quaker
-t	PRON	-t
une	DET	un
qu'	SCONJ	que
tôt	ADV	tôt
empilant	VERB	empiler
au	ADP	au
à	ADP	à
on	PRON	on
plonge	VERB	plonger
et	CCONJ	et
leur	DET	leur
Sans	ADP	sans
ces	DET	ce
,	PUNCT	,
jour	NOUN	jour
,	PUNCT	,
baptiser	VERB	baptiser
tout	ADV	tout
grand	ADJ	grand
,	PUNCT	,
avaient	VERB	avoir
,	PUNCT	,
don	NOUN	don
plaques	NOUN	plaque
n'	ADV	n'
signalant	VERB	signaler
)	PUNCT	)
en	ADP	en
tombèrent	VERB	tomber
de	ADP	de
,	PUNCT	,
lui	PRON	lui
le	DET	le
je	PRON	je
désiraient	VERB	désirer
Leur	DET	leur
se	PRON	se
du	ADP	de
eut	VERB	avoir
quelque	DET	quelque
,	PUNCT	,
ne	ADV	ne
insensée	ADJ	insensé
Umphelby	PROPN	Umphelby
échappé	VERB	échapper
,	PUNCT	,
sa	DET	son
lieu	NOUN	lieu
moderne	ADJ	moderne
dans	ADP	dans
.	PUNCT	.
prêtait	VERB	prêter
état	NOUN	état
force	NOUN	force
yeux	NOUN	oeil
-	PUNCT	-
la	DET	le
que	SCONJ	que
qu'	SCONJ	que
soit	VERB	être
cours	NOUN	cours
il	PRON	il
organisme	NOUN	organisme
nos	DET	notre
.	PUNCT	.
a	VERB	avoir
,	PUNCT	,
été	AUX	être
depuis	ADP	depuis
service	NOUN	service
un	DET	un
vue	NOUN	vue
point	NOUN	point
sur	ADP	sur
lire	VERB	lire
second	ADJ	second
de	ADP	de
néant	NOUN	néant
ou	CCONJ	ou
un	DET	un
Elle	PRON	lui
lui	PRON	lui
ayant	AUX	avoir
pour	ADP	pour
ou	CCONJ	ou
et	CCONJ	et
elle	PRON	lui
encore	ADV	encore
réduisant	VERB	réduire
son	DET	son
plus	ADV	plus
en	ADP	en
une	DET	un
si	SCONJ	si
les	PRON	le
de	ADP	de
(	PUNCT	(
Il	PRON	il
,	PUNCT	,
En	ADP	en
mémoire	NOUN	mémoire
