425	NUM	425
cousin	NOUN	cousin
suis	AUX	être
mesurait	VERB	mesurer
alinéas	NOUN	alinéa
Duchesse	NOUN	duchesse
brusquement	ADV	brusquement
pas	ADV	pas
DE	ADP	de
le	PRON	le
de	ADP	de
.	PUNCT	.
longues	ADJ	long
elles	PRON	lui
a	VERB	avoir
maintenus	VERB	maintenir
.	PUNCT	.
Royale	ADJ	royal
constatation	NOUN	constatation
dans	ADP	dans
avez	AUX	avoir
Mais	CCONJ	mais
en	PRON	en
Altesse	NOUN	altesse
Il	PRON	il
et	CCONJ	et
-il	PRON	il
dansèrent	VERB	danser
4L	NUM	4L
d'	ADP	de
d'	ADP	de
extrémité	NOUN	extrémité
sur	ADP	sur
,	PUNCT	,
.	PUNCT	.
de	DET	de
trop	ADV	trop
...	PUNCT	...
personnel	ADJ	personnel
saumon	NOUN	saumon
ouvraient	VERB	ouvrir
en	ADP	en
jeune	ADJ	jeune
ses	DET	son
«	PUNCT	«
«	PUNCT	«
fêter	VERB	fêter
inséra	VERB	insérer
de	ADP	de
cette	DET	ce
que	PRON	que
Notre	DET	notre
,	PUNCT	,
«	PUNCT	«
le	DET	le
les	DET	le
en	ADP	en
de	ADP	de
autre	ADJ	autre
donne	VERB	donne
cou	NOUN	cou
pu	VERB	pouvoir
suis	AUX	être
danseurs	NOUN	danseur
très	ADV	très
SCIENCE	NOUN	science
notre	DET	notre
main	NOUN	main
satiné	ADJ	satiner
PRESSES	NOUN	presse
détacha	VERB	détacher
victoire	NOUN	victoire
se	PRON	se
termes	NOUN	terme
Barrière	NOUN	barrière
petite	ADJ	petit
ceux	PRON	celui
de	ADP	de
-moi	PRON	moi
bien	ADV	bien
de	ADP	de
nuages	NOUN	nuage
avons	AUX	avoir
.	PUNCT	.
invitée	VERB	inviter
famille	NOUN	famille
et	CCONJ	et
appareil	NOUN	appareil
.	PUNCT	.
Elle	PRON	lui
Jon	PROPN	Jon
emmener	VERB	emmener
«	PUNCT	«
exemple	NOUN	exemple
Ketrall	PROPN	Ketrall
quelque	DET	quelque
en	ADP	en
couleurs	NOUN	couleur
quelque	DET	quelque
de	ADP	de
un	DET	un
—	PUNCT	—
roux	ADJ	roux
Jon	PROPN	Jon
et	CCONJ	et
auteur	NOUN	auteur
écran	NOUN	écran
.	PUNCT	.
L'	DET	le
.	PUNCT	.
LA	DET	le
de	ADP	de
acquiesça	VERB	acquiescer
quand	ADV	quand
,	PUNCT	,
allons	VERB	aller
décence	NOUN	décence
représentation	NOUN	représentation
faite	VERB	faire
chère	ADJ	cher
,	PUNCT	,
décence	NOUN	décence
taches	NOUN	tache
je	PRON	je
cuivre	NOUN	cuivre
ou	CCONJ	ou
au	ADP	au
loi	NOUN	loi
pleine	ADJ	plein
que	SCONJ	que
l'	DET	le
le	DET	le
Roi	NOUN	roi
il	PRON	il
tenue	NOUN	tenue
une	DET	un
Petra	PROPN	Petra
remplacé	VERB	remplacer
.	PUNCT	.
Tant	ADV	tant
un	DET	un
pas	ADV	pas
un	DET	un
le	DET	le
.	PUNCT	.
,	PUNCT	,
choses	NOUN	chose
sur	ADP	sur
apparat	NOUN	apparat
la	DET	le
Ah	INTJ	Ah
seront	AUX	être
»	PUNCT	»
Les	DET	le
passaient	VERB	passer
ferait	VERB	faire
soupira	VERB	soupirer
.	PUNCT	.
»	PUNCT	»
pour	ADP	pour
article	NOUN	article
est	AUX	être
consentement	NOUN	consentement
de	ADP	de
...	PUNCT	...
un	DET	un
joue	NOUN	joue
