Boudienny	PROPN	Boudienny
,	PUNCT	,
,	PUNCT	,
pieds	NOUN	pied
que	SCONJ	que
afin	ADV	afin
butte	NOUN	butte
;	PUNCT	;
la	DET	le
marchant	VERB	marcher
loin	ADV	loin
Wehrmacht	PROPN	Wehrmacht
que	SCONJ	que
cimetières	NOUN	cimetière
exclusivement	ADV	exclusivement
la	DET	le
rouge	ADJ	rouge
plus	ADV	plus
extrêmement	ADV	extrêmement
Ruska	PROPN	Ruska
commandant	NOUN	commandant
.	PUNCT	.
,	PUNCT	,
créer	VERB	créer
laquelle	PRON	lequel
s'	PRON	se
et	CCONJ	et
,	PUNCT	,
à	ADP	à
Portant	VERB	porter
un	DET	un
la	DET	le
les	DET	le
le	DET	le
cantonnés	VERB	cantonner
elle	PRON	lui
l'	DET	le
destiné	VERB	destiner
réalité	NOUN	réalité
les	DET	le
ces	DET	ce
,	PUNCT	,
les	DET	le
mauvaise	ADJ	mauvais
que	SCONJ	que
de	ADP	de
,	PUNCT	,
,	PUNCT	,
au	ADP	au
-	PROPN	-
oppression	NOUN	oppression
Ruska	PROPN	Ruska
récidivistes	ADJ	récidiviste
de	ADP	de
jusqu'	ADP	jusque
l'	DET	le
là	ADV	là
La	DET	le
patrouillait	VERB	patrouiller
l'	DET	le
aux	ADP	à
depuis	ADP	depuis
plate	NOUN	plate
de	ADP	de
observait	VERB	observer
de	ADP	de
d'	ADP	de
les	DET	le
où	PRON	où
dans	ADP	dans
le	DET	le
la	DET	le
de	ADP	de
création	NOUN	création
,	PUNCT	,
printemps	NOUN	printemps
milliers	NOUN	millier
.	PUNCT	.
vastes	ADJ	vaste
.	PUNCT	.
engins	NOUN	engin
lieu	NOUN	lieu
,	PUNCT	,
donnait	VERB	donner
qui	PRON	qui
soviétique	ADJ	soviétique
corps	NOUN	corps
toutes	ADJ	tout
,	PUNCT	,
l'	DET	le
de	ADP	de
,	PUNCT	,
plaçant	VERB	placer
fer	NOUN	fer
passait	VERB	passer
,	PUNCT	,
cavalerie	NOUN	cavalerie
de	ADP	de
superficie	NOUN	superficie
.	PUNCT	.
signifie	VERB	signifier
par	ADP	par
aridité	NOUN	aridité
de	ADP	de
au	ADP	au
de	ADP	de
zone	NOUN	zone
camp	NOUN	camp
à	ADP	à
de	ADP	de
la	DET	le
été	NOUN	été
que	SCONJ	que
au	ADP	au
des	DET	un
l'	DET	le
David	PROPN	David
importante	ADJ	important
de	ADP	de
