1	NUM	1
Elle	PRON	lui
ne	ADV	ne
approcher	VERB	approcher
.	PUNCT	.
enfiler	VERB	enfiler
épaules	NOUN	épaule
s'	PRON	se
simplement	ADV	simplement
retourna	VERB	retourner
était	AUX	être
et	CCONJ	et
dans	ADP	dans
se	PRON	se
à	ADP	à
,	PUNCT	,
.	PUNCT	.
arme	NOUN	arme
vers	ADP	vers
Si	SCONJ	si
possible	ADJ	possible
courut	VERB	courir
homme	NOUN	homme
regarda	VERB	regarder
inquiétez	VERB	inquiéter
rebord	NOUN	rebord
une	DET	un
rentable	ADJ	rentable
pénétrait	VERB	pénétrer
heures	NOUN	heure
moment	NOUN	moment
...	PUNCT	...
-t	PRON	-t
pas	ADV	pas
connais	VERB	connaître
précaution	NOUN	précaution
mentir	VERB	mentir
sa	DET	son
milliers	NOUN	millier
quelle	DET	quel
à	ADP	à
des	DET	un
demain	ADV	demain
elles	PRON	lui
.	PUNCT	.
pas	ADV	pas
elle	PRON	lui
.	PUNCT	.
ses	DET	son
Bonjour	PROPN	Bonjour
un	DET	un
considérant	VERB	considérer
—	PUNCT	—
Si	SCONJ	si
Il	PRON	il
tignasse	NOUN	tignasse
Cela	PRON	cela
arrière	NOUN	arrière
couvrit	VERB	couvrir
.	PUNCT	.
revolver	NOUN	revolver
et	CCONJ	et
pas	ADV	pas
les	DET	le
vingt-sept	NUM	vingt-sept
le	PRON	le
sur	ADP	sur
nous	PRON	nous
lui	PRON	lui
visage	NOUN	visage
jeta	VERB	jeter
d'	ADP	de
.	PUNCT	.
à	ADP	à
souffle	NOUN	souffle
interdisait	VERB	interdire
—	PUNCT	—
verre	NOUN	verre
.	PUNCT	.
.	PUNCT	.
s'	PRON	se
pour	ADP	pour
pas	ADV	pas
38	NUM	38
éclairer	VERB	éclairer
.	PUNCT	.
sur	ADP	sur
des	DET	un
devant	ADP	devant
d'	ADP	de
tôt	ADV	tôt
Là	ADV	là
inspectant	VERB	inspecter
cette	DET	ce
de	ADP	de
.	PUNCT	.
après	ADP	après
arrêta	VERB	arrêter
associer	VERB	associer
—	PUNCT	—
à	ADP	à
.	PUNCT	.
il	PRON	il
arme	NOUN	arme
d'	ADP	de
mais	CCONJ	mais
revolver	NOUN	revolver
,	PUNCT	,
du	ADP	de
votre	DET	votre
,	PUNCT	,
vendredi	NOUN	vendredi
temps	NOUN	temps
ce	PRON	ce
entretenir	VERB	entretenir
J'	PRON	je
en	ADP	en
n'	ADV	n'
Que	PRON	que
Riley	PROPN	Riley
habitudes	NOUN	habitude
irlandais	ADJ	irlandais
et	CCONJ	et
Andy	PROPN	Andy
fumant	VERB	fumer
ans	NOUN	an
.	PUNCT	.
,	PUNCT	,
une	DET	un
à	ADP	à
d'	ADP	de
pouvons	VERB	pouvoir
et	CCONJ	et
remarqua	VERB	remarquer
de	ADP	de
,	PUNCT	,
autre	ADJ	autre
siège	NOUN	siège
contre	ADP	contre
avec	ADP	avec
la	DET	le
qu'	PRON	qu'
les	DET	le
désiraient	VERB	désirer
lui	PRON	lui
son	DET	son
je	PRON	je
le	DET	le
Elle	PRON	lui
retombaient	VERB	retomber
mais	CCONJ	mais
Mélanie	PROPN	Mélanie
elle	PRON	lui
Le	DET	le
carrure	NOUN	carrure
mystérieux	ADJ	mystérieux
désirable	ADJ	désirable
plus	ADV	plus
un	DET	un
fauteuil	NOUN	fauteuil
il	PRON	il
une	DET	un
trouvait	VERB	trouver
sur	ADP	sur
la	DET	le
plus	ADV	plus
avec	ADP	avec
son	DET	son
calme	ADJ	calme
où	PRON	où
intéresser	VERB	intéresser
Ne	ADV	ne
arme	NOUN	arme
plutôt	ADV	plutôt
sur	ADP	sur
courut	VERB	courir
avait	VERB	avoir
noirs	ADJ	noir
anormal	ADJ	anormal
en	ADP	en
en	ADP	en
,	PUNCT	,
un	DET	un
La	DET	le
oblige	VERB	obliger
et	CCONJ	et
ouvert	VERB	ouvrir
mêlaient	VERB	mêler
.	PUNCT	.
Cela	PRON	cela
de	ADP	de
.	PUNCT	.
de	ADP	de
ses	DET	son
dans	ADP	dans
veste	NOUN	veste
attends	VERB	attendre
aux	ADP	à
se	PRON	se
tenta	VERB	tenter
un	DET	un
la	DET	le
.	PUNCT	.
ne	ADV	ne
et	CCONJ	et
.	PUNCT	.
ses	DET	son
mis	VERB	mettre
ne	ADV	ne
tout	ADV	tout
de	ADP	de
interlocuteurs	NOUN	interlocuteur
affaire	NOUN	affaire
essayez	VERB	essayer
Je	PRON	je
ce	DET	ce
l'	PRON	l'
rien	PRON	rien
mais	CCONJ	mais
que	SCONJ	que
les	DET	le
chez	ADP	chez
argentés	ADJ	argenté
discuter	VERB	discuter
signe	NOUN	signe
pas	ADV	pas
en	ADP	en
n'	ADV	n'
sa	DET	son
sifflaient	VERB	siffler
bouts	NOUN	bout
prévu	VERB	prévoir
l'	PRON	l'
Des	DET	un
diriger	VERB	diriger
répondit	VERB	répondre
nouvelle	ADJ	nouveau
éviter	VERB	éviter
aucune	DET	aucun
sur	ADP	sur
Andy	PROPN	Andy
sorte	NOUN	sorte
essayait	VERB	essayer
s'	PRON	se
à	ADP	à
-t	PRON	-t
battait	VERB	battre
arme	NOUN	arme
cuir	NOUN	cuir
.	PUNCT	.
Mélanie	PROPN	Mélanie
en	ADP	en
sens	NOUN	sens
vous	PRON	vous
été	AUX	être
