regardèrent	VERB	regarder
pas	ADV	pas
tour	NOUN	tour
voyant	VERB	voir
aller	VERB	aller
j'	PRON	je
,	PUNCT	,
,	PUNCT	,
cinq	NUM	cinq
convenu	VERB	convenir
certitude	NOUN	certitude
cinq	NUM	cinq
auquel	PRON	auquel
moins	ADV	moins
accord	NOUN	accord
les	DET	le
quart	NOUN	quart
ils	PRON	il
dans	ADP	dans
fut	AUX	être
abord	NOUN	abord
9.35	NOUN	9.35
ils	PRON	il
à	ADV	à
chance	NOUN	chance
Mercier	PROPN	Mercier
Ils	PRON	il
avantages	NOUN	avantage
.	PROPN	.
bonheur	NOUN	bonheur
à	ADP	à
au	ADP	au
éloigner	VERB	éloigner
aventure	NOUN	aventure
pour	ADP	pour
l'	DET	le
en	PRON	en
,	PUNCT	,
circulait	VERB	circuler
minutes	NOUN	minute
Le	DET	le
dans	ADP	dans
comme	SCONJ	comme
partit	VERB	partir
.	PUNCT	.
l'	PRON	l'
modérément	ADV	modérément
vue	NOUN	vue
le	DET	le
du	ADP	de
rapport	NOUN	rapport
9.50	NOUN	9.50
,	PUNCT	,
avaient	VERB	avoir
trouvèrent	VERB	trouver
et	CCONJ	et
lorsque	SCONJ	lorsque
,	PUNCT	,
à	ADP	à
leur	PRON	leur
je	PRON	je
tiraient	VERB	tirer
âge	NOUN	âge
inestimable	ADJ	inestimable
de	ADP	de
et	CCONJ	et
ils	PRON	il
silhouette	NOUN	silhouette
qu'	PRON	qu'
le	DET	le
chez	ADP	chez
moins	ADV	moins
diverses	ADJ	divers
,	PUNCT	,
dire	ADV	dire
tard	ADV	tard
la	DET	le
en	PRON	en
Mercier	PROPN	Mercier
était	AUX	être
habitude	NOUN	habitude
réalité	NOUN	réalité
fut	AUX	être
amour	NOUN	amour
première	ADJ	premier
Mercier	PROPN	Mercier
en	PRON	en
de	ADP	de
qui	PRON	qui
nos	DET	notre
prolongée	VERB	prolonger
instant	NOUN	instant
est	ADV	est
étaient	AUX	être
toute	ADV	toute
Mercier	PROPN	Mercier
Leur	DET	leur
et	CCONJ	et
veux	VERB	vouloir
donc	ADV	donc
à	ADP	à
à	ADP	à
ils	PRON	il
ne	ADV	ne
extrême	ADJ	extrême
bancs	NOUN	banc
point	NOUN	point
.	PUNCT	.
qui	PRON	qui
clair	ADJ	clair
.	PUNCT	.
un	DET	un
mers	NOUN	mer
les	PRON	le
monde	NOUN	monde
tendre	ADJ	tendre
mais	CCONJ	mais
.	PUNCT	.
en	ADP	en
l'	DET	le
tenait	VERB	tenir
fouillis	NOUN	fouillis
,	PUNCT	,
assez	ADV	assez
d'	ADP	de
un	DET	un
seule	ADJ	seul
un	DET	un
parler	VERB	parler
cuisine	NOUN	cuisine
réglementaires	ADJ	réglementaire
facile	ADJ	facile
,	PUNCT	,
,	PUNCT	,
la	DET	le
n'	ADV	n'
peu	ADV	peu
Mercier	PROPN	Mercier
.	PUNCT	.
pas	ADV	pas
,	PUNCT	,
à	ADP	à
pour	ADP	pour
,	PUNCT	,
étaient	AUX	être
encore	ADV	encore
lancer	VERB	lancer
avaient	VERB	avoir
homme	NOUN	homme
tentative	NOUN	tentative
,	PUNCT	,
,	PUNCT	,
s'	PRON	se
première	ADJ	premier
une	DET	un
engloutie	VERB	engloutir
une	DET	un
centre	NOUN	centre
peut-être	ADV	peut-être
gens	NOUN	gens
désertiques	ADJ	désertique
de	ADP	de
yeux	NOUN	oeil
tour	NOUN	tour
.	PUNCT	.
abandonna	VERB	abandonner
en	PRON	en
à	ADP	à
en	PRON	en
d'	ADP	de
,	PUNCT	,
cela	PRON	cela
.	PUNCT	.
rose	NOUN	rose
pour	ADP	pour
.	PUNCT	.
scrutant	VERB	scruter
est	AUX	être
sur	ADP	sur
peu	ADV	peu
Ils	PRON	il
(	PUNCT	(
un	DET	un
,	PUNCT	,
point	NOUN	point
près	ADV	près
eux	PRON	lui
,	PUNCT	,
de	ADP	de
avant	ADP	avant
aux	ADP	à
s'	PRON	se
retour	NOUN	retour
9.50	NOUN	9.50
,	PUNCT	,
des	ADP	de
des	DET	un
ne	ADV	ne
Ils	PRON	il
pour	ADP	pour
de	ADP	de
cinq	NUM	cinq
,	PUNCT	,
.	PROPN	.
.	PUNCT	.
,	PUNCT	,
descendre	VERB	descendre
entrait	VERB	entrer
pesant	VERB	peser
abri	NOUN	abri
personnes	NOUN	personne
un	DET	un
le	DET	le
et	CCONJ	et
bizarres	ADJ	bizarre
Camier	PROPN	Camier
que	PRON	que
lui	PRON	lui
hêtre	NOUN	hêtre
pluie	NOUN	pluie
accidentées	ADJ	accidenté
devenir	VERB	devenir
un	DET	un
supporter	VERB	supporter
s'	SCONJ	s'
une	DET	un
et	CCONJ	et
pour	ADP	pour
densité	NOUN	densité
de	ADP	de
dix	NUM	dix
qu'	PRON	qu'
naturel	NOUN	naturel
deux	NUM	deux
de	ADP	de
.	PUNCT	.
fois	NOUN	fois
et	CCONJ	et
minutes	NOUN	minute
plutôt	ADV	plutôt
d'	ADP	de
Camier	PROPN	Camier
peine	NOUN	peine
se	PRON	se
devancé	VERB	devancer
en	ADP	en
il	PRON	il
reparti	VERB	repartir
pour	ADP	pour
être	ADV	être
avec	ADP	avec
mouvement	NOUN	mouvement
inclément	ADV	inclément
voyage	NOUN	voyage
danger	NOUN	danger
ressemblance	NOUN	ressemblance
était	AUX	être
frontières	NOUN	frontière
ce	DET	ce
donner	VERB	donner
y	PRON	y
.	PUNCT	.
pendant	ADP	pendant
,	PUNCT	,
une	DET	un
plupart	NOUN	plupart
avoisinantes	ADJ	avoisinant
engouffra	VERB	engouffrer
langue	NOUN	langue
Il	PRON	il
qui	PRON	qui
minutes	NOUN	minute
,	PUNCT	,
jambes	NOUN	jambe
au	ADP	au
plantations	NOUN	plantation
d'	ADP	de
rues	NOUN	rue
La	DET	le
On	PRON	on
du	ADP	de
jusqu'	ADP	jusque
.	PUNCT	.
le	DET	le
qu'	SCONJ	que
une	DET	un
et	CCONJ	et
pouvoir	VERB	pouvoir
le	PRON	le
à	ADV	à
.	PUNCT	.
pelouses	NOUN	pelouse
aux	ADP	à
endroit	NOUN	endroit
travers	NOUN	travers
patienté	VERB	patienter
.	PUNCT	.
tendre	VERB	tendre
Que	SCONJ	que
Dép	PROPN	Dép
rues	NOUN	rue
faire	VERB	faire
et	CCONJ	et
.	PUNCT	.
la	DET	le
disparut	VERB	disparaître
cette	DET	ce
à	ADP	à
vont	VERB	aller
Mercier	PROPN	Mercier
C'	ADV	c'
dans	ADP	dans
ni	CCONJ	ni
,	PUNCT	,
hébétée	VERB	hébéter
9.25	NOUN	9.25
tomberai	VERB	tomber
à	ADP	à
sortit	VERB	sortir
.	PUNCT	.
ce	PRON	ce
à	ADP	à
peut	VERB	pouvoir
bassins	NOUN	bassin
.	PUNCT	.
peut	VERB	pouvoir
eurent	VERB	avoir
ou	CCONJ	ou
.	PUNCT	.
s'	PRON	se
et	CCONJ	et
au	ADP	au
son	DET	son
l'	DET	le
9.10	NOUN	9.10
de	ADP	de
s'	PRON	se
l'	DET	le
Mercier	PROPN	Mercier
qui	PRON	qui
assez	ADV	assez
proprement	ADV	proprement
Le	DET	le
souvent	ADV	souvent
premier	ADJ	premier
pour	ADP	pour
venir	VERB	venir
-	ADV	-
où	PRON	où
9.45	NOUN	9.45
garni	VERB	garnir
,	PUNCT	,
Arr	NOUN	arr
à	ADP	à
régions	NOUN	région
telle	ADJ	tel
square	NOUN	square
temps	NOUN	temps
.	PUNCT	.
9.15	PRON	9.15
par	ADP	par
peux	VERB	pouvoir
en	PRON	en
un	DET	un
ces	DET	ce
quart	NOUN	quart
place	NOUN	place
-je	PRON	je
quoi	PRON	quoi
,	PUNCT	,
que	SCONJ	que
étaient	AUX	être
que	ADV	que
,	PUNCT	,
non	ADV	non
square	NOUN	square
après	ADP	après
étais	VERB	être
n'	ADV	n'
Camier	PROPN	Camier
les	PRON	le
femmes	NOUN	femme
Camier	PROPN	Camier
