vraimententendu	VERB	vraimententendu
la	DET	le
vaisseau	NOUN	vaisseau
la	DET	le
avait	AUX	avoir
le	DET	le
instruments	NOUN	instrument
se	PRON	se
un	DET	un
arme	NOUN	arme
l'	DET	le
des	ADP	de
n'	ADV	n'
chosela	NOUN	chosela
poussière	NOUN	poussière
,	PUNCT	,
avait	VERB	avoir
les	DET	le
pas	ADV	pas
certains	DET	certain
ne	ADV	ne
lactée	ADJ	lacté
danger	NOUN	danger
.	PUNCT	.
laser	NOUN	laser
rien	PRON	rien
.	PUNCT	.
attendit	VERB	attendre
drap	NOUN	drap
produisit	VERB	produire
à	ADP	à
temps	NOUN	temps
en	ADP	en
parfaitement	ADV	parfaitement
main	NOUN	main
vaste	ADJ	vaste
autour	ADV	autour
-il	PRON	il
un	DET	un
ces	DET	ce
l'	DET	le
perdre	VERB	perdre
tout	ADV	tout
De	ADP	de
venait	VERB	venir
pourris	ADJ	pourrir
être	AUX	être
encerclée	VERB	encercler
acier	NOUN	acier
était	AUX	être
,	PUNCT	,
efforça	VERB	efforcer
-elle	PRON	lui
A	ADP	à
cette	DET	ce
détour	NOUN	détour
le	DET	le
arme	NOUN	arme
pieds	NOUN	pied
des	DET	un
.	PUNCT	.
essaya	VERB	essayer
dessinaient	VERB	dessiner
,	PUNCT	,
que	SCONJ	que
la	DET	le
revêtement	NOUN	revêtement
blafarde	ADJ	blafard
;	PUNCT	;
énormes	ADJ	énorme
avait	AUX	avoir
métal	NOUN	métal
vierge	ADJ	vierge
ses	DET	son
des	ADP	de
les	DET	le
sur	ADP	sur
...	PUNCT	...
comme	ADP	comme
premier	ADJ	premier
qu'	PRON	qu'
une	DET	un
ultime	ADJ	ultime
n'	ADV	n'
,	PUNCT	,
elle	PRON	lui
.	PUNCT	.
.	PUNCT	.
dans	ADP	dans
ascenseur	NOUN	ascenseur
bruit	NOUN	bruit
Elle	PRON	lui
présence	NOUN	présence
un	DET	un
ne	ADV	ne
depuis	ADP	depuis
transport	NOUN	transport
l'	DET	le
dommages	NOUN	dommage
noir	NOUN	noir
de	ADP	de
immobilisa	VERB	immobiliser
Flaming	PROPN	Flaming
pas	NOUN	pas
,	PUNCT	,
les	DET	le
principal	ADJ	principal
qui	PRON	qui
de	ADP	de
marquaient	VERB	marquer
-	ADV	-
s'	PRON	se
.	PUNCT	.
pénétrer	VERB	pénétrer
salle	NOUN	salle
à	ADP	à
Voie	NOUN	voie
voisin	ADJ	voisin
de	ADP	de
qui	PRON	qui
qui	PRON	qui
pesant	ADJ	pesant
la	DET	le
quelque	DET	quelque
,	PUNCT	,
brèche	NOUN	brèche
à	ADP	à
lampes	NOUN	lampe
troisième	ADJ	troisième
le	DET	le
comme	ADP	comme
elle	PRON	lui
partaient	VERB	partir
dit	VERB	dire
dans	ADP	dans
dans	ADP	dans
,	PUNCT	,
marques	NOUN	marque
bientôt	ADV	bientôt
.	PUNCT	.
géométrique	ADJ	géométrique
traces	NOUN	trace
la	DET	le
dédale	NOUN	dédale
au	ADP	au
synthétique	ADJ	synthétique
depuis	ADP	depuis
sol	NOUN	sol
de	ADP	de
venir	VERB	venir
l'	DET	le
de	ADP	de
.	PUNCT	.
.	PUNCT	.
elle	PRON	lui
ponts	NOUN	pont
.	PUNCT	.
perçut	VERB	percevoir
alerte	NOUN	alerte
au	ADP	au
Voilà	VERB	voilà
ne	ADV	ne
et	CCONJ	et
bruits	NOUN	bruit
doute	NOUN	doute
pas	NOUN	pas
toute	DET	tout
!	PUNCT	!
dévorait	VERB	dévorer
un	DET	un
et	CCONJ	et
maintenant	ADV	maintenant
y	PRON	y
!	PUNCT	!
Personne	PROPN	Personne
figea	VERB	figer
?	PUNCT	?
machine	NOUN	machine
...	PUNCT	...
au	ADP	au
l'	PRON	l'
,	PUNCT	,
désagréable	ADJ	désagréable
la	DET	le
ascenseurs	NOUN	ascenseur
repérer	VERB	repérer
imminent	ADJ	imminent
les	DET	le
un	DET	un
...	PUNCT	...
,	PUNCT	,
répéta	VERB	répéter
de	ADP	de
ne	ADV	ne
nuage	NOUN	nuage
le	DET	le
trace	NOUN	trace
,	PUNCT	,
.	PUNCT	.
instantanément	ADV	instantanément
elle	PRON	lui
silence	NOUN	silence
!	PUNCT	!
et	CCONJ	et
à	ADP	à
se	PRON	se
son	DET	son
et	CCONJ	et
sens	NOUN	sens
pas	ADV	pas
s'	PRON	se
même	ADJ	même
du	ADP	de
.	PUNCT	.
oreille	NOUN	oreille
deux	NUM	deux
prudemment	ADV	prudemment
