regarder	VERB	regarder
.	PUNCT	.
sur	ADP	sur
discute	VERB	discute
plus	ADV	plus
,	PUNCT	,
n'	ADV	n'
où	PRON	où
il	PRON	il
Dehors	ADV	dehors
crève-la-faim	NOUN	crève-la-faim
,	PUNCT	,
pique	VERB	pique
ressembler	VERB	ressembler
vieil	ADJ	vieux
bas	ADV	bas
trajet	NOUN	trajet
superbe	ADJ	superbe
visage	NOUN	visage
Naples	PROPN	Naples
se	PRON	se
Pas	ADV	pas
la	DET	le
ventre	NOUN	ventre
de	ADP	de
fille	NOUN	fille
d'	ADP	de
le	DET	le
sommeil	NOUN	sommeil
voyant	VERB	voir
effacer	VERB	effacer
as	VERB	avoir
ou	CCONJ	ou
T'	PRON	te
deux	NUM	deux
apparues	VERB	apparaître
Il	PRON	il
pas	ADV	pas
qui	PRON	qui
par	ADP	par
ne	ADV	ne
aux	ADP	à
laquelle	PRON	lequel
en	PRON	en
et	CCONJ	et
Le	DET	le
ce	DET	ce
homme	NOUN	homme
homme	NOUN	homme
et	CCONJ	et
faisait	VERB	faire
mot	NOUN	mot
gigantesques	ADJ	gigantesque
-	PUNCT	-
tu	PRON	tu
si	SCONJ	si
mettre	VERB	mettre
à	ADP	à
et	CCONJ	et
et	CCONJ	et
.	PUNCT	.
pièce	NOUN	pièce
on	PRON	on
prendre	VERB	prendre
Massimo	PROPN	Massimo
il	PRON	il
mit	VERB	mettre
Son	DET	son
lui	PRON	lui
on	PRON	on
est	AUX	être
manges	VERB	manger
avait	VERB	avoir
le	PRON	le
dandinant	VERB	dandiner
Le	DET	le
caressa	VERB	caresser
bienvenue	NOUN	bienvenue
et	CCONJ	et
un	DET	un
hurla	VERB	hurler
que	SCONJ	que
-	ADV	-
de	ADP	de
une	DET	un
en	ADP	en
.	PUNCT	.
pas	ADV	pas
.	PUNCT	.
le	DET	le
mit	VERB	mettre
rien	PRON	rien
Sans	ADP	sans
dit	VERB	dire
la	DET	le
qu'	SCONJ	que
tout	PRON	tout
,	PUNCT	,
toute	ADJ	tout
poux	NOUN	pou
forme	NOUN	forme
Elle	PRON	lui
-	PUNCT	-
cheveux	NOUN	cheveu
Ne	ADV	ne
prit	VERB	prendre
estomac	NOUN	estomac
de	ADP	de
serra	VERB	serrer
de	ADP	de
?	PUNCT	?
ce	PRON	ce
pour	ADP	pour
cave	NOUN	cave
et	CCONJ	et
pour	ADP	pour
lui	PRON	lui
longuement	ADV	longuement
-	PUNCT	-
l'	DET	le
et	CCONJ	et
de	ADP	de
.	PUNCT	.
entra	VERB	entrer
chassa	VERB	chasser
a	ADV	a
Maître	NOUN	maître
.	PUNCT	.
samedi	NOUN	samedi
,	PUNCT	,
faire	AUX	faire
famine	NOUN	famine
le	DET	le
trop	ADV	trop
ta	DET	ton
ai	VERB	avoir
à	ADP	à
sûr	ADJ	sûr
et	CCONJ	et
à	ADP	à
et	CCONJ	et
histoire	NOUN	histoire
et	CCONJ	et
napolitain	ADJ	napolitain
.	PUNCT	.
as	VERB	avoir
quai	NOUN	quai
pas	ADV	pas
n'	ADV	n'
il	PRON	il
-	PUNCT	-
en	ADP	en
une	DET	un
plat	NOUN	plat
clair	ADJ	clair
préoccupe	VERB	préoccupe
Les	DET	le
café	NOUN	café
-moi	PRON	moi
long	ADJ	long
.	PUNCT	.
pas	ADV	pas
.	PUNCT	.
une	DET	un
se	PRON	se
tu	PRON	tu
Massimo	PROPN	Massimo
-	NOUN	-
Il	PRON	il
cheveux	NOUN	cheveu
de	ADP	de
brouillée	VERB	brouiller
hurlait	VERB	hurler
ne	ADV	ne
te	PRON	te
cris	NOUN	cri
assit	VERB	asseoir
voir	VERB	voir
de	ADP	de
.	PUNCT	.
habitude	NOUN	habitude
courantes	ADJ	courant
,	PUNCT	,
,	PUNCT	,
ritals	ADJ	rital
derrière	ADP	derrière
descendre	VERB	descendre
le	DET	le
les	DET	le
dans	ADP	dans
le	DET	le
vestons	NOUN	veston
s'	PRON	se
,	PUNCT	,
,	PUNCT	,
du	ADP	de
sur	ADP	sur
cria	VERB	crier
avalèrent	VERB	avaler
,	PUNCT	,
les	DET	le
le	PRON	le
cessa	VERB	cesser
,	PUNCT	,
à	ADP	à
de	ADP	de
et	CCONJ	et
plus	ADV	plus
la	DET	le
Massimo	PROPN	Massimo
suivait	VERB	suivre
-il	PRON	il
qu'	SCONJ	que
à	ADP	à
alors	ADV	alors
ami	NOUN	ami
est	AUX	être
homme	NOUN	homme
vous	PRON	vous
,	PUNCT	,
montra	VERB	montrer
sombre	ADJ	sombre
boche	NOUN	boche
Massimo	PROPN	Massimo
.	PUNCT	.
le	PRON	le
inquiéter	VERB	inquiéter
le	DET	le
et	CCONJ	et
et	CCONJ	et
leva	VERB	lever
interdit	ADJ	interdire
tailleur	NOUN	tailleur
va	VERB	aller
intention	NOUN	intention
demanda	VERB	demander
ton	DET	ton
son	DET	son
le	PRON	le
très	ADV	très
faut	VERB	falloir
mari	NOUN	mari
.	PUNCT	.
de	ADP	de
l'	DET	le
poignée	NOUN	poignée
la	DET	le
intelligence	NOUN	intelligence
un	DET	un
tiroir	NOUN	tiroir
Viens	VERB	venir
les	DET	le
bas	ADJ	bas
son	DET	son
prit	VERB	prendre
de	ADP	de
mal	ADV	mal
meurtre	NOUN	meurtre
vieil	ADJ	vieux
cheveux	NOUN	cheveu
visage	NOUN	visage
par	ADP	par
son	DET	son
ici	ADV	ici
portait	VERB	porter
les	DET	le
moment	NOUN	moment
Il	PRON	il
caisse	NOUN	caisse
fit	VERB	faire
.	PUNCT	.
tu	PRON	tu
Le	DET	le
.	PUNCT	.
.	PUNCT	.
le	PRON	le
de	ADP	de
main	NOUN	main
suspendus	VERB	suspendre
.	PUNCT	.
oreille	NOUN	oreille
il	PRON	il
ami	NOUN	ami
et	CCONJ	et
et	CCONJ	et
entendu	VERB	entendre
enleva	VERB	enlever
sortes	NOUN	sorte
cria	VERB	crier
Le	DET	le
ans	NOUN	an
saurais	VERB	savoir
vue	NOUN	vue
la	DET	le
sa	DET	son
,	PUNCT	,
.	PUNCT	.
il	PRON	il
au	ADP	au
et	CCONJ	et
deux	NUM	deux
Le	DET	le
envoyer	VERB	envoyer
dans	ADP	dans
bruit	NOUN	bruit
trois-pièces	NOUN	trois-pièces
sourit	VERB	sourire
sursauta	VERB	sursauter
,	PUNCT	,
les	DET	le
La	DET	le
le	PRON	le
.	PUNCT	.
fit	VERB	faire
ses	DET	son
à	ADP	à
permis	NOUN	permis
d'	ADP	de
était	AUX	être
estomac	NOUN	estomac
