mi-farce	NOUN	mi-farce
inspecte	VERB	inspecte
je	PRON	je
j'	PRON	je
Me	PRON	me
que	PRON	que
m'	PRON	me
sa	DET	son
.	PUNCT	.
.	PUNCT	.
je	PRON	je
dernier	ADJ	dernier
ma	DET	mon
décolleté	NOUN	décolleté
une	DET	un
annoncer	VERB	annoncer
,	PUNCT	,
eut	VERB	avoir
de	ADP	de
conduit	VERB	conduire
quelques	DET	quelque
,	PUNCT	,
un	PRON	un
Malgré	ADP	malgré
On	PRON	on
sur	ADP	sur
,	PUNCT	,
que	SCONJ	que
avenue	NOUN	avenue
Nous	PRON	nous
quai	NOUN	quai
et	CCONJ	et
qu'	SCONJ	que
une	DET	un
bonnes	ADJ	bon
croisai	VERB	croiser
,	PUNCT	,
d'	ADP	de
père	NOUN	père
:	PUNCT	:
la	DET	le
introduisit	VERB	introduire
Bref	ADV	bref
mon	DET	mon
pierres	NOUN	pierre
qui	PRON	qui
pour	ADP	pour
,	PUNCT	,
nos	DET	notre
ses	DET	son
En	ADP	en
.	PUNCT	.
esquissai	VERB	esquisser
familiarité	NOUN	familiarité
congrès	NOUN	congrès
le	DET	le
m'	PRON	me
mien	PRON	mien
tout	ADV	tout
seul	ADJ	seul
elle	PRON	lui
accepté	VERB	accepter
jamais	ADV	jamais
idée	NOUN	idée
basse	ADJ	bas
N.	PROPN	N.
j'	PRON	je
place	NOUN	place
avait	AUX	avoir
embouteillage	NOUN	embouteillage
des	ADP	de
des	ADP	de
les	DET	le
trop	ADV	trop
le	DET	le
,	PUNCT	,
sa	DET	son
provoqué	VERB	provoquer
:	PUNCT	:
attentive	ADJ	attentif
avaient	AUX	avoir
imaginais	VERB	imaginer
pour	ADP	pour
comprenant	VERB	comprendre
une	DET	un
bien	ADV	bien
.	PUNCT	.
sans	ADP	sans
j'	PRON	je
défection	NOUN	défection
dans	ADP	dans
les	PRON	le
et	CCONJ	et
qui	PRON	qui
être	NOUN	être
.	PUNCT	.
,	PUNCT	,
de	ADP	de
Un	DET	un
sourire	NOUN	sourire
réquisitionnés	VERB	réquisitionner
maladresse	NOUN	maladresse
prévenir	VERB	prévenir
Avant	ADP	avant
fêtait	VERB	fêter
proclamation	NOUN	proclamation
,	PUNCT	,
je	PRON	je
d'	ADP	de
la	DET	le
Sans	ADP	sans
mon	DET	mon
les	DET	le
pont	NOUN	pont
à	ADP	à
,	PUNCT	,
de	ADP	de
Je	PRON	je
.	PUNCT	.
la	DET	le
reconduire	VERB	reconduire
la	DET	le
le	DET	le
.	PUNCT	.
le	DET	le
.	PUNCT	.
la	DET	le
moi	PRON	moi
la	DET	le
d'	ADP	de
sur	ADP	sur
réputations	NOUN	réputation
avec	ADP	avec
jusqu'	ADP	jusque
,	PUNCT	,
le	DET	le
je	PRON	je
tenait	VERB	tenir
jeune	ADJ	jeune
présence	NOUN	présence
la	DET	le
.	PUNCT	.
Je	PRON	je
le	DET	le
de	ADP	de
hôtel	NOUN	hôtel
plus	ADV	plus
de	ADP	de
avec	ADP	avec
de	ADP	de
.	PUNCT	.
.	PUNCT	.
d'	ADP	de
peu	ADV	peu
un	DET	un
.	PUNCT	.
Une	DET	un
sur	ADP	sur
M.	NOUN	m.
récria	VERB	récrier
coup	NOUN	coup
l'	DET	le
année	NOUN	année
dans	ADP	dans
homme	NOUN	homme
nous	PRON	nous
comptes	NOUN	compte
la	DET	le
il	PRON	il
je	PRON	je
un	DET	un
ignore	VERB	ignore
,	PUNCT	,
Par	ADP	par
luisant	VERB	luire
sa	DET	son
on	PRON	on
conduire	VERB	conduire
mort	NOUN	mort
de	ADP	de
secondes	NOUN	seconde
,	PUNCT	,
air	NOUN	air
chinois	ADJ	chinois
n'	ADV	n'
fugitivement	ADV	fugitivement
Je	PRON	je
âme	NOUN	âme
doute	NOUN	doute
.	PUNCT	.
à	ADP	à
pour	ADP	pour
en	ADP	en
en	ADP	en
de	ADP	de
couchette	NOUN	couchette
était	AUX	être
que	SCONJ	que
,	PUNCT	,
suivit	VERB	suivre
avec	ADP	avec
la	DET	le
qui	PRON	qui
tout	ADJ	tout
imaginais	VERB	imaginer
,	PUNCT	,
mais	CCONJ	mais
,	PUNCT	,
pensée	NOUN	pensée
avril	NOUN	avril
.	PUNCT	.
,	PUNCT	,
la	DET	le
était	AUX	être
Chaque	DET	chaque
?	PUNCT	?
Dans	ADP	dans
les	DET	le
,	PUNCT	,
j'	PRON	je
embrasure	NOUN	embrasure
Justement	ADV	justement
le	DET	le
bourgeoisie	NOUN	bourgeoisie
mienne	PRON	mienne
ce	PRON	ce
)	PUNCT	)
sens	NOUN	sens
de	ADP	de
le	DET	le
de	ADP	de
mes	DET	mon
dûmes	VERB	devoir
–	PUNCT	–
la	PRON	le
voir	VERB	voir
,	PUNCT	,
départ	NOUN	départ
qui	PRON	qui
haine	NOUN	haine
fortune	NOUN	fortune
d'	ADP	de
vêtu	VERB	vêtir
provinciale	ADJ	provincial
où	PRON	où
dans	ADP	dans
l'	DET	le
de	ADP	de
,	PUNCT	,
noir	NOUN	noir
,	PUNCT	,
J'	PRON	je
de	ADP	de
confusion	NOUN	confusion
franchise	NOUN	franchise
que	SCONJ	que
maison	NOUN	maison
,	PUNCT	,
inviter	VERB	inviter
camélias	NOUN	camélia
table	NOUN	table
sage	ADJ	sage
.	PUNCT	.
Mais	CCONJ	mais
.	PUNCT	.
l'	DET	le
m'	PRON	me
mêmes	ADJ	même
mines	NOUN	mine
table	NOUN	table
un	DET	un
et	CCONJ	et
sien	ADJ	sien
été	AUX	être
.	PUNCT	.
gros	ADJ	gros
dégringolade	NOUN	dégringolade
visage	NOUN	visage
rentrer	VERB	rentrer
,	PUNCT	,
attraper	VERB	attraper
,	PUNCT	,
?	PUNCT	?
taxi	NOUN	taxi
à	ADP	à
l'	DET	le
enthousiasme	NOUN	enthousiasme
priai	VERB	prier
la	DET	le
avais	AUX	avoir
son	DET	son
élégant	ADJ	élégant
être	AUX	être
soudain	ADV	soudain
se	PRON	se
cathédrale	NOUN	cathédrale
fis	VERB	faire
je	PRON	je
dans	ADP	dans
rentrer	VERB	rentrer
avance	NOUN	avance
pas	NOUN	pas
Nancy	PROPN	Nancy
Fonfrin	PROPN	Fonfrin
joli	ADJ	joli
en	ADP	en
où	PRON	où
.	PUNCT	.
dans	ADP	dans
les	DET	le
chemin	NOUN	chemin
que	PRON	que
j'	PRON	je
hôtel	NOUN	hôtel
magasins	NOUN	magasin
grands	ADJ	grand
on	PRON	on
Par	ADP	par
la	DET	le
(	PUNCT	(
je	PRON	je
Rossellini	PROPN	Rossellini
.	PUNCT	.
le	DET	le
avait	AUX	avoir
car	CCONJ	car
petit	ADJ	petit
aéroport	NOUN	aéroport
Fonfrin	PROPN	Fonfrin
départ	NOUN	départ
à	ADP	à
il	PRON	il
.	PUNCT	.
seule	ADJ	seul
m'	PRON	me
.	PUNCT	.
Chartres	PROPN	Chartres
,	PUNCT	,
