philosophie	NOUN	philosophie
.	PUNCT	.
c'	PRON	ce
autrui	PRON	autrui
du	ADP	de
était	AUX	être
m'	PRON	me
aurait	VERB	avoir
-	PROPN	-
.	PUNCT	.
épouse	NOUN	épouse
en	PRON	en
New	PROPN	New
avaient	AUX	avoir
libre	ADJ	libre
Amérique	PROPN	Amérique
.	PUNCT	.
usait	VERB	user
puisses	VERB	pouvoir
es	AUX	être
loisir	NOUN	loisir
Puisqu'	SCONJ	puisque
une	DET	un
Mais	CCONJ	mais
de	ADP	de
SIGAUD	PROPN	SIGAUD
était	AUX	être
du	ADP	de
avec	ADP	avec
—	PUNCT	—
auparavant	ADV	auparavant
que	SCONJ	que
lui	PRON	lui
,	PUNCT	,
homme	NOUN	homme
maintenant	ADV	maintenant
.	PUNCT	.
langues	NOUN	langue
:	PUNCT	:
changement	NOUN	changement
elle	PRON	lui
Ombrageux	ADJ	ombrageux
ses	DET	son
déplacé	VERB	déplacer
.	PUNCT	.
,	PUNCT	,
elle	PRON	lui
intérieurement	ADV	intérieurement
un	DET	un
que	ADV	que
ce	PRON	ce
il	PRON	il
elle	PRON	lui
sa	DET	son
tes	DET	ton
.	PUNCT	.
je	PRON	je
Fei	PROPN	Fei
léger	ADJ	léger
plus	ADV	plus
qu'	SCONJ	que
on	PRON	on
,	PUNCT	,
à	ADP	à
endroit	NOUN	endroit
voir	VERB	voir
,	PUNCT	,
tes	DET	ton
je	PRON	je
les	DET	le
Toi	PRON	toi
L'	DET	le
Inc	X	Inc
ne	ADV	ne
son	DET	son
n'	ADV	n'
lui	PRON	lui
que	PRON	que
,	PUNCT	,
.	PUNCT	.
autres	ADJ	autre
plus	ADV	plus
éviter	VERB	éviter
présent	NOUN	présent
demander	VERB	demander
Envers	ADP	envers
a	AUX	avoir
.	PUNCT	.
TRADUIT	ADJ	traduire
le	PRON	le
Mon	DET	mon
Jiang	PROPN	Jiang
qu'	PRON	qu'
quitter	VERB	quitter
que	PRON	que
vie	NOUN	vie
;	PUNCT	;
corps	NOUN	corps
quand	SCONJ	quand
Qui	PRON	qui
'	PUNCT	'
de	ADP	de
Tu	PRON	tu
DE	ADP	de
que	SCONJ	que
impitoyable	ADJ	impitoyable
:	PUNCT	:
Les	DET	le
Jiang	PROPN	Jiang
Telle	ADJ	tel
.	PUNCT	.
,	PUNCT	,
kilogrammes	NOUN	kilogramme
dans	ADP	dans
.	PUNCT	.
véritablement	ADV	véritablement
ai	AUX	avoir
'	PUNCT	'
su	VERB	savoir
original	ADJ	original
,	PUNCT	,
désirait	VERB	désirer
retomber	VERB	retomber
sa	DET	son
ailes	NOUN	aile
:	PUNCT	:
—	PUNCT	—
-t	PRON	-t
subtil	ADJ	subtil
mouvoir	VERB	mouvoir
—	PUNCT	—
s'	PRON	se
lâches	NOUN	lâche
douce	ADJ	doux
pas	ADV	pas
dis	VERB	dire
arrachent	VERB	arracher
C'	PRON	ce
ses	DET	son
la	DET	le
il	PRON	il
qing	PROPN	qing
disent	VERB	dire
.	PUNCT	.
lui	PRON	lui
vivaient	VERB	vivre
-	PROPN	-
—	PUNCT	—
est	VERB	être
Lorsqu'	SCONJ	lorsque
par	ADP	par
avoir	VERB	avoir
l'	DET	le
envisageons	VERB	envisager
—	PUNCT	—
-	PROPN	-
Coucher	VERB	coucher
for	NOUN	for
noires	ADJ	noir
qu'	PRON	qu'
ils	PRON	il
désir	NOUN	désir
Fei	PROPN	Fei
de	ADP	de
que	SCONJ	que
Jiang	PROPN	Jiang
elle	PRON	lui
.	PUNCT	.
?	PUNCT	?
dormi	VERB	dormir
©	PUNCT	©
obligation	NOUN	obligation
qui	PRON	qui
moindre	ADJ	moindre
enfants	NOUN	enfant
Han	PROPN	Han
mort	NOUN	mort
qing	PROPN	qing
ainsi	ADV	ainsi
avait	AUX	avoir
à	ADP	à
ENDER	VERB	ender
faisaient	VERB	faire
nuit	NOUN	nuit
du	DET	de
.	PUNCT	.
brisent	VERB	briser
tu	PRON	tu
l'	DET	le
D'	ADP	de
que	SCONJ	que
,	PUNCT	,
un	DET	un
qu'	PRON	qu'
présent	NOUN	présent
pression	NOUN	pression
devrait	VERB	devoir
exprimait	VERB	exprimer
semaine	NOUN	semaine
pensées	NOUN	pensée
-	PROPN	-
déterminée	VERB	déterminer
qui	PRON	qui
incarner	VERB	incarner
qu'	SCONJ	que
air	NOUN	air
lui	PRON	lui
demandaient	VERB	demander
-elle	PRON	lui
Tu	PRON	tu
qu'	SCONJ	que
répondu	VERB	répondre
.	PUNCT	.
où	PRON	où
ouverts	ADJ	ouvert
PAR	ADP	par
la	DET	le
réveillée	VERB	réveiller
York	PROPN	York
—	PUNCT	—
pouvoir	ADV	pouvoir
,	PUNCT	,
nos	DET	notre
compte	NOUN	compte
vous	PRON	vous
ne	ADV	ne
de	ADP	de
?	PUNCT	?
ne	ADV	ne
il	PRON	il
ne	ADV	ne
tu	PRON	tu
'	PUNCT	'
On	PRON	on
qing	PROPN	qing
aussi	ADV	aussi
:	PUNCT	:
tenté	VERB	tenter
papillon	NOUN	papillon
de	ADP	de
point	NOUN	point
—	PUNCT	—
qui	PRON	qui
Tu	PRON	tu
nouvelle	ADJ	nouveau
sous	ADP	sous
l'	PRON	l'
désir	NOUN	désir
avais	AUX	avoir
refusa	VERB	refuser
,	PUNCT	,
Menteurs	NOUN	menteur
,	PUNCT	,
S.A.	NOUN	s.a.
qu'	PRON	qu'
la	DET	le
étaient	AUX	être
une	DET	un
traduction	NOUN	traduction
te	PRON	te
Elles	PRON	lui
sur	ADP	sur
forcément	ADV	forcément
»	PUNCT	»
la	DET	le
désire	VERB	désire
le	DET	le
pour	ADP	pour
—	PUNCT	—
Moi	PRON	moi
,	PUNCT	,
refuge	NOUN	refuge
avant	ADP	avant
passé	NOUN	passé
,	PUNCT	,
ton	DET	ton
os	NOUN	os
os	NOUN	os
mieux	ADV	mieux
de	ADP	de
que	SCONJ	que
le	DET	le
Fei	PROPN	Fei
et	CCONJ	et
dit	VERB	dire
constatait	VERB	constater
.	PUNCT	.
avait	AUX	avoir
que	SCONJ	que
maris	NOUN	mari
à	ADP	à
-	PROPN	-
à	ADP	à
les	DET	le
,	PUNCT	,
reposait	VERB	reposer
On	PRON	on
un	DET	un
.	PUNCT	.
faire	VERB	faire
des	DET	un
songeait	VERB	songer
-	PROPN	-
casser	VERB	casser
était	AUX	être
on	PRON	on
.	PUNCT	.
la	DET	le
avait	AUX	avoir
dit	VERB	dire
de	ADP	de
,	PUNCT	,
as	VERB	avoir
,	PUNCT	,
,	PUNCT	,
18	NUM	18
dans	ADP	dans
la	DET	le
moi	PRON	moi
Nous	PRON	nous
.	PUNCT	.
.	PUNCT	.
Jiang	PROPN	Jiang
TRILOGIE	NOUN	trilogie
de	ADP	de
à	ADP	à
présent	NOUN	présent
elle	PRON	lui
Fei	PROPN	Fei
Il	PRON	il
BERNARD	PROPN	BERNARD
désormais	ADV	désormais
envisageons	VERB	envisager
-	PROPN	-
nature	NOUN	nature
la	DET	le
.	PUNCT	.
ce	PRON	ce
—	PUNCT	—
.	PUNCT	.
«	PUNCT	«
ou	CCONJ	ou
seule	ADJ	seul
.	PUNCT	.
poursuivre	VERB	poursuivre
Afin	ADV	afin
peut	VERB	pouvoir
suis	AUX	être
Aujourd'hui	ADV	aujourd'hui
Comme	ADP	comme
d'	ADP	de
toutes	DET	tout
pendant	ADP	pendant
son	DET	son
.	PUNCT	.
jusqu'	ADP	jusque
qu'	PRON	qu'
à	ADP	à
une	DET	un
avait	AUX	avoir
très	ADV	très
dit	VERB	dire
laisser	AUX	laisser
?	PUNCT	?
-t	PRON	-t
bout	NOUN	bout
conversation	NOUN	conversation
a	VERB	avoir
ils	PRON	il
et	CCONJ	et
morte	ADJ	mort
le	DET	le
que	PRON	que
fantasques	ADJ	fantasque
si	ADV	si
aussi	ADV	aussi
une	DET	un
requis	VERB	requérir
fois	NOUN	fois
...	PUNCT	...
cette	DET	ce
encore	ADV	encore
s'	PRON	se
me	PRON	me
,	PUNCT	,
envers	ADP	envers
peuple	NOUN	peuple
tzu	PROPN	tzu
mais	CCONJ	mais
-	PROPN	-
ainsi	ADV	ainsi
de	ADP	de
un	DET	un
Certains	PRON	certains
désir	NOUN	désir
lit	NOUN	lit
dirigeante	NOUN	dirigeant
de	ADP	de
homme	NOUN	homme
aimé	VERB	aimer
qing	PROPN	qing
Scott	PROPN	Scott
XÉNOCIDE	NOUN	xénocide
voir	VERB	voir
En	ADP	en
.	PUNCT	.
,	PUNCT	,
ne	ADV	ne
parce	SCONJ	parce
.	PUNCT	.
,	PUNCT	,
.	PUNCT	.
souffla	VERB	souffler
Le	DET	le
qu'	PRON	qu'
non	ADV	non
-	PROPN	-
dans	ADP	dans
ses	DET	son
à	ADP	à
elle	PRON	lui
Mais	CCONJ	mais
,	PUNCT	,
autre	PRON	autre
que	ADV	que
êtes	AUX	être
n'	ADV	n'
supplice	NOUN	supplice
,	PUNCT	,
convoite	VERB	convoite
nature	NOUN	nature
est	AUX	être
?	PUNCT	?
,	PUNCT	,
.	PUNCT	.
Éditions	NOUN	édition
-	PROPN	-
tu	PRON	tu
Je	PRON	je
XENOCIDE	PROPN	XENOCIDE
guérir	VERB	guérir
D'	ADP	de
dépérir	VERB	dépérir
injuste	ADJ	injuste
.	PUNCT	.
outre	ADP	outre
longtemps	ADV	longtemps
Han	PROPN	Han
Fei	PROPN	Fei
accueillir	VERB	accueillir
LA	DET	le
parlait	VERB	parler
»	PUNCT	»
que	SCONJ	que
On	PRON	on
—	PUNCT	—
.	PUNCT	.
nouveau	ADJ	nouveau
.	PUNCT	.
on	PRON	on
plus	ADV	plus
sentait	VERB	sentir
et	CCONJ	et
