voulais	VERB	vouloir
mer	NOUN	mer
Je	PRON	je
venaient	VERB	venir
ma	DET	mon
bruits	NOUN	bruit
oublierai	VERB	oublier
éclate	VERB	éclate
une	DET	un
sur	ADP	sur
nom	NOUN	nom
.	PUNCT	.
,	PUNCT	,
comme	SCONJ	comme
.	PUNCT	.
ai	VERB	avoir
sais	VERB	savoir
m'	PRON	me
!	PUNCT	!
,	PUNCT	,
sûr	ADJ	sûr
qui	PRON	qui
bien	ADV	bien
Le	DET	le
me	PRON	me
.	PUNCT	.
de	ADP	de
crois	VERB	croire
ce	DET	ce
que	SCONJ	que
nous	PRON	nous
seul	ADJ	seul
s'	PRON	se
quand	SCONJ	quand
Que	SCONJ	que
peur	NOUN	peur
»	PUNCT	»
,	PUNCT	,
Le	DET	le
Il	PRON	il
.	PUNCT	.
marche	NOUN	marche
,	PUNCT	,
et	CCONJ	et
ses	DET	son
,	PUNCT	,
ne	ADV	ne
certainement	ADV	certainement
et	CCONJ	et
bien	ADV	bien
sa	DET	son
et	CCONJ	et
à	ADP	à
.	PUNCT	.
tracées	VERB	tracer
,	PUNCT	,
n'	ADV	n'
aussi	ADV	aussi
ne	ADV	ne
de	ADP	de
oui	ADV	oui
,	PUNCT	,
me	PRON	me
...	PUNCT	...
,	PUNCT	,
ouvert	VERB	ouvrir
tremblait	VERB	trembler
éteint	VERB	éteindre
ai	AUX	avoir
au	ADP	au
première	ADJ	premier
voir	VERB	voir
toujours	ADV	toujours
et	CCONJ	et
mien	ADJ	mien
cauchemars	NOUN	cauchemar
présent	NOUN	présent
à	ADP	à
cela	PRON	cela
ces	DET	ce
.	PUNCT	.
avec	ADP	avec
la	DET	le
croyais	VERB	croire
n'	ADV	n'
cube	NOUN	cube
corne	NOUN	corne
de	ADP	de
A	ADP	à
pour	ADP	pour
Une	DET	un
,	PUNCT	,
hésite	VERB	hésite
ne	ADV	ne
rien	PRON	rien
en	ADP	en
c'	PRON	ce
connaissais	VERB	connaître
vu	VERB	voir
sais	VERB	savoir
ma	DET	mon
.	PUNCT	.
ai	AUX	avoir
hiver	NOUN	hiver
autres	ADJ	autre
dégringolades	NOUN	dégringolade
dehors	ADV	dehors
peur	NOUN	peur
.	PUNCT	.
,	PUNCT	,
.	PUNCT	.
?	PUNCT	?
pièce	NOUN	pièce
Il	PRON	il
est	AUX	être
s'	PRON	se
poussée	VERB	pousser
de	ADP	de
la	DET	le
.	PUNCT	.
Forcément	ADV	forcément
Je	PRON	je
La	DET	le
.	PUNCT	.
,	PUNCT	,
Il	PRON	il
c'	PRON	ce
de	ADP	de
ce	DET	ce
importe	VERB	importe
chaque	DET	chaque
froid	NOUN	froid
recommence	VERB	recommencer
C'	PRON	ce
choses	NOUN	chose
molle	ADJ	mou
je	PRON	je
.	PUNCT	.
tréfonds	NOUN	tréfonds
,	PUNCT	,
,	PUNCT	,
je	PRON	je
n'	ADV	n'
à	ADP	à
pris	VERB	prendre
n'	ADV	n'
