bien	ADV	bien
stationnaient	VERB	stationner
veut	VERB	vouloir
se	PRON	se
mur	NOUN	mur
attente	NOUN	attente
qui	PRON	qui
et	CCONJ	et
,	PUNCT	,
Robert	PROPN	Robert
la	DET	le
.	PUNCT	.
s'	PRON	se
de	ADP	de
son	DET	son
du	ADP	de
seuil	NOUN	seuil
l'	PRON	l'
qui	PRON	qui
de	ADP	de
uniforme	NOUN	uniforme
Sa	DET	son
du	ADP	de
à	ADP	à
Bon	ADJ	bon
Avenue	PROPN	Avenue
rassemblés	VERB	rassembler
,	PUNCT	,
sommet	NOUN	sommet
,	PUNCT	,
Robert	PROPN	Robert
.	PUNCT	.
atteint	VERB	atteindre
fut	AUX	être
devise	NOUN	devise
du	ADP	de
conduite	NOUN	conduite
:	PUNCT	:
policier	NOUN	policier
et	CCONJ	et
dans	ADP	dans
qu'	SCONJ	que
une	DET	un
une	DET	un
sur	ADP	sur
Robert	PROPN	Robert
menait	VERB	mener
Clay	PROPN	Clay
détails	NOUN	détail
ruelle	NOUN	ruelle
Saint	PROPN	Saint
correspondant	NOUN	correspondant
dire	VERB	dire
dirigeant	VERB	diriger
coincé	VERB	coincer
le	DET	le
un	DET	un
répéta	VERB	répéter
d'	ADP	de
bras	NOUN	bras
entra	VERB	entrer
le	DET	le
l'	DET	le
,	PUNCT	,
40	NUM	40
lança	VERB	lancer
train	NOUN	train
précis	ADJ	précis
froncés	VERB	froncer
.	PUNCT	.
chose	NOUN	chose
costume	NOUN	costume
les	DET	le
d'	ADP	de
que	SCONJ	que
le	DET	le
le	DET	le
hâte	NOUN	hâte
salle	NOUN	salle
dès	ADP	dès
.	PUNCT	.
au	ADP	au
-elle	PRON	lui
.	PUNCT	.
écouté	VERB	écouter
.	PUNCT	.
conséquence	NOUN	conséquence
par	ADP	par
la	DET	le
l'	DET	le
son	DET	son
policier	NOUN	policier
de	ADP	de
—	PUNCT	—
pouvoir	VERB	pouvoir
instant	NOUN	instant
étaient	AUX	être
la	DET	le
valait	VERB	valoir
sur	ADP	sur
appréhension	NOUN	appréhension
prêt	ADJ	prêt
son	DET	son
que	SCONJ	que
la	DET	le
La	DET	le
prendre	VERB	prendre
terre	NOUN	terre
!	PUNCT	!
avança	VERB	avancer
du	ADP	de
échapper	VERB	échapper
lant	VERB	ler
sa	DET	son
complet	ADJ	complet
yeux	NOUN	oeil
.	PUNCT	.
la	DET	le
sais	VERB	savoir
,	PUNCT	,
—	PUNCT	—
lui	PRON	lui
appel	NOUN	appel
de	ADP	de
Robert	PROPN	Robert
pas	ADV	pas
quittez	VERB	quitter
-il	PRON	il
et	CCONJ	et
où	PRON	où
prends	VERB	prendre
le	PRON	le
Au	ADP	au
édition	NOUN	édition
qu'	PRON	qu'
point	NOUN	point
donné	VERB	donner
arrière	NOUN	arrière
Quand	SCONJ	quand
?	PUNCT	?
que	SCONJ	que
voitures	NOUN	voiture
sur	ADP	sur
bouton	NOUN	bouton
Puis	CCONJ	puis
travail	NOUN	travail
jeune	ADJ	jeune
près	ADV	près
7	NUM	7
deux	NUM	deux
nombreuses	ADJ	nombreux
bout	NOUN	bout
son	DET	son
continuer	VERB	continuer
au	ADP	au
.	PUNCT	.
a	AUX	avoir
—	PUNCT	—
qui	PRON	qui
sur	ADP	sur
ancienne	ADJ	ancien
l'	DET	le
tard	ADV	tard
de	ADP	de
soit	VERB	être
déjà	ADV	déjà
si	SCONJ	si
étaient	AUX	être
secrétaire	NOUN	secrétaire
Ne	ADV	ne
devise	NOUN	devise
de	ADP	de
Devinez	VERB	deviner
porte	NOUN	porte
votre	DET	votre
de	ADP	de
sur	ADP	sur
Une	DET	un
mètre	NOUN	mètre
la	DET	le
.	PUNCT	.
son	DET	son
et	CCONJ	et
à	ADP	à
à	ADP	à
l'	DET	le
le	DET	le
Blaine	PROPN	Blaine
Venez	VERB	venir
elle	PRON	lui
douche	NOUN	douche
chemin	NOUN	chemin
la	DET	le
quelque	DET	quelque
Le	DET	le
une	DET	un
été	AUX	être
véranda	NOUN	véranda
chance	NOUN	chance
,	PUNCT	,
la	DET	le
-elle	PRON	lui
Qui	PRON	qui
tranchée	NOUN	tranchée
que	SCONJ	que
,	PUNCT	,
de	ADP	de
moins	ADV	moins
si	ADV	si
se	PRON	se
de	ADP	de
fil	NOUN	fil
en	ADP	en
direction	NOUN	direction
de	ADP	de
dans	ADP	dans
la	DET	le
délicatement	ADV	délicatement
et	CCONJ	et
?	PUNCT	?
pour	ADP	pour
garage	NOUN	garage
,	PUNCT	,
ce	PRON	ce
au-delà	ADV	au-delà
pantalon	NOUN	pantalon
domicile	NOUN	domicile
-il	PRON	il
Prologue	NOUN	prologue
d'	ADP	de
heure	NOUN	heure
pavillons	NOUN	pavillon
trou	NOUN	trou
les	DET	le
jardin	NOUN	jardin
,	PUNCT	,
en	ADP	en
susurra	VERB	susurrer
cheveux	NOUN	cheveu
,	PUNCT	,
Rien	PRON	rien
positive	ADJ	positif
pas	ADV	pas
milieu	NOUN	milieu
l'	DET	le
Quoi	ADV	quoi
maison	NOUN	maison
.	PUNCT	.
hâte	NOUN	hâte
leva	VERB	lever
,	PUNCT	,
Sans	ADP	sans
dehors	NOUN	dehors
de	DET	de
Louis	PROPN	Louis
s'	PRON	se
,	PUNCT	,
Quand	SCONJ	quand
un	DET	un
cet	DET	ce
de	ADP	de
un	DET	un
terrassement	NOUN	terrassement
policier	NOUN	policier
bottes	NOUN	botte
jardin	NOUN	jardin
patron	NOUN	patron
vague	ADJ	vague
trésor	NOUN	trésor
lotissement	NOUN	lotissement
côté	NOUN	côté
et	CCONJ	et
eau	NOUN	eau
et	CCONJ	et
son	DET	son
il	PRON	il
ne	ADV	ne
expression	NOUN	expression
sa	DET	son
Bartowski	PROPN	Bartowski
excavation	NOUN	excavation
ouvriers	NOUN	ouvrier
au	ADP	au
avez	VERB	avoir
oreille	NOUN	oreille
,	PUNCT	,
.	PUNCT	.
en	PRON	en
.	PUNCT	.
fumer	VERB	fumer
comme	ADP	comme
bureau	NOUN	bureau
en	ADP	en
dans	ADP	dans
avait	AUX	avoir
doute	NOUN	doute
café	NOUN	café
peu	ADV	peu
.	PUNCT	.
cet	DET	ce
ouvriers	NOUN	ouvrier
après	ADP	après
Vous	PRON	vous
je	PRON	je
DuPont	PROPN	DuPont
rétorqua	VERB	rétorquer
,	PUNCT	,
du	ADP	de
secrétaire	NOUN	secrétaire
son	DET	son
qui	PRON	qui
d'	ADP	de
Le	DET	le
rien	PRON	rien
mes	DET	mon
longeait	VERB	longer
Robert	PROPN	Robert
Atwood	PROPN	Atwood
grognement	NOUN	grognement
un	DET	un
années	NOUN	année
but	VERB	boire
godet	NOUN	godet
de	ADP	de
communication	NOUN	communication
y	PRON	y
de	ADP	de
remarquer	VERB	remarquer
veston	NOUN	veston
dans	ADP	dans
son	DET	son
se	PRON	se
répliqua	VERB	répliquer
endroit	NOUN	endroit
brigade	NOUN	brigade
ce	DET	ce
.	PUNCT	.
gagner	VERB	gagner
—	PUNCT	—
épaule	NOUN	épaule
,	PUNCT	,
eau	NOUN	eau
les	DET	le
il	PRON	il
pièce	NOUN	pièce
engourdissement	NOUN	engourdissement
en	ADP	en
