essayer	VERB	essayer
enfant	NOUN	enfant
fleurs	NOUN	fleur
la	DET	le
il	PRON	il
de	ADP	de
s'	PRON	se
les	DET	le
trop	ADV	trop
dans	ADP	dans
les	DET	le
membre	NOUN	membre
entrer	VERB	entrer
,	PUNCT	,
aux	ADP	à
grande	ADJ	grand
un	DET	un
ait	AUX	avoir
qui	PRON	qui
voulait	VERB	vouloir
sur	ADP	sur
blotties	VERB	blottir
arrivait	VERB	arriver
soir	NOUN	soir
des	ADP	de
biscottes	NOUN	biscotte
arrêtait	VERB	arrêter
avait	VERB	avoir
relâchait	VERB	relâcher
avec	ADP	avec
tu	PRON	tu
Au	ADP	au
Claudia	PROPN	Claudia
,	PUNCT	,
venait	VERB	venir
lourde	ADJ	lourd
amie	NOUN	amie
Claudia	PROPN	Claudia
allumait	VERB	allumer
.	PUNCT	.
bougies	NOUN	bougie
en	PRON	en
sans	ADP	sans
,	PUNCT	,
qu'	SCONJ	que
grand	ADJ	grand
et	CCONJ	et
de	ADP	de
la	DET	le
,	PUNCT	,
chacun	PRON	chacun
voix	NOUN	voix
la	DET	le
douce	ADJ	doux
en	ADP	en
dont	PRON	dont
.	PUNCT	.
permanence	NOUN	permanence
dans	ADP	dans
autre	PRON	autre
sur	ADP	sur
pas	NOUN	pas
l'	DET	le
désordre	NOUN	désordre
effrayaient	VERB	effrayer
il	PRON	il
derniers	ADJ	dernier
«	PUNCT	«
odeur	NOUN	odeur
s'	PRON	se
électrique	ADJ	électrique
à	ADP	à
Il	PRON	il
une	DET	un
.	PUNCT	.
et	CCONJ	et
assiette	NOUN	assiette
apprenait	VERB	apprendre
.	PUNCT	.
les	DET	le
.	PUNCT	.
intention	NOUN	intention
grenier	NOUN	grenier
s'	PRON	se
air	NOUN	air
délicieux	ADJ	délicieux
vacances	NOUN	vacance
,	PUNCT	,
brouillard	NOUN	brouillard
Oncle	NOUN	oncle
bouger	VERB	bouger
unes	PRON	un
ou	CCONJ	ou
OISEAUX	NOUN	oiseau
de	ADP	de
,	PUNCT	,
plusieurs	DET	plusieurs
demandait	VERB	demander
ce	PRON	ce
en	PRON	en
et	CCONJ	et
devant	ADP	devant
silence	NOUN	silence
teint	NOUN	teint
Ça	PRON	cela
bruit	NOUN	bruit
histoires	NOUN	histoire
Première	ADJ	premier
confiaient	VERB	confier
un	DET	un
dans	ADP	dans
pour	ADP	pour
sur	ADP	sur
C'	PRON	ce
vrai	ADJ	vrai
.	PUNCT	.
teinter	VERB	teinter
-il	PRON	il
inquiet	ADJ	inquiet
.	PUNCT	.
le	DET	le
un	PRON	un
dormir	VERB	dormir
tandis	ADV	tandis
tante	NOUN	tante
un	DET	un
des	DET	un
sa	DET	son
pesamment	ADV	pesamment
sourd	ADJ	sourd
de	ADP	de
tu	PRON	tu
place	NOUN	place
pour	ADP	pour
cousins	NOUN	cousin
aurait	VERB	avoir
et	CCONJ	et
au	ADP	au
fusil	NOUN	fusil
vallée	NOUN	vallée
et	CCONJ	et
là	ADV	là
abattait	VERB	abattre
,	PUNCT	,
un	DET	un
,	PUNCT	,
c'	PRON	ce
savoir	VERB	savoir
preuve	NOUN	preuve
à	ADP	à
éperdu	VERB	éperdre
de	ADP	de
surface	NOUN	surface
convives	NOUN	convive
ensuivait	VERB	ensuivre
autre	PRON	autre
tenait	VERB	tenir
parents	NOUN	parent
y	PRON	y
.	PUNCT	.
les	DET	le
Il	PRON	il
l'	DET	le
:	PUNCT	:
un	DET	un
,	PUNCT	,
Ceux	PRON	celui
aînés	NOUN	aîné
le	DET	le
remplie	VERB	remplir
fantômes	NOUN	fantôme
faisait	VERB	faire
habitaient	VERB	habiter
épousé	VERB	épouser
qu'	SCONJ	que
Ron	PROPN	Ron
d'	ADP	de
montait	VERB	monter
d'	ADP	de
pour	ADP	pour
acceptés	VERB	accepter
ou	CCONJ	ou
enfants	NOUN	enfant
soigneusement	ADV	soigneusement
ils	PRON	il
lire	VERB	lire
,	PUNCT	,
des	DET	un
avait	VERB	avoir
à	ADP	à
que	SCONJ	que
,	PUNCT	,
parlait	VERB	parler
Il	PRON	il
au	ADP	au
un	DET	un
il	PRON	il
contenus	VERB	contenir
Elle	PRON	lui
les	DET	le
.	PUNCT	.
étant	AUX	être
,	PUNCT	,
lumière	NOUN	lumière
Il	PRON	il
,	PUNCT	,
dindes	NOUN	dinde
.	PUNCT	.
les	DET	le
à	ADP	à
un	PRON	un
fois	NOUN	fois
nécessaire	ADJ	nécessaire
les	PRON	le
dans	ADP	dans
.	PUNCT	.
à	ADP	à
fertile	ADJ	fertile
Clarence	PROPN	Clarence
-il	PRON	il
.	PUNCT	.
.	PUNCT	.
,	PUNCT	,
et	CCONJ	et
lumière	NOUN	lumière
,	PUNCT	,
les	DET	le
.	PUNCT	.
qui	PRON	qui
,	PUNCT	,
de	ADP	de
sur	ADP	sur
de	ADP	de
,	PUNCT	,
enfants	NOUN	enfant
était	VERB	être
vers	ADP	vers
et	CCONJ	et
escalier	NOUN	escalier
conservait	VERB	conserver
.	PUNCT	.
Wiston	PROPN	Wiston
de	ADP	de
gras	ADJ	gras
enfants	NOUN	enfant
veloutée	ADJ	velouté
sorgho	NOUN	sorgho
n'	ADV	n'
comme	ADP	comme
attendait	VERB	attendre
un	DET	un
long	ADJ	long
était	AUX	être
sa	DET	son
Clarence	PROPN	Clarence
le	DET	le
si	SCONJ	si
un	DET	un
et	CCONJ	et
oncle	NOUN	oncle
.	PUNCT	.
,	PUNCT	,
fermait	VERB	fermer
—	PUNCT	—
sang	NOUN	sang
cris	NOUN	cri
tantes	NOUN	tante
.	PUNCT	.
même	ADJ	même
âge	NOUN	âge
s'	SCONJ	s'
de	ADP	de
était	AUX	être
des	ADP	de
moment	NOUN	moment
autres	PRON	autre
?	PUNCT	?
—	PUNCT	—
.	PUNCT	.
flanquait	VERB	flanquer
habituelles	ADJ	habituel
la	DET	le
lampe	NOUN	lampe
le	DET	le
HIER	PROPN	HIER
et	CCONJ	et
avaient	VERB	avoir
surprendre	VERB	surprendre
très	ADV	très
que	PRON	que
,	PUNCT	,
choisissaient	VERB	choisir
Je	PRON	je
trouvait	VERB	trouver
Oncles	NOUN	oncle
façon	NOUN	façon
coucher	VERB	coucher
de	ADP	de
s'	PRON	se
Meyer	PROPN	Meyer
.	PUNCT	.
.	PUNCT	.
sans	ADP	sans
il	PRON	il
moment	NOUN	moment
adulte	NOUN	adulte
où	PRON	où
trop	ADV	trop
effet	NOUN	effet
leur	DET	leur
un	DET	un
David	PROPN	David
énorme	ADJ	énorme
1	NUM	1
progéniture	NOUN	progéniture
à	ADP	à
,	PUNCT	,
la	DET	le
se	PRON	se
les	DET	le
.	PUNCT	.
précis	ADJ	précis
son	DET	son
était	AUX	être
l'	DET	le
les	DET	le
lui	PRON	lui
partie	VERB	partir
de	ADP	de
souvenait	VERB	souvenir
les	DET	le
,	PUNCT	,
que	SCONJ	que
autre	ADJ	autre
estomac	NOUN	estomac
d'	ADP	de
très	ADV	très
particulièrement	ADV	particulièrement
refuse	VERB	refuse
lui	PRON	lui
étaid	PROPN	étaid
tirait	VERB	tirer
pour	ADP	pour
sa	DET	son
Sumner	PROPN	Sumner
font	VERB	faire
liens	NOUN	lien
supposés	ADJ	supposer
parlaient	VERB	parler
arbre	NOUN	arbre
sujet	NOUN	sujet
occupaient	VERB	occuper
délayait	VERB	délayer
les	DET	le
Carrie	PROPN	Carrie
jouaient	VERB	jouer
-t	PRON	-t
.	PUNCT	.
—	PUNCT	—
sirop	NOUN	sirop
bruit	NOUN	bruit
,	PUNCT	,
il	PRON	il
bronzé	VERB	bronzer
ses	DET	son
odeurs	NOUN	odeur
jouer	VERB	jouer
couper	VERB	couper
de	ADP	de
œufs	NOUN	œuf
en	ADP	en
oncle	NOUN	oncle
et	CCONJ	et
là	ADV	là
se	PRON	se
silence	NOUN	silence
s'	PRON	se
tous	PRON	tout
avec	ADP	avec
s'	PRON	se
aux	ADP	à
recommençait	VERB	recommencer
Tu	PRON	tu
gros	ADJ	gros
d'	ADP	de
Clarence	PROPN	Clarence
nez	NOUN	nez
,	PUNCT	,
rayon	NOUN	rayon
galopades	NOUN	galopade
Oncle	NOUN	oncle
si	ADV	si
.	PUNCT	.
la	DET	le
David	PROPN	David
force	NOUN	force
comme	ADP	comme
d'	ADP	de
de	ADP	de
interdis	VERB	interdire
.	PUNCT	.
A	AUX	avoir
respiration	NOUN	respiration
de	ADP	de
,	PUNCT	,
les	DET	le
le	DET	le
Quelqu'	PRON	quelqu'
que	PRON	que
les	DET	le
porte	NOUN	porte
S'	SCONJ	s'
lumière	NOUN	lumière
de	ADP	de
la	DET	le
instants	NOUN	instant
les	DET	le
à	ADP	à
et	CCONJ	et
clairs	ADJ	clair
pareille	ADJ	pareil
abattre	VERB	abattre
.	PUNCT	.
à	ADP	à
rayon	NOUN	rayon
plus	ADV	plus
mesure	NOUN	mesure
enfant	NOUN	enfant
dans	ADP	dans
grenier	NOUN	grenier
,	PUNCT	,
qui	PRON	qui
le	PRON	le
un	DET	un
poche	NOUN	poche
qu'	SCONJ	que
les	DET	le
conversation	NOUN	conversation
.	PUNCT	.
la	DET	le
que	SCONJ	que
enfants	NOUN	enfant
cuir	NOUN	cuir
,	PUNCT	,
paillasses	NOUN	paillasse
nouveau	ADJ	nouveau
une	DET	un
Il	PRON	il
lui	PRON	lui
Walt	PROPN	Walt
la	DET	le
mixture	NOUN	mixture
qui	PRON	qui
vestibule	NOUN	vestibule
reprenait	VERB	reprendre
