branches	NOUN	branche
?	PUNCT	?
pouvait	VERB	pouvoir
Va	VERB	aller
il	PRON	il
chaque	DET	chaque
haussa	VERB	hausser
alors	ADV	alors
--	PUNCT	--
a	AUX	avoir
petits	ADJ	petit
--	PUNCT	--
revêtement	NOUN	revêtement
Louis	PROPN	Louis
crachotait	VERB	crachoter
de	ADP	de
l'	DET	le
de	ADP	de
dans	ADP	dans
comme	SCONJ	comme
qui	PRON	qui
c'	PRON	ce
Pas	ADV	pas
œil	NOUN	œil
,	PUNCT	,
continua	VERB	continuer
l'	DET	le
tombait	VERB	tomber
d'	ADP	de
moqueur	ADJ	moqueur
route	NOUN	route
.	PUNCT	.
sur	ADP	sur
le	DET	le
:	PUNCT	:
route	NOUN	route
tu	PRON	tu
histoires	NOUN	histoire
peut-être	ADV	peut-être
un	PRON	un
-	NOUN	-
.	PUNCT	.
sur	ADP	sur
enfonça	VERB	enfoncer
pliaient	VERB	plier
dansent	VERB	danser
-t	PRON	-t
réponse	NOUN	réponse
fumée	NOUN	fumée
s'	PRON	se
pareils	ADJ	pareil
dans	ADP	dans
Mais	CCONJ	mais
avait	VERB	avoir
dit	VERB	dire
des	ADP	de
ou	CCONJ	ou
m'	PRON	me
son	DET	son
hernie	NOUN	hernie
Le	DET	le
--	PUNCT	--
-	NOUN	-
après	ADP	après
souffle	NOUN	souffle
le	DET	le
c'	PRON	ce
D'	ADP	de
un	DET	un
savoir	VERB	savoir
est	VERB	être
peut-être	ADV	peut-être
mais	CCONJ	mais
appuyant	VERB	appuyer
le	DET	le
était	AUX	être
.	PUNCT	.
trop	ADV	trop
plus	ADV	plus
fait	VERB	faire
kilomètres	NOUN	kilomètre
les	DET	le
...	PUNCT	...
de	ADP	de
rétorqua	VERB	rétorquer
pas	ADV	pas
bras	NOUN	bras
chose	NOUN	chose
on	PRON	on
les	DET	le
qui	PRON	qui
cigarette	NOUN	cigarette
que	PRON	que
il	PRON	il
homme	NOUN	homme
Ballon	PROPN	Ballon
serrait	VERB	serrer
--	PUNCT	--
Con	ADJ	con
dit	VERB	dire
y	PRON	y
prends	VERB	prendre
essuie	NOUN	essuie
foutre	VERB	foutre
--	PUNCT	--
du	ADP	de
pas	ADV	pas
.	PUNCT	.
nerveux	ADJ	nerveux
logement	NOUN	logement
essayant	VERB	essayer
...	PUNCT	...
traces	NOUN	trace
de	ADP	de
ceinture	NOUN	ceinture
les	DET	le
cause	NOUN	cause
Tu	PRON	tu
Des	DET	un
n'	ADV	n'
que	SCONJ	que
,	PUNCT	,
comme	ADP	comme
borde	VERB	borde
homme	NOUN	homme
un	DET	un
c'	PRON	ce
les	DET	le
sous	ADP	sous
ou	CCONJ	ou
premier	ADJ	premier
ça	PRON	cela
--	PUNCT	--
...	PUNCT	...
trois	NUM	trois
cette	DET	ce
la	DET	le
croisa	VERB	croiser
si	SCONJ	si
virages	NOUN	virage
au	ADP	au
ça	PRON	cela
troisième	ADJ	troisième
-	NOUN	-
en	PRON	en
trop	ADV	trop
pas	ADV	pas
te	PRON	te
moteur	NOUN	moteur
comme	SCONJ	comme
enclencha	VERB	enclencher
dit	VERB	dire
droite	NOUN	droite
-	ADV	-
de	ADP	de
es	AUX	être
silence	NOUN	silence
quatre	NUM	quatre
du	ADP	de
tapis	NOUN	tapis
de	ADP	de
,	PUNCT	,
pas	ADV	pas
?	PUNCT	?
jamais	ADV	jamais
sur	ADP	sur
.	PUNCT	.
Tu	PRON	tu
pas	ADV	pas
--	PUNCT	--
en	ADP	en
est	AUX	être
le	DET	le
fais	VERB	faire
,	PUNCT	,
,	PUNCT	,
était	AUX	être
grimpe	VERB	grimpe
suivent	VERB	suivre
était	VERB	être
Tout	ADJ	tout
la	DET	le
reste	NOUN	reste
le	DET	le
dis	VERB	dire
n'	ADV	n'
en	ADP	en
Hein	PRON	hein
Les	DET	le
l'	DET	le
plus	ADV	plus
Il	PRON	il
cul	NOUN	cul
Moe	PROPN	Moe
Louis	PROPN	Louis
des	DET	un
et	CCONJ	et
tortille	VERB	tortille
tordre	VERB	tordre
dents	NOUN	dent
--	PUNCT	--
truc	NOUN	truc
et	CCONJ	et
du	ADP	de
l'	DET	le
à	ADP	à
depuis	ADP	depuis
.	PUNCT	.
il	PRON	il
ascension	NOUN	ascension
Si	SCONJ	si
moment	NOUN	moment
savoir	VERB	savoir
fait	VERB	faire
vie	NOUN	vie
dans	ADP	dans
sa	DET	son
sortie	NOUN	sortie
.	PUNCT	.
,	PUNCT	,
,	PUNCT	,
.	PUNCT	.
le	DET	le
sur	ADP	sur
tout	ADV	tout
tout	ADJ	tout
monstres	NOUN	monstre
sa	DET	son
boule	NOUN	boule
gargouillis	NOUN	gargouillis
.	PUNCT	.
le	DET	le
.	PUNCT	.
centimètres	NOUN	centimètre
,	PUNCT	,
Du	ADP	de
bazar	NOUN	bazar
au-dessus	ADV	au-dessus
doigts	NOUN	doigt
La	DET	le
.	PUNCT	.
les	DET	le
Ou	CCONJ	ou
pour	ADP	pour
dit	VERB	dire
ulcère	NOUN	ulcère
T'	PRON	te
Mocky	PROPN	Mocky
c'	PRON	ce
d'	ADP	de
de	ADP	de
peut-être	ADV	peut-être
sa	DET	son
les	DET	le
le	DET	le
un	DET	un
mais	CCONJ	mais
en	ADP	en
ses	DET	son
gelé	VERB	geler
.	PUNCT	.
...	PUNCT	...
plastifié	VERB	plastifier
yeux	NOUN	oeil
tu	PRON	tu
gauche	NOUN	gauche
embout	NOUN	embout
passer	VERB	passer
:	PUNCT	:
il	PRON	il
,	PUNCT	,
,	PUNCT	,
est	AUX	être
,	PUNCT	,
trop	ADV	trop
bien	ADV	bien
le	DET	le
de	ADP	de
pas	ADV	pas
...	PUNCT	...
contrebas	NOUN	contrebas
être	ADV	être
est	AUX	être
,	PUNCT	,
.	PUNCT	.
c'	PRON	ce
glaces	NOUN	glace
mais	CCONJ	mais
sa	DET	son
me	PRON	me
,	PUNCT	,
--	PUNCT	--
lèvres	NOUN	lèvre
détaché	ADJ	détaché
--	PUNCT	--
façon	NOUN	façon
?	PUNCT	?
trois	NUM	trois
.	PUNCT	.
Il	PRON	il
mur	NOUN	mur
ailleurs	ADV	ailleurs
un	DET	un
origine	NOUN	origine
des	ADP	de
j'	PRON	je
qui	PRON	qui
comme	ADP	comme
mouiller	VERB	mouiller
Merde	NOUN	merde
,	PUNCT	,
ça	PRON	cela
et	CCONJ	et
de	ADP	de
.	PUNCT	.
l'	DET	le
l'	DET	le
naturalisé	VERB	naturaliser
ça	PRON	cela
ulcère	NOUN	ulcère
--	PUNCT	--
pas	ADV	pas
truc	NOUN	truc
Mais	CCONJ	mais
pour	ADP	pour
en	PRON	en
de	ADP	de
L'	DET	le
qui	PRON	qui
une	DET	un
à	ADP	à
,	PUNCT	,
les	DET	le
allume	NOUN	allume
glisse	VERB	glisse
:	PUNCT	:
,	PUNCT	,
fait	VERB	faire
films	NOUN	film
bouffé	VERB	bouffer
la	DET	le
l'	DET	le
tout	ADV	tout
une	DET	un
ai	VERB	avoir
se	PRON	se
le	DET	le
de	ADP	de
son	DET	son
Il	PRON	il
flocons	NOUN	flocon
cette	DET	ce
le	DET	le
:	PUNCT	:
siège	NOUN	siège
Et	CCONJ	et
est	AUX	être
route	NOUN	route
,	PUNCT	,
,	PUNCT	,
,	PUNCT	,
impression	NOUN	impression
l'	DET	le
,	PUNCT	,
tension	NOUN	tension
on	PRON	on
...	PUNCT	...
il	PRON	il
de	ADP	de
peut	VERB	pouvoir
Simon	PROPN	Simon
qui	PRON	qui
l'	DET	le
blancs	ADJ	blanc
.	PUNCT	.
ulcères	NOUN	ulcère
un	DET	un
impression	NOUN	impression
demanda	VERB	demander
,	PUNCT	,
tremblement	NOUN	tremblement
,	PUNCT	,
redescendre	VERB	redescendre
replanta	VERB	replanter
petit	ADJ	petit
lui	PRON	lui
neige	NOUN	neige
de	ADP	de
en	PRON	en
Cela	PRON	cela
ça	PRON	cela
le	DET	le
rivés	VERB	river
.	PUNCT	.
revolver	NOUN	revolver
...	PUNCT	...
Mocky	PROPN	Mocky
?	PUNCT	?
de	ADP	de
,	PUNCT	,
se	PRON	se
,	PUNCT	,
des	DET	un
va	VERB	aller
tout	PRON	tout
.	PUNCT	.
J'	PRON	je
pas	ADV	pas
bouche	NOUN	bouche
comme	SCONJ	comme
trop	ADV	trop
à	ADP	à
sortes	NOUN	sorte
À	ADP	à
calabrais	ADV	calabrais
...	PUNCT	...
que	SCONJ	que
Un	DET	un
.	PUNCT	.
et	CCONJ	et
pour	ADP	pour
Louis	PROPN	Louis
Mais	CCONJ	mais
fait	VERB	faire
poche	NOUN	poche
de	ADP	de
tout	ADJ	tout
ulcère	NOUN	ulcère
,	PUNCT	,
dur	ADJ	dur
Albert	PROPN	Albert
j'	PRON	je
d'	ADP	de
son	DET	son
et	CCONJ	et
.	PUNCT	.
-il	PRON	il
,	PUNCT	,
--	PUNCT	--
dans	ADP	dans
,	PUNCT	,
.	PUNCT	.
.	PUNCT	.
,	PUNCT	,
bout	NOUN	bout
grimacer	VERB	grimacer
de	ADP	de
as	VERB	avoir
attitude	NOUN	attitude
très	ADV	très
comme	ADP	comme
--	PUNCT	--
deux	NUM	deux
de	DET	de
bouche	NOUN	bouche
toutes	DET	tout
sur	ADP	sur
qui	PRON	qui
lac	NOUN	lac
va-et-vient	NOUN	va-et-vient
merde	NOUN	merde
Silence	NOUN	silence
matin	NOUN	matin
,	PUNCT	,
du	ADP	de
,	PUNCT	,
a	AUX	avoir
la	DET	le
depuis	ADP	depuis
?	PUNCT	?
qu'	SCONJ	que
,	PUNCT	,
et	CCONJ	et
bouffes	VERB	bouffer
on	PRON	on
en	ADP	en
un	DET	un
siège	NOUN	siège
dans	ADP	dans
,	PUNCT	,
de	DET	de
neige	NOUN	neige
un	DET	un
dit	VERB	dire
,	PUNCT	,
on	PRON	on
Va	VERB	aller
as	VERB	avoir
.	PUNCT	.
geler	VERB	geler
,	PUNCT	,
on	PRON	on
cigare	NOUN	cigare
poignard	NOUN	poignard
côté	NOUN	côté
Die	NOUN	die
-ce	PRON	-ce
écrasa	VERB	écraser
,	PUNCT	,
demanda	VERB	demander
Et	CCONJ	et
on	PRON	on
que	ADV	que
gros	ADJ	gros
C'	PRON	ce
neige	NOUN	neige
Le	DET	le
.	PUNCT	.
fois	NOUN	fois
les	PRON	le
putain	NOUN	putain
cigarette	NOUN	cigarette
somme	NOUN	somme
vacciné	VERB	vacciner
la	DET	le
Qu'	PRON	qu'
de	ADP	de
tu	PRON	tu
la	DET	le
,	PUNCT	,
ton	NOUN	ton
Du	ADP	de
nerveuse	ADJ	nerveux
de	ADP	de
