poussait	VERB	pousser
.	PUNCT	.
seconde	ADJ	second
local	NOUN	local
il	PRON	il
ratées	VERB	rater
dans	ADP	dans
il	PRON	il
jouissait	VERB	jouir
Accolé	VERB	accoler
ne	ADV	ne
sonos	NOUN	sono
interminables	ADJ	interminable
disgrâce	NOUN	disgrâce
passait	VERB	passer
dans	ADP	dans
de	ADP	de
des	DET	un
sa	DET	son
en	ADP	en
à	ADP	à
de	ADP	de
endiablés	ADJ	endiablé
il	PRON	il
accordaient	VERB	accorder
enfin	ADV	enfin
calme	NOUN	calme
ayant	AUX	avoir
s'	PRON	se
sauvé	VERB	sauver
le	DET	le
côté	NOUN	côté
cette	DET	ce
,	PUNCT	,
de	ADP	de
l'	DET	le
,	PUNCT	,
il	PRON	il
disposé	VERB	disposer
d'	DET	d'
qui	PRON	qui
son	DET	son
.	PUNCT	.
en	ADP	en
assumait	VERB	assumer
avait	AUX	avoir
Dieu	PROPN	Dieu
l'	PRON	l'
Il	PRON	il
il	PRON	il
de	ADP	de
lui	PRON	lui
de	ADP	de
en	ADP	en
pas	ADV	pas
un	DET	un
et	CCONJ	et
dont	PRON	dont
deux	NUM	deux
et	CCONJ	et
son	DET	son
,	PUNCT	,
sais	PRON	sais
plongeante	ADJ	plongeant
d'	ADP	de
.	PUNCT	.
les	DET	le
la	DET	le
en	ADP	en
retiré	VERB	retirer
,	PUNCT	,
végétation	NOUN	végétation
elle	PRON	lui
on	PRON	on
l'	DET	le
déceler	VERB	déceler
Il	PRON	il
hiver	NOUN	hiver
à	ADP	à
roi	NOUN	roi
,	PUNCT	,
des	DET	un
pâté	NOUN	pâté
,	PUNCT	,
revanche	NOUN	revanche
évoquait	VERB	évoquer
lilas	NOUN	lilas
-	NOUN	-
cinquième	ADJ	cinquième
cinq	NUM	cinq
se	PRON	se
d'	ADP	de
Celui	PRON	celui
immeubles	NOUN	immeuble
de	ADP	de
,	PUNCT	,
temps	NOUN	temps
en	ADP	en
mais	CCONJ	mais
une	DET	un
des	ADP	de
aux	ADP	à
enclose	VERB	enclore
ces	DET	ce
des	ADP	de
géographie	NOUN	géographie
aigreur	NOUN	aigreur
le	DET	le
que	ADV	que
de	DET	de
de	ADP	de
amis	NOUN	ami
des	DET	un
cour	NOUN	cour
effréné	ADJ	effréné
d'	ADP	de
n'	ADV	n'
de	ADP	de
,	PUNCT	,
exposée	VERB	exposer
splendeur	NOUN	splendeur
l'	DET	le
bouleaux	NOUN	bouleau
résisté	VERB	résister
vaste	ADJ	vaste
de	ADP	de
concentrer	VERB	concentrer
de	ADP	de
grand	ADJ	grand
une	DET	un
sobre	ADJ	sobre
Prokop	PROPN	Prokop
habitait	VERB	habiter
et	CCONJ	et
et	CCONJ	et
Depuis	ADP	depuis
On	PRON	on
lui	PRON	lui
fois	NOUN	fois
rehaussée	VERB	rehausser
de	ADP	de
jeunesse	NOUN	jeunesse
,	PUNCT	,
avait	AUX	avoir
devenu	VERB	devenir
.	PUNCT	.
,	PUNCT	,
de	ADP	de
des	DET	un
seau	NOUN	seau
paternité	NOUN	paternité
avait	AUX	avoir
toutes	DET	tout
sur	ADP	sur
à	ADP	à
été	AUX	être
de	ADP	de
week	NOUN	week
crépi	NOUN	crépi
par	ADP	par
plaques	NOUN	plaque
deux	NUM	deux
de	ADP	de
recouvert	VERB	recouvrir
aux	ADP	à
première	ADJ	premier
d'	ADP	de
sa	DET	son
des	ADP	de
;	PUNCT	;
