régulières	ADJ	régulier
qui	PRON	qui
est	AUX	être
temps	NOUN	temps
partout	ADV	partout
s'	PRON	se
.	PUNCT	.
retardataire	NOUN	retardataire
marche	VERB	marche
c'	PRON	ce
il	PRON	il
peu	ADV	peu
ça	PRON	cela
puis	CCONJ	puis
ci	PRON	ci
il	PRON	il
le	DET	le
qui	PRON	qui
vannes	NOUN	vanne
petit	ADJ	petit
payer	VERB	payer
C.E.T.	PROPN	C.E.T.
comprimé	VERB	comprimer
les	DET	le
comme	ADP	comme
s'	SCONJ	s'
heure	NOUN	heure
,	PUNCT	,
,	PUNCT	,
vrai	ADJ	vrai
serveurs	NOUN	serveur
des	DET	un
deux	PRON	deux
entre	ADP	entre
peu	ADV	peu
à	ADP	à
ou	CCONJ	ou
valse	NOUN	valse
faut	VERB	falloir
excuses	NOUN	excuse
Une	DET	un
a	VERB	avoir
un	DET	un
et	CCONJ	et
un	DET	un
le	DET	le
les	PRON	le
attraper	VERB	attraper
pas	ADV	pas
de	ADP	de
ils	PRON	il
ils	PRON	il
mois	NOUN	mois
quotidien	NOUN	quotidien
sa	DET	son
,	PUNCT	,
gamins	NOUN	gamin
scolaires	ADJ	scolaire
à	ADP	à
.	PUNCT	.
c'	PRON	ce
c'	PRON	ce
fume	VERB	fume
sans	ADP	sans
les	DET	le
Parisien	PROPN	Parisien
est	AUX	être
pointer	VERB	pointer
portes	NOUN	porte
le	PRON	le
C'	PRON	ce
Moins	ADV	moins
pas	ADV	pas
doublant	VERB	doubler
qu'	PRON	qu'
rade	NOUN	rade
croissants	NOUN	croissant
qui	PRON	qui
à	ADP	à
express	PROPN	express
Mais	CCONJ	mais
bousculer	VERB	bousculer
qu'	PRON	qu'
et	CCONJ	et
sont	VERB	être
,	PUNCT	,
dessus	ADV	dessus
il	PRON	il
-	NOUN	-
debout	ADV	debout
gare	NOUN	gare
le	DET	le
minimum	ADV	minimum
débarque	VERB	débarque
dressé	VERB	dresser
le	PRON	le
.	PUNCT	.
,	PUNCT	,
retours	NOUN	retour
sur	ADP	sur
-	PRON	-
elles	PRON	lui
par	ADP	par
souvent	ADV	souvent
sait	VERB	savoir
qui	PRON	qui
nuit	NOUN	nuit
,	PUNCT	,
mine	NOUN	mine
trois	NUM	trois
marche	VERB	marche
C'	PRON	ce
.	PUNCT	.
,	PUNCT	,
,	PUNCT	,
épaule	NOUN	épaule
.	PUNCT	.
coup	NOUN	coup
il	PRON	il
,	PUNCT	,
Celle	PRON	celui
couloir	NOUN	couloir
précis	ADJ	précis
Cela	PRON	cela
doublé	VERB	doubler
-	PROPN	-
,	PUNCT	,
ce	PRON	ce
d'	ADP	de
vite	ADV	vite
mais	CCONJ	mais
,	PUNCT	,
soit	CCONJ	soit
moins	ADV	moins
oreilles	NOUN	oreille
le	DET	le
.	PUNCT	.
droit	ADJ	droit
sept	NUM	sept
tombe	VERB	tombe
-il	PRON	il
dépendra	VERB	dépendre
faut	VERB	falloir
autre	ADJ	autre
les	DET	le
ceux	PRON	celui
réflexe	ADJ	réflexe
chôment	VERB	chômer
petit	ADJ	petit
cinq	NUM	cinq
carré	NOUN	carré
marche	VERB	marche
au	ADP	au
Remarque	NOUN	remarque
décharge	NOUN	décharge
arrivée	NOUN	arrivée
marchepied	NOUN	marchepied
il	PRON	il
il	PRON	il
la	DET	le
comme	ADP	comme
fichue	VERB	fichue
question	NOUN	question
se	PRON	se
.	PUNCT	.
aussi	ADV	aussi
regard	NOUN	regard
périodes	NOUN	période
Mais	CCONJ	mais
troupe	NOUN	troupe
feuille	NOUN	feuille
convenu	VERB	convenir
sauvignons	NOUN	sauvignon
la	DET	le
de	ADP	de
amuse	VERB	amuse
jours	NOUN	jour
faire	VERB	faire
y	PRON	y
en	PRON	en
prime	NOUN	prime
,	PUNCT	,
un	DET	un
nez	NOUN	nez
eux	PRON	lui
façon	NOUN	façon
arrêt	NOUN	arrêt
aujourd'hui	ADV	aujourd'hui
les	DET	le
faudra	VERB	falloir
en	PRON	en
,	PUNCT	,
il	PRON	il
.	PUNCT	.
,	PUNCT	,
est	AUX	être
lui	PRON	lui
pu	VERB	pouvoir
le	DET	le
dû	VERB	devoir
visages	NOUN	visage
coup	NOUN	coup
la	DET	le
se	PRON	se
se	PRON	se
week	NOUN	week
,	PUNCT	,
Le	DET	le
entend	VERB	entendre
d'	ADP	de
de	ADP	de
.	PUNCT	.
a	VERB	avoir
suivant	ADJ	suivant
vagues	NOUN	vague
les	DET	le
,	PUNCT	,
scandales	NOUN	scandale
un	DET	un
,	PUNCT	,
quai	NOUN	quai
des	ADP	de
trente-cinq	PRON	trente-cinq
même	ADJ	même
par	ADV	par
,	PUNCT	,
tige	NOUN	tige
laquelle	PRON	lequel
traverser	VERB	traverser
six	NUM	six
deux	NUM	deux
qu'	SCONJ	que
plus	ADV	plus
il	PRON	il
il	PRON	il
montre	NOUN	montre
que	SCONJ	que
parmi	ADP	parmi
lui	PRON	lui
croisent	VERB	croiser
train	NOUN	train
bien	ADV	bien
côté	NOUN	côté
à	ADP	à
ce	PRON	ce
un	DET	un
ça	PRON	cela
soit	CCONJ	soit
.	PUNCT	.
avant	ADP	avant
,	PUNCT	,
ici	ADV	ici
même	ADV	même
arrive	VERB	arrive
,	PUNCT	,
-	ADV	-
encore	ADV	encore
pas	ADV	pas
,	PUNCT	,
à	ADP	à
mal	ADV	mal
sauf	ADP	sauf
Leurs	DET	leur
,	PUNCT	,
peu	ADV	peu
du	ADP	de
Lui	PRON	lui
assise	VERB	asseoir
quai	NOUN	quai
de	DET	de
il	PRON	il
la	DET	le
,	PUNCT	,
échapper	VERB	échapper
.	PUNCT	.
si	SCONJ	si
Leurs	DET	leur
tous	ADJ	tout
express	VERB	express
.	PUNCT	.
au	ADP	au
,	PUNCT	,
-t	PRON	-t
qui	PRON	qui
chaque	DET	chaque
aussi	ADV	aussi
en	ADP	en
rester	VERB	rester
seulement	ADV	seulement
avance	NOUN	avance
une	DET	un
se	PRON	se
zinc	NOUN	zinc
toute	DET	tout
des	ADP	de
tous	ADJ	tout
trois	NUM	trois
un	DET	un
sens	NOUN	sens
-	PROPN	-
jours	NOUN	jour
Avant	ADP	avant
est	AUX	être
d'	ADP	de
.	PUNCT	.
le	DET	le
monnaie	NOUN	monnaie
,	PUNCT	,
files	NOUN	file
s'	PRON	se
la	DET	le
vaste	ADJ	vaste
ce	DET	ce
entières	ADJ	entier
en	ADP	en
les	DET	le
brasse	VERB	brasser
,	PUNCT	,
divisent	VERB	diviser
venant	VERB	venir
soit	CCONJ	soit
mais	CCONJ	mais
page	NOUN	page
y	PRON	y
lit	VERB	lire
loupé	VERB	louper
fait	VERB	faire
journal	NOUN	journal
voit	VERB	voir
jour	NOUN	jour
juste	ADV	juste
avec	ADP	avec
dans	ADP	dans
de	ADP	de
file	NOUN	file
,	PUNCT	,
fermeture	NOUN	fermeture
à	ADP	à
il	PRON	il
de	ADP	de
dans	ADP	dans
trou	NOUN	trou
il	PRON	il
c'	PRON	ce
attente	NOUN	attente
.	PUNCT	.
plus	ADP	plus
l'	DET	le
.	PUNCT	.
vitesses	NOUN	vitesse
l'	DET	le
milieu	NOUN	milieu
donc	ADV	donc
des	ADP	de
loupé	VERB	louper
semaines	NOUN	semaine
identifiés	VERB	identifier
derrière	ADP	derrière
à	ADP	à
est	AUX	être
trois	NUM	trois
ce	PRON	ce
boîte	NOUN	boîte
cela	PRON	cela
d'	ADP	de
pub	NOUN	pub
Le	DET	le
la	DET	le
périodes	NOUN	période
ends	NOUN	end
eux	PRON	lui
serait	AUX	être
serré	ADJ	serrer
s'	PRON	se
quai	NOUN	quai
inox	ADJ	inox
d'	ADP	de
cafét	NOUN	cafét
lui	PRON	lui
ne	ADV	ne
trains	NOUN	train
de	ADP	de
-	PROPN	-
peu	ADV	peu
,	PUNCT	,
n'	ADV	n'
traînards	NOUN	traînard
gars	NOUN	gars
,	PUNCT	,
le	DET	le
bonne	ADJ	bon
comme	ADP	comme
,	PUNCT	,
.	PUNCT	.
allez	VERB	aller
au	ADP	au
les	DET	le
peine	ADV	peine
onze	PRON	onze
cette	DET	ce
ont	VERB	avoir
un	DET	un
grappe	NOUN	grappe
,	PUNCT	,
a	AUX	avoir
Puis	CCONJ	puis
porte	VERB	porte
salle	NOUN	salle
la	DET	le
de	ADP	de
.	PUNCT	.
la	DET	le
six	NUM	six
la	DET	le
,	PUNCT	,
dans	ADP	dans
,	PUNCT	,
est	AUX	être
le	DET	le
importe	VERB	importe
.	PUNCT	.
les	DET	le
et	CCONJ	et
mais	CCONJ	mais
,	PUNCT	,
ils	PRON	il
métro	NOUN	métro
qu'	SCONJ	que
radar	NOUN	radar
ou	CCONJ	ou
Quelquefois	ADV	quelquefois
,	PUNCT	,
face	NOUN	face
,	PUNCT	,
aux	ADP	à
on	PRON	on
cigarettes	NOUN	cigarette
des	ADP	de
dans	ADP	dans
alors	ADV	alors
ils	PRON	il
,	PUNCT	,
à	ADP	à
ceux	PRON	celui
y	PRON	y
,	PUNCT	,
lui	PRON	lui
assaut	NOUN	assaut
n'	ADV	n'
à	ADP	à
par	ADP	par
quai	NOUN	quai
,	PUNCT	,
huilé	VERB	huiler
titres	NOUN	titre
aux	ADP	à
mangez	VERB	manger
la	DET	le
,	PUNCT	,
,	PUNCT	,
l'	DET	le
coup	NOUN	coup
crème	NOUN	crème
fois	NOUN	fois
