grossièreté	NOUN	grossièreté
la	DET	le
transformée	VERB	transformer
,	PUNCT	,
est	AUX	être
du	ADP	de
la	DET	le
crayon	NOUN	crayon
bordé	VERB	border
se	PRON	se
morte	ADJ	mort
a	VERB	avoir
Carol	PROPN	Carol
rouler	VERB	rouler
l'	DET	le
Morte	ADJ	mort
jamais	ADV	jamais
fier	ADJ	fier
disparaître	VERB	disparaître
.	PUNCT	.
cloutée	VERB	clouter
suis	AUX	être
une	DET	un
la	DET	le
que	PRON	que
appuyées	VERB	appuyer
châle	NOUN	châle
et	CCONJ	et
la	DET	le
.	PUNCT	.
laissa	VERB	laisser
elle-même	PRON	lui-même
Louise	PROPN	Louise
ne	ADV	ne
leur	DET	leur
rouler	VERB	rouler
il	PRON	il
elle	PRON	lui
enfermée	VERB	enfermer
,	PUNCT	,
«	PUNCT	«
,	PUNCT	,
au	ADP	au
délabré	VERB	délabrer
et	CCONJ	et
même	ADV	même
près	ADV	près
les	DET	le
ans	NOUN	an
Je	PRON	je
chirurgien	NOUN	chirurgien
lourde	ADJ	lourd
et	CCONJ	et
.	PUNCT	.
un	DET	un
.	PUNCT	.
feuillage	NOUN	feuillage
du	ADP	de
,	PUNCT	,
enthousiasme	NOUN	enthousiasme
un	DET	un
me	NOUN	me
buste	NOUN	buste
,	PUNCT	,
vue	NOUN	vue
argent	NOUN	argent
propos	NOUN	propos
sent	VERB	sentir
joli	ADJ	joli
elle-même	PRON	lui-même
de	ADP	de
,	PUNCT	,
.	PUNCT	.
colimaçon	NOUN	colimaçon
fille	NOUN	fille
célèbre	ADJ	célèbre
aperçoit	VERB	apercevoir
cherche	VERB	cherche
ruine	NOUN	ruine
aïeule	NOUN	aïeul
,	PUNCT	,
C'	PRON	ce
une	DET	un
—	PUNCT	—
—	PUNCT	—
Vous	PRON	vous
style	NOUN	style
Ça	PRON	cela
devrait	VERB	devoir
entrouverte	VERB	entrouvrir
une	DET	un
sa	DET	son
va	VERB	aller
authentique	ADJ	authentique
ou	CCONJ	ou
s'	PRON	se
A	ADP	à
vallonnements	NOUN	vallonnement
piscine	NOUN	piscine
,	PUNCT	,
se	PRON	se
de	ADP	de
d'	ADP	de
début	NOUN	début
endroit	NOUN	endroit
.	PUNCT	.
.	PUNCT	.
regardé	VERB	regarder
l'	DET	le
la	DET	le
et	CCONJ	et
mettre	VERB	mettre
satisfaire	VERB	satisfaire
détente	NOUN	détente
et	CCONJ	et
–	PUNCT	–
puis	CCONJ	puis
.	PUNCT	.
,	PUNCT	,
le	DET	le
la	DET	le
,	PUNCT	,
de	ADP	de
qui	PRON	qui
qu'	SCONJ	que
elle	PRON	lui
santé	NOUN	santé
de	ADP	de
elle	PRON	lui
eut	VERB	avoir
.	PUNCT	.
-	ADV	-
vérifié	VERB	vérifier
pour	ADP	pour
un	DET	un
roucoulement	NOUN	roucoulement
et	CCONJ	et
…	PUNCT	…
!	PUNCT	!
Carol	PROPN	Carol
—	PUNCT	—
je	PRON	je
ouvrit	VERB	ouvrir
Savamment	ADV	savamment
enleva	VERB	enlever
puis	CCONJ	puis
la	DET	le
la	DET	le
brillant	ADJ	brillant
heureuse	ADJ	heureux
Un	DET	un
écouta	VERB	écouter
blessée	VERB	blesser
.	PUNCT	.
il	PRON	il
,	PUNCT	,
retrouve	VERB	retrouve
.	PUNCT	.
le	DET	le
qu'	ADV	qu'
on	PRON	on
n'	ADV	n'
au	ADP	au
vous	PRON	vous
,	PUNCT	,
sa	DET	son
l'	DET	le
elle	PRON	lui
comtesse	NOUN	comtesse
elle	PRON	lui
M	NOUN	m
sur	ADP	sur
montre	NOUN	montre
privée	VERB	priver
raisons	NOUN	raison
,	PUNCT	,
fille	NOUN	fille
disposés	VERB	disposer
à	ADP	à
méfaits	NOUN	méfait
fois	NOUN	fois
Tu	PRON	tu
fin	NOUN	fin
emportée	VERB	emporter
est	VERB	être
matin	NOUN	matin
à	ADP	à
neuf	NUM	neuf
minutes	NOUN	minute
la	DET	le
PREMIER	ADJ	premier
,	PUNCT	,
l'	DET	le
ancêtres	NOUN	ancêtre
.	PUNCT	.
magnifique	ADJ	magnifique
—	PUNCT	—
du	ADP	de
point	ADV	point
se	PRON	se
évidence	NOUN	évidence
murmura	VERB	murmurer
Silence	NOUN	silence
visage	NOUN	visage
où	PRON	où
fille	NOUN	fille
la	DET	le
château	NOUN	château
grand-mère	NOUN	grand-mère
était	AUX	être
est	AUX	être
fardées	VERB	farder
de	ADP	de
Arnaud	PROPN	Arnaud
faire	AUX	faire
et	CCONJ	et
minute	NOUN	minute
que	SCONJ	que
le	DET	le
,	PUNCT	,
soucis	NOUN	souci
néanmoins	ADV	néanmoins
sans	ADP	sans
sans	ADP	sans
durant	ADP	durant
,	PUNCT	,
s'	PRON	se
dans	ADP	dans
?	PUNCT	?
.	PUNCT	.
,	PUNCT	,
avait	AUX	avoir
.	PUNCT	.
son	DET	son
en	ADP	en
laisser	VERB	laisser
—	PUNCT	—
état	NOUN	état
air	NOUN	air
passant	VERB	passer
conversation	NOUN	conversation
Tu	PRON	tu
Par	ADP	par
Carol	PROPN	Carol
vieille	ADJ	vieux
me	ADJ	m
enflammées	VERB	enflammer
.	PUNCT	.
Aube	PROPN	Aube
Le	DET	le
.	PUNCT	.
que	ADV	que
avec	ADP	avec
le	DET	le
absolument	ADV	absolument
parc	NOUN	parc
de	ADP	de
vous	PRON	vous
du	ADP	de
sur	ADP	sur
si	ADV	si
ordre	NOUN	ordre
le	DET	le
le	PRON	le
cette	DET	ce
sa	DET	son
plus	ADV	plus
sur	ADP	sur
.	PUNCT	.
.	PUNCT	.
l'	PRON	l'
non	ADV	non
comment	ADV	comment
,	PUNCT	,
tu	PRON	tu
—	PUNCT	—
travail	NOUN	travail
chaude	ADJ	chaud
sans	ADP	sans
occupations	NOUN	occupation
n'	ADV	n'
dix	NUM	dix
,	PUNCT	,
la	PRON	le
ma	DET	mon
sa	DET	son
dépend	VERB	dépendre
tâche	NOUN	tâche
comprends	VERB	comprendre
.	PUNCT	.
discrètement	ADV	discrètement
et	CCONJ	et
de	ADP	de
compréhensif	ADJ	compréhensif
,	PUNCT	,
et	CCONJ	et
de	ADP	de
est	AUX	être
Henri	PROPN	Henri
suspens	NOUN	suspens
elle	PRON	lui
L'	DET	le
les	DET	le
un	DET	un
traite	VERB	traire
les	DET	le
au	ADP	au
fauteuil	NOUN	fauteuil
manque	VERB	manque
sans	ADP	sans
allure	NOUN	allure
ne	ADV	ne
se	PRON	se
D	NOUN	d
de	ADP	de
,	PUNCT	,
,	PUNCT	,
Carol	PROPN	Carol
du	ADP	de
.	PUNCT	.
château	NOUN	château
sa	DET	son
?	PUNCT	?
étendait	VERB	étendre
,	PUNCT	,
et	CCONJ	et
en	ADP	en
l'	DET	le
devenir	VERB	devenir
tristesse	NOUN	tristesse
Il	PRON	il
de	ADP	de
sentez	VERB	sentir
beau	ADJ	beau
ranger	VERB	ranger
de	ADP	de
remettre	VERB	remettre
et	CCONJ	et
du	ADP	de
crémone	NOUN	crémone
vêtir	VERB	vêtir
,	PUNCT	,
,	PUNCT	,
résigne	VERB	résigne
,	PUNCT	,
mystérieux	ADJ	mystérieux
jamais	ADV	jamais
remarquable	ADJ	remarquable
.	PUNCT	.
il	PRON	il
,	PUNCT	,
matin	NOUN	matin
longues	ADJ	long
moins	ADV	moins
se	PRON	se
en	ADP	en
,	PUNCT	,
.	PUNCT	.
à	ADP	à
attendu	VERB	attendre
n'	ADV	n'
plateau	NOUN	plateau
mais	CCONJ	mais
soir	NOUN	soir
Pons	PROPN	Pons
la	DET	le
n'	ADV	n'
que	PRON	que
tenir	VERB	tenir
rester	VERB	rester
être	AUX	être
les	DET	le
.	PUNCT	.
effroi	NOUN	effroi
à	ADP	à
l'	DET	le
l'	DET	le
abominable	ADJ	abominable
Noblesse	NOUN	noblesse
sa	DET	son
s'	PRON	se
refusé	VERB	refuser
ce	DET	ce
Le	DET	le
en	PRON	en
précipitamment	ADV	précipitamment
-moi	PRON	moi
la	DET	le
.	PUNCT	.
chambre	NOUN	chambre
Arnaud	PROPN	Arnaud
.	PUNCT	.
,	PUNCT	,
jamais	ADV	jamais
accorde	VERB	accorde
,	PUNCT	,
de	ADP	de
de	ADP	de
Tout	PRON	tout
du	ADP	de
loin	ADV	loin
altière	ADJ	altier
Il	PRON	il
se	PRON	se
apporter	VERB	apporter
.	PUNCT	.
à	ADP	à
serait	AUX	être
pas	ADV	pas
.	PUNCT	.
sa	DET	son
.	PUNCT	.
ameublement	NOUN	ameublement
pas	ADV	pas
la	DET	le
bon	ADJ	bon
elle	PRON	lui
Graffigny	PROPN	Graffigny
épouserai	VERB	épouser
fait	VERB	faire
.	PUNCT	.
enfila	VERB	enfiler
patron	NOUN	patron
notaire	NOUN	notaire
,	PUNCT	,
amour	NOUN	amour
meilleur	ADJ	meilleur
race	NOUN	race
matin	NOUN	matin
acquéreur	NOUN	acquéreur
d'	ADP	de
à	ADP	à
alerté	VERB	alerter
Pardonnez	VERB	pardonner
les	DET	le
toute	DET	tout
?	PUNCT	?
.	PUNCT	.
.	PUNCT	.
…	PUNCT	…
chambre	NOUN	chambre
son	DET	son
elle	PRON	lui
…	PUNCT	…
!	PUNCT	!
heure	NOUN	heure
—	PUNCT	—
vieille	ADJ	vieux
contacte	VERB	contacte
dame	NOUN	dame
unique	ADJ	unique
fille	NOUN	fille
Elle	PRON	lui
.	PUNCT	.
savait	VERB	savoir
de	ADP	de
de	ADP	de
vers	ADP	vers
la	DET	le
Tu	PRON	tu
n'	ADV	n'
trouvez	VERB	trouver
la	PRON	le
toit	NOUN	toit
peut-être	ADV	peut-être
cathédrale	NOUN	cathédrale
jugea	VERB	juger
-elle	PRON	lui
un	DET	un
De	ADP	de
.	PUNCT	.
ses	DET	son
c'	PRON	ce
—	PUNCT	—
travailles	VERB	travailler
en	ADP	en
-je	PRON	je
,	PUNCT	,
condamnée	VERB	condamner
long	ADJ	long
ai	AUX	avoir
épouse	NOUN	épouse
r	NOUN	r
fille	NOUN	fille
à	ADP	à
la	DET	le
sans	ADP	sans
de	ADP	de
demanda	VERB	demander
—	PUNCT	—
presque	ADV	presque
suis	AUX	être
,	PUNCT	,
ancêtres	NOUN	ancêtre
en	ADP	en
,	PUNCT	,
les	DET	le
son	DET	son
pas	ADV	pas
