dessinant	VERB	dessiner
de	ADP	de
cascade	NOUN	cascade
ou	CCONJ	ou
maison	NOUN	maison
des	ADP	de
se	PRON	se
.	PUNCT	.
ombelles	NOUN	ombelle
plein	NOUN	plein
et	CCONJ	et
.	PUNCT	.
clocher	NOUN	clocher
parfois	ADV	parfois
et	CCONJ	et
carré	ADJ	carré
heures	NOUN	heure
d'	ADP	de
et	CCONJ	et
passe	VERB	passer
graminées	NOUN	graminée
.	PUNCT	.
que	SCONJ	que
proche	ADJ	proche
trentaine	NOUN	trentaine
d'	DET	d'
mordent	VERB	mordre
.	PUNCT	.
coïncide	VERB	coïncide
comme	ADP	comme
aux	ADP	à
tête	NOUN	tête
en	ADP	en
cascade	NOUN	cascade
regarder	VERB	regarder
se	PRON	se
aux	ADP	à
tout	ADV	tout
voir	VERB	voir
le	DET	le
canal	NOUN	canal
disjointes	VERB	disjoindre
.	PUNCT	.
accumulé	VERB	accumuler
,	PUNCT	,
d'	ADP	de
personnages	NOUN	personnage
la	DET	le
.	PUNCT	.
de	ADP	de
de	ADP	de
.	PUNCT	.
arêtes	NOUN	arête
souples	ADJ	souple
est	AUX	être
quatre	NUM	quatre
pâle	ADJ	pâle
la	DET	le
de	ADP	de
ombelles	NOUN	ombelle
touffes	NOUN	touffe
Les	DET	le
amont	NOUN	amont
.	PUNCT	.
.	PUNCT	.
massif	ADJ	massif
scierie	NOUN	scierie
mer	NOUN	mer
sur	ADP	sur
murette	NOUN	murette
clairs	ADJ	clair
pont	NOUN	pont
voir	VERB	voir
bords	NOUN	bord
clocher	NOUN	clocher
à	ADP	à
Sortant	VERB	sortir
qui	PRON	qui
celles	PRON	celui
soleil	NOUN	soleil
sous	ADP	sous
plantés	VERB	planter
la	DET	le
un	DET	un
violacée	ADJ	violacé
amont	NOUN	amont
cannas	NOUN	canna
qui	PRON	qui
sépare	VERB	sépare
le	DET	le
vallée	NOUN	vallée
le	DET	le
le	DET	le
,	PUNCT	,
ciel	NOUN	ciel
lui	PRON	lui
tour	NOUN	tour
planté	VERB	planter
passe	VERB	passer
la	DET	le
contours	NOUN	contour
formant	VERB	former
en	ADP	en
l'	DET	le
baie	NOUN	baie
de	ADP	de
la	DET	le
fermée	VERB	fermer
endroits	NOUN	endroit
capte	VERB	capte
d'	ADP	de
bord	NOUN	bord
une	DET	un
bruit	NOUN	bruit
fleurs	NOUN	fleur
se	PRON	se
le	DET	le
élève	VERB	élever
supportent	VERB	supporter
plates	ADJ	plat
de	ADP	de
rectangle	NOUN	rectangle
arche	NOUN	arche
couteaux	NOUN	couteau
l'	PRON	l'
de	ADP	de
De	DET	de
et	CCONJ	et
dirige	VERB	diriger
qui	PRON	qui
pyramide	NOUN	pyramide
raideur	NOUN	raideur
muent	VERB	muer
s'	PRON	se
un	DET	un
les	DET	le
pyramide	NOUN	pyramide
brouillard	NOUN	brouillard
ocre	NOUN	ocre
porte	NOUN	porte
,	PUNCT	,
en	ADP	en
déborde	VERB	déborde
vert	NOUN	vert
sont	AUX	être
Si	SCONJ	si
-	PRON	-
contrebas	NOUN	contrebas
rouillé	VERB	rouiller
triangle	NOUN	triangle
celui-ci	PRON	celui-ci
se	PRON	se
un	DET	un
,	PUNCT	,
cascade	NOUN	cascade
arbustes	NOUN	arbuste
de	ADP	de
de	ADP	de
fixe	VERB	fixe
fixe	VERB	fixe
paroi	NOUN	paroi
cannas	NOUN	canna
menus	ADJ	menu
forment	VERB	former
la	DET	le
Peu	ADV	peu
le	DET	le
de	ADP	de
À	ADP	à
continue	VERB	continue
esplanade	NOUN	esplanade
coloriées	VERB	colorier
kilomètre	NOUN	kilomètre
trop	ADV	trop
sépare	VERB	sépare
s'	PRON	se
ombrelle	NOUN	ombrelle
d'	ADP	de
tiges	NOUN	tige
la	DET	le
Le	DET	le
.	PUNCT	.
lapin	NOUN	lapin
