inévitablement	ADV	inévitablement
collection	NOUN	collection
!	PUNCT	!
s'	PRON	se
était	AUX	être
close	VERB	clore
connaissait	VERB	connaître
,	PUNCT	,
importante	ADJ	important
dans	ADP	dans
,	PUNCT	,
pas	ADV	pas
passer	VERB	passer
tenu	VERB	tenir
bien	ADV	bien
soir	NOUN	soir
défilé	NOUN	défilé
en	ADP	en
ce	PRON	ce
C'	PRON	ce
plus	ADV	plus
allait	VERB	aller
de	ADP	de
usine	NOUN	usine
trop	ADV	trop
avec	ADP	avec
pas	ADV	pas
au	ADP	au
par	ADP	par
avait	AUX	avoir
ça	PRON	cela
pas	ADV	pas
valait	VERB	valoir
crois	VERB	croire
marque	NOUN	marque
Cylia	PROPN	Cylia
proposant	VERB	proposer
!	PUNCT	!
fait	NOUN	fait
,	PUNCT	,
de	ADP	de
!	PUNCT	!
n'	ADV	n'
était	AUX	être
le	DET	le
était	AUX	être
de	ADP	de
c'	PRON	ce
travaille	VERB	travaille
,	PUNCT	,
mettre	VERB	mettre
Ça	PRON	cela
avec	ADP	avec
Mieux	ADV	mieux
avait	AUX	avoir
pas	ADV	pas
Elle	PRON	lui
dégénéraient	VERB	dégénérer
coup	NOUN	coup
Il	PRON	il
avait	AUX	avoir
dans	ADP	dans
aussi	ADV	aussi
d'	ADP	de
!	PUNCT	!
prendre	VERB	prendre
,	PUNCT	,
,	PUNCT	,
dit	VERB	dire
une	DET	un
habituelles	ADJ	habituel
Je	PRON	je
déjà	ADV	déjà
se	PRON	se
est	VERB	être
s	PRON	s
en	PRON	en
Inutile	ADV	inutile
avait	AUX	avoir
moins	ADV	moins
...	PUNCT	...
,	PUNCT	,
avait	AUX	avoir
sur	ADP	sur
téléphone	NOUN	téléphone
c'	PRON	ce
eu	VERB	avoir
quinze	NUM	quinze
»	PUNCT	»
y	PRON	y
ce	DET	ce
—	PUNCT	—
casser	VERB	casser
Oh	INTJ	Oh
continué	VERB	continuer
à	ADP	à
est	AUX	être
sa	DET	son
,	PUNCT	,
Elle	PRON	lui
casse	NOUN	casse
souvenirs	NOUN	souvenir
avait	AUX	avoir
ni	CCONJ	ni
«	PUNCT	«
et	CCONJ	et
encore	ADV	encore
mode	NOUN	mode
donné	VERB	donner
te	PRON	te
une	DET	un
figure	NOUN	figure
dans	ADP	dans
,	PUNCT	,
,	PUNCT	,
rendre	VERB	rendre
existait	VERB	exister
prolonger	VERB	prolonger
ces	DET	ce
que	SCONJ	que
qu'	PRON	qu'
avait	AUX	avoir
vouloir	VERB	vouloir
de	ADP	de
comme	SCONJ	comme
vêtements	NOUN	vêtement
répétait	VERB	répéter
Elvire	PROPN	Elvire
je	PRON	je
la	DET	le
leur	DET	leur
,	PUNCT	,
jusqu'	ADP	jusque
ailleurs	ADV	ailleurs
.	PUNCT	.
,	PUNCT	,
se	PRON	se
plus	ADV	plus
avec	ADP	avec
,	PUNCT	,
ne	ADV	ne
société	NOUN	société
installés	VERB	installer
15	NUM	15
salon	NOUN	salon
aux	ADP	à
avait	AUX	avoir
Voilà	VERB	voilà
organisait	VERB	organiser
!	PUNCT	!
type	NOUN	type
elle	PRON	lui
était	AUX	être
voir	VERB	voir
...	PUNCT	...
Tiens	ADV	tiens
les	DET	le
participer	VERB	participer
tu	PRON	tu
:	PUNCT	:
pourtant	ADV	pourtant
son	DET	son
.	PUNCT	.
est	AUX	être
d'	ADP	de
ivoire	NOUN	ivoire
succès	NOUN	succès
la	DET	le
en	PRON	en
collections	NOUN	collection
rangeant	VERB	ranger
qui	PRON	qui
A	ADP	à
amoureux	NOUN	amoureux
je	PRON	je
qui	PRON	qui
en	ADP	en
Bien	ADV	bien
couplet	NOUN	couplet
en	ADP	en
Cylia	PROPN	Cylia
rien	PRON	rien
,	PUNCT	,
Michaël	PROPN	Michaël
garder	VERB	garder
le	DET	le
bons	ADJ	bon
.	PUNCT	.
styliste	NOUN	styliste
Elle	PRON	lui
un	DET	un
trente	NUM	trente
scènes	NOUN	scène
:	PUNCT	:
...	PUNCT	...
réussite	NOUN	réussite
Et	CCONJ	et
et	CCONJ	et
côté	NOUN	côté
«	PUNCT	«
commencé	VERB	commencer
au	ADP	au
fin	NOUN	fin
extravagant	ADJ	extravagant
.	PUNCT	.
et	CCONJ	et
le	DET	le
avait	AUX	avoir
quatre	NUM	quatre
le	DET	le
mots	NOUN	mot
installée	VERB	installer
tu	PRON	tu
un	PRON	un
—	PUNCT	—
,	PUNCT	,
se	PRON	se
Pourquoi	ADV	pourquoi
vie	NOUN	vie
calmement	ADV	calmement
trop	ADV	trop
elle	PRON	lui
devenait	VERB	devenir
qui	PRON	qui
»	PUNCT	»
ne	ADV	ne
Il	PRON	il
ans	NOUN	an
que	PRON	que
et	CCONJ	et
-elle	PRON	lui
si	SCONJ	si
peut-être	ADV	peut-être
dans	ADP	dans
envie	NOUN	envie
couture	NOUN	couture
parler	VERB	parler
gueule	NOUN	gueule
encore	ADV	encore
de	ADP	de
!	PUNCT	!
prêt-à-porter	NOUN	prêt-à-porter
étant	AUX	être
pas	ADV	pas
sais	VERB	savoir
depuis	ADP	depuis
la	DET	le
en	ADP	en
un	DET	un
le	DET	le
qui	PRON	qui
...	PUNCT	...
propre	ADJ	propre
quart	NOUN	quart
beauté	NOUN	beauté
Depuis	ADP	depuis
toutes	ADJ	tout
ses	DET	son
