simplement	ADV	simplement
.	PUNCT	.
il	PRON	il
en	ADP	en
comme	ADP	comme
et	CCONJ	et
gueule	NOUN	gueule
qu'	SCONJ	que
le	PRON	le
mais	CCONJ	mais
bleutée	ADJ	bleuté
,	PUNCT	,
,	PUNCT	,
l'	DET	le
remercia	VERB	remercier
et	CCONJ	et
de	ADP	de
il	PRON	il
un	DET	un
des	ADP	de
aristocratique	ADJ	aristocratique
taches	NOUN	tache
démontrait	VERB	démontrer
ultérieur	ADJ	ultérieur
blonde	NOUN	blonde
aguets	NOUN	aguets
le	DET	le
-t	PRON	-t
Mais	CCONJ	mais
?	PUNCT	?
Jackson	PROPN	Jackson
dernier	ADJ	dernier
du	ADP	de
.	PUNCT	.
la	DET	le
pour	ADP	pour
.	PUNCT	.
gris	ADJ	gris
elle	PRON	lui
au	ADP	au
corridor	NOUN	corridor
régnait	VERB	régner
de	ADP	de
maigre	ADJ	maigre
le	DET	le
espèce	NOUN	espèce
.	PUNCT	.
au	ADP	au
réveil	NOUN	réveil
lourdes	ADJ	lourd
sont	AUX	être
,	PUNCT	,
voir	VERB	voir
avez	AUX	avoir
Levant	VERB	lever
en	ADP	en
rien	PRON	rien
ombre	NOUN	ombre
Bouton	PROPN	Bouton
.	PUNCT	.
opaque	ADJ	opaque
un	DET	un
majuscules	NOUN	majuscule
alors	ADV	alors
noir	ADJ	noir
était	AUX	être
l'	PRON	l'
de	ADP	de
Bouton-de-culotte	PROPN	Bouton-de-culotte
chauffé	VERB	chauffer
secrétaire	NOUN	secrétaire
,	PUNCT	,
à	ADP	à
vous	PRON	vous
palais	NOUN	palais
malaise	NOUN	malaise
est	AUX	être
petit	ADJ	petit
.	PUNCT	.
,	PUNCT	,
fra	ADJ	fra
nuage	NOUN	nuage
et	CCONJ	et
patelin	NOUN	patelin
Son	DET	son
souffla	VERB	souffler
faisait	VERB	faire
pourrions	VERB	pouvoir
deux	NUM	deux
sentait	VERB	sentir
,	PUNCT	,
.	PUNCT	.
couple	NOUN	couple
pattes	NOUN	patte
se	PRON	se
.	PUNCT	.
-	PUNCT	-
se	PRON	se
de	ADP	de
Cette	DET	ce
sa	DET	son
hauteur	NOUN	hauteur
la	DET	le
sans	ADP	sans
-t	PRON	-t
un	DET	un
son	DET	son
va	VERB	aller
elle	PRON	lui
escalier	NOUN	escalier
-	ADJ	-
de	ADP	de
:	PUNCT	:
un	DET	un
.	PUNCT	.
de	ADP	de
On	PRON	on
les	PRON	le
ça	PRON	cela
de	ADP	de
venait	VERB	venir
