J	PRON	j
entendait	VERB	entendre
de	ADP	de
capitaines	NOUN	capitaine
ai	AUX	avoir
ce	DET	ce
1420	NUM	1420
était	AUX	être
l'	PRON	l'
celle	PRON	celui
pensait	VERB	penser
s'	PRON	se
la	DET	le
et	CCONJ	et
regroupé	VERB	regrouper
désastreuse	ADJ	désastreux
en	ADP	en
bataille	NOUN	bataille
de	ADP	de
routes	NOUN	route
voyait	VERB	voir
il	PRON	il
un	DET	un
éliminer	VERB	éliminer
contact	NOUN	contact
L'	DET	le
*	PUNCT	*
là	ADV	là
,	PUNCT	,
à	ADP	à
avait	AUX	avoir
Ce	DET	ce
ai	AUX	avoir
lu	VERB	lire
noms	NOUN	nom
*	PUNCT	*
sur	ADP	sur
de	ADP	de
échappé	VERB	échapper
outre	ADP	outre
une	DET	un
stellaire	ADJ	stellaire
Pyanfar	PROPN	Pyanfar
se	PRON	se
constitués	VERB	constituer
:	PUNCT	:
une	DET	un
raisons	NOUN	raison
J'	PROPN	J'
titre	NOUN	titre
la	DET	le
le	DET	le
qu'	SCONJ	que
était	AUX	être
D'	ADP	de
et	CCONJ	et
J'	PROPN	J'
DE	ADP	de
Akkukkak	PROPN	Akkukkak
échappa	VERB	échapper
marchand	ADJ	marchand
humains	NOUN	humain
.	PUNCT	.
.	PUNCT	.
sa	DET	son
Le	DET	le
encore	ADV	encore
d'	ADP	de
un	DET	un
même	ADJ	même
assouvir	VERB	assouvir
la	DET	le
et	CCONJ	et
tôt	ADV	tôt
Communauté	NOUN	communauté
humain	NOUN	humain
les	DET	le
J'	PRON	je
,	PUNCT	,
proie	NOUN	proie
comme	SCONJ	comme
Il	PRON	il
membres	NOUN	membre
aurait	AUX	avoir
dans	ADP	dans
la	DET	le
retour	NOUN	retour
ai	AUX	avoir
.	PUNCT	.
Knnn	PROPN	Knnn
précédents	ADJ	précédent
autorisation	NOUN	autorisation
à	ADP	à
S	X	S
pénétrer	VERB	pénétrer
privilégiée	ADJ	privilégier
du	ADP	de
mondes	NOUN	monde
demandé	VERB	demander
HESTIA	PROPN	HESTIA
méprendre	VERB	méprendre
pris	VERB	prendre
La	DET	le
:	PUNCT	:
en	ADP	en
de	ADP	de
mais	CCONJ	mais
LA	DET	le
lui	PRON	lui
inouïe	ADJ	inouï
les	DET	le
la	DET	le
jusque-là	ADV	jusque-là
*	PUNCT	*
la	DET	le
était	AUX	être
PIERRE	NOUN	pierre
de	ADP	de
en	PRON	en
Il	PRON	il
DE	ADP	de
battant	VERB	battre
ai	AUX	avoir
ai	AUX	avoir
d'	ADP	de
ai	AUX	avoir
*	PUNCT	*
à	ADP	à
Mahendo'	PROPN	Mahendo'
les	DET	le
la	DET	le
.	PUNCT	.
ŒUVRES	NOUN	œuvre
tous	ADJ	tout
eu	VERB	avoir
DTVREL	PROPN	DTVREL
lancé	VERB	lancer
de	ADP	de
OPÉRA	NOUN	opéra
lu	PROPN	lire
faire	VERB	faire
à	ADP	à
1986	NUM	1986
grave	ADJ	grave
face	NOUN	face
en	ADP	en
récupérer	VERB	récupérer
acquis	VERB	acquérir
C'	PRON	ce
la	DET	le
n'	ADV	n'
espèce	NOUN	espèce
une	PRON	un
J'	PRON	je
lu	VERB	lire
aurait	AUX	avoir
son	DET	son
profitant	VERB	profiter
appui	NOUN	appui
,	PUNCT	,
une	DET	un
que	SCONJ	que
à	ADP	à
partisans	NOUN	partisan
*	PUNCT	*
contraint	VERB	contraindre
Akkukkak	PROPN	Akkukkak
DE	ADP	de
DE	ADP	de
sur	ADP	sur
les	DET	le
*	PUNCT	*
ESPACE	NOUN	espace
*	PUNCT	*
Cherryh	PROPN	Cherryh
hakkikt	NOUN	hakkikt
la	DET	le
La	DET	le
à	ADP	à
la	DET	le
Pyanfar	PROPN	Pyanfar
personne	NOUN	personne
prisonniers	NOUN	prisonnier
©	PROPN	©
dans	ADP	dans
clan	NOUN	clan
1738	NUM	1738
(	PUNCT	(
,	PUNCT	,
,	PUNCT	,
sa	DET	son
qui	PRON	qui
dérangèrent	VERB	déranger
lui	PRON	lui
partit	VERB	partir
lors	ADV	lors
Gaohn	PROPN	Gaohn
d'	ADP	de
ébranler	VERB	ébranler
dernier	ADJ	dernier
d'	ADP	de
un	DET	un
était	AUX	être
sat	PROPN	sat
connu	VERB	connaître
était	AUX	être
espèce	NOUN	espèce
front	NOUN	front
1354	NUM	1354
lu	VERB	lire
.	PUNCT	.
*	NOUN	*
PUITS	NOUN	puits
J'	PRON	je
prospérité	NOUN	prospérité
effacer	VERB	effacer
et	CCONJ	et
été	AUX	être
LES	DET	le
de	ADP	de
Akkukkak	PROPN	Akkukkak
perte	NOUN	perte
Chanur	PROPN	Chanur
1563	NUM	1563
taille	NOUN	taille
épisodes	NOUN	épisode
de	ADP	de
des	DET	un
espace	NOUN	espace
que	PRON	que
avait	AUX	avoir
face	NOUN	face
hani	PROPN	hani
commun	ADJ	commun
dans	ADP	dans
,	PUNCT	,
,	PUNCT	,
tournante	ADJ	tournant
