obligé	VERB	obliger
en	ADP	en
quand	SCONJ	quand
attitude	NOUN	attitude
avait	AUX	avoir
.	PUNCT	.
droits	NOUN	droit
qu'	SCONJ	que
reprit	VERB	reprendre
adaptation	NOUN	adaptation
asseoir	VERB	asseoir
une	DET	un
qu'	SCONJ	que
de	ADP	de
pu	VERB	pouvoir
demi-livre	NOUN	demi-livre
traduction	NOUN	traduction
immense	ADJ	immense
mains	NOUN	main
n'	ADV	n'
bureau	NOUN	bureau
.	PUNCT	.
riches	ADJ	riche
né	VERB	naître
on	PRON	on
Il	PRON	il
venu	VERB	venir
,	PUNCT	,
aux	ADP	à
l'	PRON	l'
rhume	NOUN	rhume
rentrer	VERB	rentrer
elle	PRON	lui
Il	PRON	il
classeurs	NOUN	classeur
.	PUNCT	.
mettre	VERB	mettre
Salut	NOUN	salut
très	ADV	très
.	PUNCT	.
une	DET	un
pour	ADP	pour
.	PUNCT	.
lui	PRON	lui
appelez	VERB	appeler
des	DET	un
,	PUNCT	,
:	PUNCT	:
—	PUNCT	—
était	AUX	être
-là	PRON	-là
en	PRON	en
forts	ADJ	fort
lui	PRON	lui
en	ADP	en
ne	ADV	ne
chaussée	NOUN	chaussée
garçon	NOUN	garçon
enfants	NOUN	enfant
il	PRON	il
.	PUNCT	.
terminé	VERB	terminer
mat	ADJ	mat
de	ADP	de
comme	SCONJ	comme
retour	NOUN	retour
la	DET	le
Il	PRON	il
pourtant	ADV	pourtant
PARIS	PROPN	PARIS
Des	DET	un
atmosphères	NOUN	atmosphère
accusés	NOUN	accusé
guère	ADV	guère
vitres	NOUN	vitre
grise	ADJ	gris
à	ADP	à
lui	PRON	lui
.	PUNCT	.
.	PUNCT	.
approche	VERB	approche
,	PUNCT	,
garçon	NOUN	garçon
,	PUNCT	,
de	ADP	de
une	DET	un
un	DET	un
y	PRON	y
pas	ADV	pas
ans	NOUN	an
un	DET	un
LE	DET	le
de	ADP	de
que	ADV	que
poches	NOUN	poche
expression	NOUN	expression
.	PUNCT	.
vague	ADJ	vague
Deux	NUM	Deux
chef	NOUN	chef
ce	DET	ce
