représentation	NOUN	représentation
,	PUNCT	,
.	PUNCT	.
son	DET	son
du	ADP	de
les	DET	le
!	PUNCT	!
—	PUNCT	—
reproduction	NOUN	reproduction
une	DET	un
amour	NOUN	amour
imagina	VERB	imaginer
ressuscitée	VERB	ressusciter
entre	ADP	entre
et	CCONJ	et
ces	DET	ce
j'	PRON	je
ou	CCONJ	ou
-	PROPN	-
creuse	VERB	creuse
Marie	PROPN	Marie
à	ADP	à
passionnelle	NOUN	passionnelle
LA	DET	le
que	SCONJ	que
Seul	ADJ	seul
l'	PRON	l'
ouvre	VERB	ouvrir
instant	NOUN	instant
qu'	SCONJ	que
déjà	ADV	déjà
—	PUNCT	—
et	CCONJ	et
Code	NOUN	code
Simon	PROPN	Simon
peuple	NOUN	peuple
de	ADP	de
bureau	NOUN	bureau
Vous	PRON	vous
cet	DET	ce
ayants	NOUN	ayant
Mathias	PROPN	Mathias
obsédait	VERB	obséder
bleu	ADJ	bleu
.	PUNCT	.
mais	CCONJ	mais
Je	PRON	je
trois	NUM	trois
dans	ADP	dans
de	ADP	de
tiens	VERB	tenir
cette	DET	ce
reproduction	NOUN	reproduction
la	DET	le
civilisation	NOUN	civilisation
risque	NOUN	risque
le	DET	le
DE	ADP	de
,	PUNCT	,
congelée	VERB	congeler
cela	PRON	cela
intégrale	ADJ	intégral
,	PUNCT	,
savoir	VERB	savoir
résistance	NOUN	résistance
opératoire	ADJ	opératoire
la	DET	le
responsable	NOUN	responsable
on	PRON	on
de	ADP	de
Simon	PROPN	Simon
,	PUNCT	,
cet	DET	ce
,	PUNCT	,
,	PUNCT	,
responsabilité	NOUN	responsabilité
allait	VERB	aller
jusqu'	ADP	jusque
Trois	NUM	Trois
:	PUNCT	:
,	PUNCT	,
part	NOUN	part
-	NOUN	-
comme	ADP	comme
,	PUNCT	,
relever	VERB	relever
par	ADP	par
ne	ADV	ne
idée	NOUN	idée
10	NUM	10
à	ADP	à
ouvrir	VERB	ouvrir
du	ADP	de
,	PUNCT	,
l'	DET	le
possession	NOUN	possession
dit	VERB	dire
jeter	VERB	jeter
,	PUNCT	,
n'	ADV	n'
cette	DET	ce
disparaître	VERB	disparaître
esprit	NOUN	esprit
1	NUM	1
—	PUNCT	—
cinquantaine	NOUN	cinquantaine
soudain	ADV	soudain
,	PUNCT	,
semer	VERB	semer
charcutier	NOUN	charcutier
personne	PRON	personne
une	DET	un
gommer	VERB	gommer
C'	PRON	ce
