américains	ADJ	américain
qu'	SCONJ	que
gisantes	NOUN	gisante
qu'	SCONJ	que
à	ADP	à
ne	ADV	ne
groupes	NOUN	groupe
ridelles	NOUN	ridelle
ostentatoire	ADJ	ostentatoire
mince	ADJ	mince
les	DET	le
elle	PRON	lui
toutes	ADJ	tout
il	PRON	il
les	DET	le
autre	PRON	autre
au	ADP	au
et	CCONJ	et
le	DET	le
la	DET	le
à	ADP	à
une	DET	un
,	PUNCT	,
l'	DET	le
était	AUX	être
veuve	NOUN	veuve
ici	ADV	ici
contact	NOUN	contact
qui	PRON	qui
,	PUNCT	,
,	PUNCT	,
de	ADP	de
austérité	NOUN	austérité
il	PRON	il
une	DET	un
ou	CCONJ	ou
,	PUNCT	,
impitoyable	ADJ	impitoyable
empreint	VERB	empreindre
infirmières	NOUN	infirmier
des	DET	un
qui	PRON	qui
deux	NUM	deux
des	ADP	de
masques	NOUN	masque
d'	ADP	de
des	DET	un
avec	ADP	avec
commandant	VERB	commander
des	ADP	de
pied	NOUN	pied
toits	NOUN	toit
papier	NOUN	papier
renvoyées	VERB	renvoyer
voile	NOUN	voile
genre	NOUN	genre
la	DET	le
trois	NUM	trois
son	DET	son
subsistait	VERB	subsister
arrivait	VERB	arriver
parfois	ADV	parfois
(	PUNCT	(
était	AUX	être
un	DET	un
elles	PRON	lui
ne	ADV	ne
)	PUNCT	)
)	PUNCT	)
.	PUNCT	.
l'	DET	le
un	DET	un
au	ADV	au
décombres	NOUN	décombre
les	DET	le
parlant	VERB	parler
,	PUNCT	,
n'	ADV	n'
de	ADP	de
épaule	NOUN	épaule
des	DET	un
dépit	NOUN	dépit
rêche	ADJ	rêche
plutôt	ADV	plutôt
étaient	AUX	être
impatience	NOUN	impatience
à	ADP	à
sauvagement	ADV	sauvagement
la	DET	le
une	DET	un
compterait	VERB	compter
d'	ADP	de
l'	DET	le
crêpe	NOUN	crêpe
la	DET	le
des	ADP	de
ou	CCONJ	ou
pauvres	NOUN	pauvre
d'	ADP	de
affables	ADJ	affable
voiles	NOUN	voile
pieds	NOUN	pied
dit	VERB	dire
folles	ADJ	fou
semblait	VERB	sembler
ces	DET	ce
en	ADP	en
,	PUNCT	,
elle	PRON	lui
était	AUX	être
scruter	VERB	scruter
le	DET	le
relevait	VERB	relever
il	PRON	il
le	PRON	le
d'	ADP	de
elles	PRON	lui
par	ADP	par
habitants	NOUN	habitant
visages	NOUN	visage
immobilisa	VERB	immobiliser
comptait	VERB	compter
que	PRON	que
apparaître	VERB	apparaître
debout	ADV	debout
l'	DET	le
veuve	NOUN	veuve
à	ADP	à
dont	PRON	dont
tôle	NOUN	tôle
trois	PRON	trois
,	PUNCT	,
-	ADV	-
le	DET	le
La	DET	le
femme	NOUN	femme
démentait	VERB	démentir
goudronné	VERB	goudronner
champs	NOUN	champ
de	ADP	de
long	ADV	long
habituer	VERB	habituer
de	ADP	de
Elles	PRON	lui
le	DET	le
et	CCONJ	et
payait	VERB	payer
billard	NOUN	billard
de	ADP	de
,	PUNCT	,
et	CCONJ	et
mêlées	VERB	mêler
,	PUNCT	,
retirant	VERB	retirer
se	PRON	se
il	PRON	il
le	DET	le
son	DET	son
carrefour	NOUN	carrefour
indifférent	ADJ	indifférent
avinées	VERB	aviner
hôtel	NOUN	hôtel
des	DET	un
l'	DET	le
d'	ADP	de
découpant	VERB	découper
dont	PRON	dont
l'	DET	le
baraquements	NOUN	baraquement
moment	NOUN	moment
du	ADP	de
lumière	NOUN	lumière
chose	NOUN	chose
de	ADP	de
ces	DET	ce
lesquels	PRON	lequel
atteints	VERB	atteindre
,	PUNCT	,
blanche	ADJ	blanc
raison	NOUN	raison
,	PUNCT	,
chambre	NOUN	chambre
,	PUNCT	,
son	DET	son
enchâssé	VERB	enchâsser
maladroitement	ADV	maladroitement
monter	VERB	monter
sien	PRON	sien
connaître	VERB	connaître
allaient	VERB	aller
voile	NOUN	voile
plutôt	ADV	plutôt
par	ADP	par
manœuvrant	VERB	manœuvrer
sortes	NOUN	sorte
appuis	NOUN	appui
lorsqu'	SCONJ	lorsque
fait	VERB	faire
s'	PRON	se
exposant	VERB	exposer
des	ADP	de
aux	ADP	à
s'	PRON	se
On	PRON	on
,	PUNCT	,
observait	VERB	observer
d'	DET	d'
les	DET	le
,	PUNCT	,
comme	ADP	comme
laïque	ADJ	laïque
,	PUNCT	,
,	PUNCT	,
souliers	NOUN	soulier
qu'	SCONJ	que
le	PRON	le
ville	NOUN	ville
une	DET	un
sur	ADP	sur
taxi	NOUN	taxi
la	DET	le
moindre	ADJ	moindre
permettait	VERB	permettre
arbre	NOUN	arbre
quelque	DET	quelque
aussi	ADV	aussi
elles	PRON	lui
(	PUNCT	(
l'	DET	le
celle	PRON	celui
de	ADP	de
des	ADP	de
deux	NUM	deux
la	DET	le
une	DET	un
la	DET	le
contaminés	VERB	contaminer
d'	ADP	de
un	DET	un
qui	PRON	qui
chuchotements	NOUN	chuchotement
touffe	NOUN	touffe
,	PUNCT	,
de	ADP	de
salons	NOUN	salon
ou	CCONJ	ou
un	PRON	un
femme	NOUN	femme
y	PRON	y
tandis	ADV	tandis
par	ADV	par
comme	ADP	comme
,	PUNCT	,
autre	PRON	autre
sur	ADP	sur
--	PUNCT	--
outragé	VERB	outrager
plateau	NOUN	plateau
femme	NOUN	femme
assez	ADV	assez
un	PRON	un
,	PUNCT	,
où	PRON	où
avait	AUX	avoir
par	ADP	par
jaune	ADJ	jaune
qu'	PRON	qu'
noire	ADJ	noir
déchiquetée	VERB	déchiqueter
pelucheuse	ADJ	pelucheux
où	PRON	où
coussin	NOUN	coussin
I	NOUN	i
coûtait	VERB	coûter
des	DET	un
les	DET	le
fantomatique	ADJ	fantomatique
parfois	ADV	parfois
curiosité	NOUN	curiosité
pansements	NOUN	pansement
bois	NOUN	bois
estaminet	NOUN	estaminet
arrêtaient	VERB	arrêter
à	ADP	à
cette	DET	ce
quelques	DET	quelque
restait	VERB	rester
l'	DET	le
ou	CCONJ	ou
le	DET	le
de	ADP	de
se	PRON	se
,	PUNCT	,
les	DET	le
usage	NOUN	usage
posa	VERB	poser
tenant	VERB	tenir
le	DET	le
dans	ADP	dans
en	ADP	en
une	DET	un
d'	ADP	de
de	ADP	de
tringles	NOUN	tringle
inflexible	ADJ	inflexible
sur	ADP	sur
officielles	ADJ	officiel
--	PUNCT	--
elles	PRON	lui
jeune	ADJ	jeune
la	DET	le
qui	PRON	qui
,	PUNCT	,
nids	NOUN	nid
leur	PRON	leur
chapeau	NOUN	chapeau
de	ADP	de
de	ADP	de
pierre	NOUN	pierre
,	PUNCT	,
de	ADP	de
dans	ADP	dans
se	PRON	se
de	ADP	de
par	ADP	par
poutres	NOUN	poutre
,	PUNCT	,
impératrices	NOUN	empereur
,	PUNCT	,
l'	DET	le
ondulée	VERB	onduler
de	ADP	de
une	PRON	un
à	ADP	à
crevant	VERB	crever
(	PUNCT	(
verre	NOUN	verre
debout	ADV	debout
,	PUNCT	,
dans	ADP	dans
instant	NOUN	instant
tache	NOUN	tache
poussa	VERB	pousser
dans	ADP	dans
cette	DET	ce
pliant	VERB	plier
un	DET	un
la	DET	le
bas	NOUN	bas
son	DET	son
bredouillait	VERB	bredouiller
,	PUNCT	,
)	PUNCT	)
-	PRON	-
plutôt	ADV	plutôt
voix	NOUN	voix
-	ADV	-
)	PUNCT	)
leur	PRON	leur
des	DET	un
tissu	NOUN	tissu
couchèrent	VERB	coucher
quelque	DET	quelque
sœurs	NOUN	sœur
noir	ADJ	noir
d'	ADP	de
champ	NOUN	champ
rencontrer	VERB	rencontrer
leur	PRON	leur
elle	PRON	lui
de	ADP	de
dont	PRON	dont
à	ADP	à
laissant	VERB	laisser
village	NOUN	village
troquet	NOUN	troquet
une	DET	un
son	DET	son
du	ADP	de
vieilles	ADJ	vieux
peu	ADV	peu
étroitement	ADV	étroitement
de	ADP	de
chairs	NOUN	chair
un	DET	un
aux	ADP	à
un	PRON	un
accessoires	NOUN	accessoire
plein	ADJ	plein
des	DET	un
deuil	NOUN	deuil
ans	NOUN	an
le	DET	le
et	CCONJ	et
un	DET	un
d'	ADP	de
de	ADP	de
peut	VERB	pouvoir
qu'	PRON	qu'
herbe	NOUN	herbe
de	ADP	de
rameaux	NOUN	rameau
eux	PRON	lui
gant	NOUN	gant
sur	ADP	sur
,	PUNCT	,
