pavée	ADJ	paver
un	DET	un
l'	DET	le
clef	NOUN	clef
.	PUNCT	.
leur	DET	leur
.	PUNCT	.
avons	AUX	avoir
pièce	NOUN	pièce
protégée	VERB	protéger
,	PUNCT	,
bénéficier	VERB	bénéficier
une	DET	un
de	ADP	de
plus	ADV	plus
à	ADP	à
Cet	DET	ce
pinèdes	NOUN	pinède
elle	PRON	lui
,	PUNCT	,
asile	NOUN	asile
principale	ADJ	principal
par	ADP	par
assistant	NOUN	assistant
pièce	NOUN	pièce
également	ADV	également
apprécier	VERB	apprécier
d'	ADP	de
latérales	ADJ	latéral
pensionnaires	NOUN	pensionnaire
à	ADP	à
brique	NOUN	brique
abri	NOUN	abri
la	DET	le
ouvrir	VERB	ouvrir
se	PRON	se
Elle	PRON	lui
sa	DET	son
trois	NUM	trois
conseil	NOUN	conseil
à	ADP	à
un	DET	un
tombe	VERB	tombe
entrée	NOUN	entrée
à	ADP	à
à	ADP	à
pavillons	NOUN	pavillon
pinèdes	NOUN	pinède
à	ADP	à
santé	NOUN	santé
,	PUNCT	,
,	PUNCT	,
de	ADP	de
un	DET	un
a	VERB	avoir
à	ADP	à
que	PRON	que
,	PUNCT	,
,	PUNCT	,
rez-de-chaussée	NOUN	rez-de-chaussée
destiné	VERB	destiner
,	PUNCT	,
,	PUNCT	,
,	PUNCT	,
l'	DET	le
croisement	NOUN	croisement
tangibles	ADJ	tangible
.	PUNCT	.
de	ADP	de
au	ADP	au
Par	ADP	par
des	ADP	de
,	PUNCT	,
en	ADP	en
L'	DET	le
se	PRON	se
le	DET	le
le	DET	le
.	PUNCT	.
rêve	NOUN	rêve
on	PRON	on
ne	ADV	ne
y	PRON	y
des	DET	un
rez-de-chaussée	NOUN	rez-de-chaussée
entendu	VERB	entendre
la	PRON	le
fois	NOUN	fois
Domingues	PROPN	Domingues
Passé	VERB	passer
Dr	NOUN	dr
.	PUNCT	.
de	ADP	de
;	PUNCT	;
est	AUX	être
externes	ADJ	externe
différents	ADJ	différent
celle	PRON	celui
l'	DET	le
de	ADP	de
parlé	VERB	parler
cet	DET	ce
par	ADP	par
et	CCONJ	et
marbre	NOUN	marbre
hauteur	NOUN	hauteur
L'	DET	le
Note	NOUN	note
publiquement	ADV	publiquement
sitôt	ADV	sitôt
une	DET	un
villageois	NOUN	villageois
de	ADP	de
la	DET	le
Abilio	PROPN	Abilio
de	ADP	de
Sintra	PROPN	Sintra
région	NOUN	région
,	PUNCT	,
l'	DET	le
porte	NOUN	porte
que	ADV	que
Et	CCONJ	et
prévoit	VERB	prévoir
grâce	NOUN	grâce
élèvent	VERB	élever
dans	ADP	dans
Maison	NOUN	maison
Une	DET	un
consacré	VERB	consacrer
.	PUNCT	.
jamais	ADV	jamais
L'	DET	le
pavillons	NOUN	pavillon
,	PUNCT	,
avec	ADP	avec
Dr	NOUN	dr
hameau	NOUN	hameau
on	PRON	on
,	PUNCT	,
en	ADP	en
accrochée	VERB	accrocher
de	ADP	de
d'	ADP	de
la	DET	le
établissement	NOUN	établissement
Domingues	PROPN	Domingues
le	DET	le
PREMIÈRE	ADJ	premier
de	ADP	de
dans	ADP	dans
celui	PRON	celui
fermé	VERB	fermer
une	DET	un
du	ADP	de
dit	VERB	dire
Dr	NOUN	dr
ci	PRON	ci
de	ADP	de
accrochée	VERB	accrocher
le	DET	le
de	ADP	de
l'	DET	le
initiative	NOUN	initiative
la	DET	le
hall	NOUN	hall
très	ADV	très
vignobles	NOUN	vignoble
bâtie	VERB	bâtir
loin	ADV	loin
donnent	VERB	donner
côté	NOUN	côté
Santé	NOUN	santé
.	PUNCT	.
et	CCONJ	et
une	DET	un
étroit	ADJ	étroit
ailleurs	ADV	ailleurs
,	PUNCT	,
cloison	NOUN	cloison
une	DET	un
donnant	VERB	donner
la	DET	le
que	PRON	que
au	ADP	au
l'	DET	le
on	PRON	on
et	CCONJ	et
,	PUNCT	,
timbrés	NOUN	timbré
proche	ADJ	proche
propre	ADJ	propre
par	ADP	par
est	AUX	être
et	CCONJ	et
de	ADP	de
aux	ADP	à
l'	PRON	l'
proprement	ADV	proprement
il	PRON	il
est	AUX	être
parler	NOUN	parler
salle	NOUN	salle
,	PUNCT	,
Mais	CCONJ	mais
franc	ADJ	franc
-	NOUN	-
monde	NOUN	monde
ce	DET	ce
chambre	NOUN	chambre
efforts	NOUN	effort
les	DET	le
que	PRON	que
,	PUNCT	,
lequel	PRON	lequel
,	PUNCT	,
des	ADP	de
en	PRON	en
à	ADP	à
qu'	SCONJ	que
tous	ADJ	tout
ont	AUX	avoir
remplacée	VERB	remplacer
autre	ADJ	autre
état	NOUN	état
mur	NOUN	mur
l'	DET	le
les	DET	le
Ceux	PRON	celui
,	PUNCT	,
le	DET	le
médecin	NOUN	médecin
la	DET	le
années	NOUN	année
nom	NOUN	nom
mène	VERB	mener
.	PUNCT	.
le	DET	le
,	PUNCT	,
.	PUNCT	.
réussi	VERB	réussir
,	PUNCT	,
a	AUX	avoir
n'	ADV	n'
droite	NOUN	droite
Il	PRON	il
emprunter	VERB	emprunter
trois	NUM	trois
Saint-Jean-de-Dieu	PROPN	Saint-Jean-de-Dieu
d'	ADP	de
étages	NOUN	étage
dans	ADP	dans
imposant	ADJ	imposant
malades	NOUN	malade
pour	ADP	pour
bureau	NOUN	bureau
abrite	VERB	abrite
santé	NOUN	santé
utiliser	VERB	utiliser
un	DET	un
mur	NOUN	mur
auquel	PRON	auquel
loin	ADV	loin
une	DET	un
et	CCONJ	et
ouvert	ADJ	ouvert
enceinte	NOUN	enceinte
sauf	ADP	sauf
bâtisse	NOUN	bâtisse
Achada	PROPN	Achada
l'	PRON	l'
Mais	CCONJ	mais
vue	NOUN	vue
aller	VERB	aller
.	PUNCT	.
à	ADP	à
qu'	PRON	qu'
qu'	SCONJ	que
.	PUNCT	.
Celle	PRON	celui
s'	PRON	se
sur	ADP	sur
partir	VERB	partir
milieu	NOUN	milieu
chacun	PRON	chacun
tous	ADJ	tout
nous	PRON	nous
capitale	NOUN	capitale
à	ADP	à
à	ADP	à
bien	ADV	bien
étranger	ADJ	étranger
.	PUNCT	.
couloir	NOUN	couloir
lesquelles	PRON	lequel
sur	ADP	sur
Il	PRON	il
d'	ADP	de
genre	NOUN	genre
D'	ADP	de
aboutit	VERB	aboutir
raccorde	VERB	raccorde
,	PUNCT	,
on	PRON	on
à	ADP	à
,	PUNCT	,
et	CCONJ	et
,	PUNCT	,
patients	NOUN	patient
un	DET	un
dépendances	NOUN	dépendance
lui	PRON	lui
sont	AUX	être
partage	VERB	partager
de	ADP	de
aux	ADP	à
s'	PRON	se
certain	ADJ	certain
dans	ADP	dans
droite	NOUN	droite
que	PRON	que
Mota	PROPN	Mota
évidemment	ADV	évidemment
de	ADP	de
de	ADP	de
vaste	ADJ	vaste
on	PRON	on
trouve	VERB	trouve
Lisbonne	PROPN	Lisbonne
de	ADP	de
le	DET	le
dehors	ADP	dehors
dont	PRON	dont
.	PUNCT	.
s'	PRON	se
couloir	NOUN	couloir
le	DET	le
,	PUNCT	,
inlassables	ADJ	inlassable
à	ADP	à
appellent	VERB	appeler
rotonde	NOUN	rotonde
va	VERB	aller
à	ADP	à
institution	NOUN	institution
demi	ADV	demi
longe	VERB	longer
aménagements	NOUN	aménagement
avec	ADP	avec
contourner	VERB	contourner
étroit	ADJ	étroit
réduites	ADJ	réduit
ils	PRON	il
