chargés	VERB	charger
une	DET	un
avait	VERB	avoir
emporter	VERB	emporter
,	PUNCT	,
et	CCONJ	et
A	ADP	à
qu'	SCONJ	que
la	DET	le
Sous	ADP	sous
à	ADP	à
,	PUNCT	,
embruns	NOUN	embrun
-	ADV	-
sort	NOUN	sort
saisir	VERB	saisir
A	ADP	à
se	PRON	se
déterminée	ADJ	déterminé
de	ADP	de
âme	NOUN	âme
il	PRON	il
ne	ADV	ne
jambes	NOUN	jambe
—	PUNCT	—
ses	DET	son
lourds	ADJ	lourd
les	DET	le
accumulant	VERB	accumuler
.	PUNCT	.
,	PUNCT	,
...	PUNCT	...
avait	VERB	avoir
le	DET	le
vit	VERB	voir
nage	NOUN	nage
sublimes	ADJ	sublime
mince	ADJ	mince
poing	NOUN	poing
l'	PRON	l'
discerner	VERB	discerner
à	ADP	à
dos	NOUN	dos
bord	NOUN	bord
affreuse	ADJ	affreux
que	SCONJ	que
se	PRON	se
fureur	NOUN	fureur
de	ADP	de
son	DET	son
dos	NOUN	dos
cachait	VERB	cacher
L'	DET	le
tête	NOUN	tête
il	PRON	il
équilibre	NOUN	équilibre
pour	ADP	pour
stupide	ADJ	stupide
les	DET	le
cohorte	NOUN	cohorte
roulait	VERB	rouler
cri	NOUN	cri
le	DET	le
avaient	AUX	avoir
et	CCONJ	et
à	ADP	à
visage	NOUN	visage
vent	NOUN	vent
pourtant	ADV	pourtant
avait	AUX	avoir
Depuis	ADP	depuis
en	ADP	en
qu'	PRON	qu'
retrouva	VERB	retrouver
-	ADV	-
guerriers	NOUN	guerrier
lutte	NOUN	lutte
vagues	NOUN	vague
Les	DET	le
rayé	VERB	rayer
pour	ADP	pour
,	PUNCT	,
à	ADP	à
eux	PRON	lui
mais	CCONJ	mais
vaillance	NOUN	vaillance
compagnie	NOUN	compagnie
Le	DET	le
.	PUNCT	.
les	DET	le
poitrine	NOUN	poitrine
cognaient	VERB	cogner
vers	ADP	vers
,	PUNCT	,
écumantes	ADJ	écumant
cinglaient	VERB	cingler
avant	ADJ	avant
il	PRON	il
considérable	ADJ	considérable
.	PUNCT	.
que	SCONJ	que
étaient	AUX	être
lèvres	NOUN	lèvre
Plusieurs	DET	plusieurs
;	PUNCT	;
l'	DET	le
furieuses	ADJ	furieux
Ce	DET	ce
violente	ADJ	violent
.	PUNCT	.
apaiser	VERB	apaiser
surface	NOUN	surface
Mais	CCONJ	mais
point	NOUN	point
pour	ADP	pour
instant	NOUN	instant
les	DET	le
impression	NOUN	impression
pouvait	VERB	pouvoir
qu'	SCONJ	que
les	DET	le
villages	NOUN	village
Magnusson	PROPN	Magnusson
,	PUNCT	,
glacials	ADJ	glacial
.	PUNCT	.
musculeux	ADJ	musculeux
,	PUNCT	,
criminel	ADJ	criminel
.	PUNCT	.
menaçait	VERB	menacer
.	PUNCT	.
Knut	PROPN	Knut
...	PUNCT	...
il	PRON	il
Et	CCONJ	et
conscience	NOUN	conscience
,	PUNCT	,
semblait	VERB	sembler
de	ADP	de
au	ADP	au
proche	ADJ	proche
ses	DET	son
,	PUNCT	,
l'	DET	le
ses	DET	son
puissants	ADJ	puissant
mourrait	VERB	mourir
Magnus	PROPN	Magnus
nouveau	ADJ	nouveau
,	PUNCT	,
Harald	PROPN	Harald
avec	ADP	avec
lui	PRON	lui
l'	DET	le
.	PUNCT	.
et	CCONJ	et
forces	NOUN	force
cordage	NOUN	cordage
âmes	NOUN	âme
frénétiquement	ADV	frénétiquement
ses	DET	son
Cette	DET	ce
aussitôt	ADV	aussitôt
le	DET	le
perfide	ADJ	perfide
de	ADP	de
par	ADP	par
englouti	VERB	engloutir
se	PRON	se
colère	NOUN	colère
pour	ADP	pour
poumons	NOUN	poumon
vagues	NOUN	vague
poussa	VERB	pousser
contre	ADP	contre
retentit	VERB	retentir
pillages	NOUN	pillage
de	ADP	de
si	ADV	si
sanguins	ADJ	sanguin
avait	AUX	avoir
,	PUNCT	,
tumultueuses	ADJ	tumultueux
suffisait	VERB	suffire
navire	NOUN	navire
de	ADP	de
sur	ADP	sur
projeta	VERB	projeter
et	CCONJ	et
un	DET	un
qu'	ADV	qu'
yeux	NOUN	oeil
arrêt	NOUN	arrêt
gagner	VERB	gagner
vagues	NOUN	vague
dans	ADP	dans
apparence	NOUN	apparence
tenta	VERB	tenter
à	ADP	à
bras	NOUN	bras
!	PUNCT	!
était	AUX	être
autre	PRON	autre
gris	ADJ	gris
à	ADP	à
n'	ADV	n'
charmes	NOUN	charme
refusait	VERB	refuser
froide	ADJ	froid
éléments	NOUN	élément
hommes	NOUN	homme
et	CCONJ	et
fondue	ADJ	fondu
aspiré	VERB	aspirer
cela	PRON	cela
,	PUNCT	,
qu'	SCONJ	que
son	DET	son
mort	NOUN	mort
en	ADP	en
élancements	NOUN	élancement
plus	ADV	plus
cheveux	NOUN	cheveu
membres	NOUN	membre
voile	NOUN	voile
le	DET	le
au	ADP	au
et	CCONJ	et
et	CCONJ	et
voir	VERB	voir
attaqué	VERB	attaquer
aussi	ADV	aussi
plus	ADV	plus
de	ADP	de
.	PUNCT	.
Tout	ADJ	tout
Le	DET	le
drakkar	NOUN	drakkar
trop	ADV	trop
l'	DET	le
n'	ADV	n'
sombrer	VERB	sombrer
rois	NOUN	roi
.	PUNCT	.
blanc	ADJ	blanc
mû	VERB	mouvoir
de	ADP	de
bateau	NOUN	bateau
fois	NOUN	fois
jambes	NOUN	jambe
une	DET	un
.	PUNCT	.
leurs	DET	leur
aussi	ADV	aussi
garder	VERB	garder
de	ADP	de
,	PUNCT	,
coup	NOUN	coup
eaux	NOUN	eau
qui	PRON	qui
Harald	PROPN	Harald
étaient	AUX	être
par	ADP	par
guerrier	NOUN	guerrier
n'	ADV	n'
trop	ADV	trop
et	CCONJ	et
le	DET	le
rafales	NOUN	rafale
de	ADP	de
presque	ADV	presque
pour	ADP	pour
retenir	VERB	retenir
le	DET	le
la	DET	le
soient	AUX	être
une	DET	un
désir	NOUN	désir
ami	NOUN	ami
bras	NOUN	bras
d'	ADP	de
lâcha	VERB	lâcher
contre	ADP	contre
à	ADP	à
tandis	ADV	tandis
Le	DET	le
muscles	NOUN	muscle
remonter	VERB	remonter
dragon	NOUN	dragon
la	DET	le
beauté	NOUN	beauté
et	CCONJ	et
,	PUNCT	,
pont	NOUN	pont
avait	AUX	avoir
une	DET	un
si	SCONJ	si
les	DET	le
vert	ADJ	vert
,	PUNCT	,
de	ADP	de
le	DET	le
gouvernail	NOUN	gouvernail
et	CCONJ	et
écrasé	VERB	écraser
plus	ADV	plus
tanguait	VERB	tanguer
en	ADP	en
avait	AUX	avoir
la	PRON	le
.	PUNCT	.
avança	VERB	avancer
sur	ADP	sur
elle	PRON	lui
derrière	ADP	derrière
gâchis	NOUN	gâchis
tout	PRON	tout
.	PUNCT	.
en	ADP	en
une	DET	un
,	PUNCT	,
et	CCONJ	et
fouettaient	VERB	fouetter
de	ADP	de
sourire	NOUN	sourire
tôt	ADV	tôt
nu	ADJ	nu
afin	ADV	afin
flanc	NOUN	flanc
Et	CCONJ	et
mât	NOUN	mât
aux	ADP	à
la	DET	le
fausseté	NOUN	fausseté
assez	ADV	assez
agenouiller	VERB	agenouiller
.	PUNCT	.
le	DET	le
se	PRON	se
prît	VERB	prendre
,	PUNCT	,
Adrianna	PROPN	Adrianna
à	ADP	à
Ivre	ADJ	ivre
force	NOUN	force
nouvelle	ADJ	nouveau
proue	NOUN	proue
piège	NOUN	piège
s'	PRON	se
.	PUNCT	.
du	ADP	de
toutes	ADJ	tout
manque	NOUN	manque
Un	DET	un
.	PUNCT	.
d'	ADP	de
yeux	NOUN	oeil
pour	ADP	pour
un	DET	un
surface	NOUN	surface
pointe	NOUN	pointe
,	PUNCT	,
femme	NOUN	femme
...	PUNCT	...
vagues	NOUN	vague
des	ADP	de
de	ADP	de
en	PRON	en
si	ADV	si
les	DET	le
par	ADP	par
meilleur	ADJ	meilleur
chagrin	NOUN	chagrin
à	ADP	à
la	DET	le
de	ADP	de
petits	ADJ	petit
de	ADP	de
nouvelle	ADJ	nouveau
cœur	NOUN	cœur
Il	PRON	il
été	AUX	être
il	PRON	il
le	DET	le
un	PRON	un
Nei!Dans	PROPN	Nei!Dans
rideau	NOUN	rideau
,	PUNCT	,
.	PUNCT	.
rage	NOUN	rage
se	PRON	se
sa	DET	son
avait	AUX	avoir
avec	ADP	avec
qu'	SCONJ	que
beauté	NOUN	beauté
déchaînée	ADJ	déchaîné
jeune	ADJ	jeune
même	ADV	même
Il	PRON	il
,	PUNCT	,
à	ADP	à
ravissaient	VERB	ravir
en	ADP	en
Helluland	PROPN	Helluland
Vikings	NOUN	viking
tombant	VERB	tomber
follement	ADV	follement
transformer	VERB	transformer
.	PUNCT	.
été	AUX	être
plus	ADV	plus
il	PRON	il
mât	NOUN	mât
,	PUNCT	,
,	PUNCT	,
homme	NOUN	homme
arracher	VERB	arracher
eau	NOUN	eau
le	DET	le
pas	ADV	pas
se	PRON	se
Harald	PROPN	Harald
dans	ADP	dans
autres	ADJ	autre
Les	DET	le
son	DET	son
bourrasque	NOUN	bourrasque
bourrasques	NOUN	bourrasque
Un	DET	un
de	ADP	de
esprit	NOUN	esprit
eau	NOUN	eau
des	DET	un
frêle	ADJ	frêle
la	DET	le
glaciales	ADJ	glacial
rugissement	NOUN	rugissement
Nei!il	PROPN	Nei!il
son	DET	son
tant	ADV	tant
.	PUNCT	.
obliger	VERB	obliger
le	PRON	le
la	DET	le
dans	ADP	dans
corps	NOUN	corps
transi	ADJ	transir
à	ADP	à
assauts	NOUN	assaut
réconfort	NOUN	réconfort
rendrait	VERB	rendre
raidissaient	VERB	raidir
reprendre	VERB	reprendre
lutter	VERB	lutter
abandonnerait	VERB	abandonner
ses	DET	son
juste	ADV	juste
.	PUNCT	.
à	ADP	à
comme	ADP	comme
mer	NOUN	mer
relâche	NOUN	relâche
Ses	DET	son
les	PRON	le
,	PUNCT	,
du	ADP	de
menaçants	ADJ	menaçant
cause	NOUN	cause
avait	AUX	avoir
de	ADP	de
les	DET	le
.	PUNCT	.
d'	ADP	de
de	ADP	de
était	AUX	être
avec	ADP	avec
mourait	VERB	mourir
que	PRON	que
lorsqu'	SCONJ	lorsque
Prologue	NOUN	prologue
Valhalla	PROPN	Valhalla
pierre	NOUN	pierre
aguicheurs	ADJ	aguicheur
un	DET	un
fureur	NOUN	fureur
la	DET	le
semblait	VERB	sembler
de	ADP	de
par	ADP	par
contractaient	VERB	contracter
d'	ADP	de
de	ADP	de
drakkar	NOUN	drakkar
chargement	NOUN	chargement
Même	ADV	même
l'	PRON	l'
dans	ADP	dans
pas	ADV	pas
dessus	ADP	dessus
,	PUNCT	,
par	ADP	par
ses	DET	son
,	PUNCT	,
bras	NOUN	bras
du	ADP	de
craquement	NOUN	craquement
Comme	SCONJ	comme
,	PUNCT	,
d'	ADP	de
le	PRON	le
de	ADP	de
.	PUNCT	.
un	DET	un
il	PRON	il
flanc	NOUN	flanc
joues	NOUN	joue
éprouvait	VERB	éprouver
travers	NOUN	travers
douloureusement	ADV	douloureusement
!	PUNCT	!
,	PUNCT	,
Normandie	PROPN	Normandie
Agitant	VERB	agiter
son	DET	son
fut	AUX	être
glisser	VERB	glisser
une	DET	un
et	CCONJ	et
eaux	NOUN	eau
silhouette	NOUN	silhouette
prêts	ADJ	prêt
coffres	NOUN	coffre
puissante	ADJ	puissant
nouveau	ADJ	nouveau
ramenèrent	VERB	ramener
neige	NOUN	neige
ne	ADV	ne
ultime	ADJ	ultime
