résidentiel	ADJ	résidentiel
de	ADP	de
j'	PRON	je
Ses	DET	son
grand	ADV	grand
les	DET	le
,	PUNCT	,
du	ADP	de
,	PUNCT	,
à	ADP	à
il	PRON	il
l'	DET	le
déserte	ADJ	désert
escogriffe	NOUN	escogriffe
à	ADP	à
dans	ADP	dans
«	PUNCT	«
Maghrébins	NOUN	maghrébin
œil	NOUN	œil
se	PRON	se
Le	DET	le
.	PUNCT	.
où	PRON	où
!	PUNCT	!
,	PUNCT	,
de	ADP	de
les	DET	le
son	DET	son
retourner	VERB	retourner
,	PUNCT	,
intelligence	NOUN	intelligence
simultanément	ADV	simultanément
atteindre	VERB	atteindre
patience	NOUN	patience
sourire	NOUN	sourire
pour	ADP	pour
nous	PRON	nous
au	ADP	au
il	PRON	il
!	PUNCT	!
!	PUNCT	!
comment	ADV	comment
attendait	VERB	attendre
croyez	VERB	croire
(	PUNCT	(
«	PUNCT	«
ils	PRON	il
toi	PRON	toi
!	PUNCT	!
nous	PRON	nous
»	PUNCT	»
--	PUNCT	--
,	PUNCT	,
il	PRON	il
tête	NOUN	tête
une	DET	un
la	DET	le
la	DET	le
il	PRON	il
Digne	PROPN	Digne
C'	PRON	ce
poubelles	NOUN	poubelle
.	PUNCT	.
,	PUNCT	,
le	DET	le
vous	PRON	vous
Papiers	NOUN	papier
vie	NOUN	vie
France	PROPN	France
direction	NOUN	direction
,	PUNCT	,
gare	NOUN	gare
?	PUNCT	?
N'	ADV	n'
le	DET	le
perte	NOUN	perte
Madre	PROPN	Madre
.	PUNCT	.
quelqu'	DET	quelque
on	PRON	on
côté	NOUN	côté
seul	ADJ	seul
minutes	NOUN	minute
galop	NOUN	galop
son	DET	son
noires	ADJ	noir
en	ADP	en
Prête-à-Partir	PROPN	Prête-à-Partir
il	PRON	il
le	PRON	le
nouvelles	NOUN	nouvelle
.	PUNCT	.
réclame	VERB	réclame
la	DET	le
On	PRON	on
abord	ADV	abord
se	PRON	se
.	PUNCT	.
gêné	ADJ	gêné
est	AUX	être
arrivaient	VERB	arriver
,	PUNCT	,
quatre	NUM	quatre
à	ADP	à
!	PUNCT	!
Il	PRON	il
.	PUNCT	.
deux	NUM	deux
l'	DET	le
Gentianeen	PROPN	Gentianeen
--	PUNCT	--
!	PUNCT	!
lesquels	PRON	lequel
abord	NOUN	abord
:	PUNCT	:
du	ADP	de
,	PUNCT	,
galets	NOUN	galet
pieds	NOUN	pied
nuit	NOUN	nuit
piqués	VERB	piquer
esquissèrent	VERB	esquisser
.	PUNCT	.
lundi	NOUN	lundi
d'	ADP	de
de	ADP	de
le	DET	le
tu	PRON	tu
autorails	NOUN	autorail
chauffeur	NOUN	chauffeur
.	PUNCT	.
côté	NOUN	côté
la	DET	le
.	PUNCT	.
départs	NOUN	départ
,	PUNCT	,
ça	PRON	cela
a	VERB	avoir
méditèrent	VERB	méditer
ponctuée	VERB	ponctuer
clignotaient	VERB	clignoter
leurs	DET	leur
c'	PRON	ce
le	DET	le
bras	NOUN	bras
lèvre	NOUN	lèvre
,	PUNCT	,
la	DET	le
il	PRON	il
est	AUX	être
.	PUNCT	.
est	AUX	être
escogriffe	NOUN	escogriffe
pour	ADP	pour
hochèrent	VERB	hocher
toujours	ADV	toujours
l'	DET	le
d'	ADP	de
,	PUNCT	,
escogriffe	NOUN	escogriffe
heure	NOUN	heure
mégot	NOUN	mégot
observait	VERB	observer
-	ADV	-
entre	ADP	entre
agents	NOUN	agent
,	PUNCT	,
collègue	NOUN	collègue
Ils	PRON	il
ils	PRON	il
vous	PRON	vous
,	PUNCT	,
Avec	ADP	avec
chien	NOUN	chien
de	ADP	de
stoppa	VERB	stopper
l'	PRON	l'
par	ADP	par
Ils	PRON	il
la	DET	le
,	PUNCT	,
de	ADP	de
en	ADP	en
.	PUNCT	.
les	DET	le
rabotant	VERB	raboter
la	DET	le
,	PUNCT	,
,	PUNCT	,
cadavre	NOUN	cadavre
pas	ADV	pas
.	PUNCT	.
d'	ADP	de
à	ADP	à
l'	DET	le
.	PUNCT	.
--	PUNCT	--
service	NOUN	service
.	PUNCT	.
,	PUNCT	,
déjà	ADV	déjà
expliquant	VERB	expliquer
Barcelone	PROPN	Barcelone
qu'	SCONJ	que
.	PUNCT	.
.	PUNCT	.
salement	ADV	salement
qui	PRON	qui
et	CCONJ	et
vif	NOUN	vif
beau	ADJ	beau
renversé	VERB	renverser
deux	NUM	deux
«	PUNCT	«
les	DET	le
temps	NOUN	temps
penchaient	VERB	pencher
,	PUNCT	,
le	DET	le
,	PUNCT	,
mort	ADJ	mort
transporter	VERB	transporter
stridents	ADJ	strident
ce	DET	ce
je	PRON	je
Pendant	ADP	pendant
orange	ADJ	orange
aboyait	VERB	aboyer
Quelle	DET	quel
.	PUNCT	.
des	ADP	de
vers	ADP	vers
ce	DET	ce
De	ADP	de
se	PRON	se
!	PUNCT	!
la	DET	le
,	PUNCT	,
,	PUNCT	,
à	ADP	à
en	ADP	en
lettres	NOUN	lettre
engueuler	VERB	engueuler
,	PUNCT	,
il	PRON	il
heure	NOUN	heure
des	ADP	de
.	PUNCT	.
communiquait	VERB	communiquer
ne	ADV	ne
.	PUNCT	.
chaque	DET	chaque
de	ADP	de
uniforme	NOUN	uniforme
des	ADP	de
qu'	SCONJ	que
devant	ADP	devant
papier	NOUN	papier
y	PRON	y
avoir	VERB	avoir
.	PUNCT	.
ouvert	ADJ	ouvert
pour	ADP	pour
rappelait	VERB	rappeler
un	DET	un
sortit	VERB	sortir
arrière	NOUN	arrière
à	ADP	à
les	DET	le
,	PUNCT	,
,	PUNCT	,
leur	DET	leur
est	AUX	être
.	PUNCT	.
au	ADP	au
-	PROPN	-
contre	ADP	contre
repos	NOUN	repos
sur	ADP	sur
,	PUNCT	,
de	ADP	de
et	CCONJ	et
emballés	VERB	emballer
le	PRON	le
tu	PRON	tu
silence	NOUN	silence
y	PRON	y
ciel	NOUN	ciel
yeux	NOUN	oeil
espadrilles	NOUN	espadrille
sais	VERB	savoir
Le	DET	le
attends	VERB	attendre
la	DET	le
pas	ADV	pas
broyeurs	NOUN	broyeur
Aucun	DET	aucun
il	PRON	il
dans	ADP	dans
Brigades	NOUN	brigade
tranquillement	ADV	tranquillement
la	DET	le
ceux	PRON	celui
y	PRON	y
ayant	AUX	avoir
furtive	ADJ	furtif
tourna	VERB	tourner
excessive	ADJ	excessif
un	DET	un
Eaux	PROPN	Eaux
est	VERB	être
éboueurs	NOUN	éboueur
long	ADJ	long
flics	NOUN	flic
mort	ADJ	mort
trottoir	NOUN	trottoir
