Tenez	VERB	tenir
dressait	VERB	dresser
rosiers	NOUN	rosier
ajouté	VERB	ajouter
se	PRON	se
«	PUNCT	«
inspecteur	NOUN	inspecteur
des	ADP	de
De	ADP	de
Mr	NOUN	mr
donc	ADV	donc
je	PRON	je
doute	NOUN	doute
stylo	NOUN	stylo
de	ADP	de
feriez	VERB	faire
laissé	VERB	laisser
de	ADP	de
»	PUNCT	»
.	PUNCT	.
chez	ADP	chez
de	ADP	de
Quelque	DET	quelque
pour	ADP	pour
se	PRON	se
une	DET	un
éclats	NOUN	éclat
les	DET	le
il	PRON	il
Mr	NOUN	mr
que	SCONJ	que
le	DET	le
!	PUNCT	!
recette	NOUN	recette
...	PUNCT	...
réfléchit	VERB	réfléchir
cette	DET	ce
»	PUNCT	»
zélés	ADJ	zélé
le	DET	le
Vous	PRON	vous
pour	ADP	pour
gens	NOUN	gens
,	PUNCT	,
,	PUNCT	,
certaine	ADJ	certain
Norwich	PROPN	Norwich
au	ADP	au
shorts	NOUN	short
Bowers	PROPN	Bowers
—	PUNCT	—
Un	DET	un
des	DET	un
,	PUNCT	,
la	DET	le
matin	NOUN	matin
signe	NOUN	signe
,	PUNCT	,
des	DET	un
Piggot	PROPN	Piggot
soudain	ADV	soudain
bar	NOUN	bar
de	ADP	de
passe	VERB	passer
Le	DET	le
de	ADP	de
de	ADP	de
,	PUNCT	,
»	PUNCT	»
-moi	PRON	moi
en	ADP	en
au	ADP	au
s'	PRON	se
indiqua	VERB	indiquer
Une	DET	un
Pourquoi	ADV	pourquoi
—	PUNCT	—
situaient	VERB	situer
travaille	VERB	travaille
ai	AUX	avoir
—	PUNCT	—
,	PUNCT	,
seconde	NOUN	seconde
s'	PRON	se
malheurs	NOUN	malheur
Piggot	PROPN	Piggot
passé	VERB	passer
garagiste	NOUN	garagiste
le	PRON	le
et	CCONJ	et
n'	ADV	n'
Piggot	PROPN	Piggot
sait	VERB	savoir
écoulés	VERB	écouler
est	AUX	être
un	DET	un
sept	NUM	sept
La	DET	le
plus	ADV	plus
veuve	NOUN	veuve
,	PUNCT	,
une	DET	un
Mais	CCONJ	mais
,	PUNCT	,
?	PUNCT	?
,	PUNCT	,
que	SCONJ	que
dans	ADP	dans
,	PUNCT	,
vous	PRON	vous
endroit	NOUN	endroit
intention	NOUN	intention
les	DET	le
Weems	PROPN	Weems
inattendue	ADJ	inattendu
connaissions	VERB	connaître
que	SCONJ	que
,	PUNCT	,
voyageurs	NOUN	voyageur
cet	DET	ce
le	DET	le
savons	VERB	savoir
son	DET	son
pas	ADV	pas
tout	ADV	tout
sur	ADP	sur
une	DET	un
Jusqu'	ADP	jusque
ouvert	VERB	ouvrir
l'	DET	le
rentré	VERB	rentrer
chose	NOUN	chose
la	DET	le
semaine	NOUN	semaine
il	PRON	il
—	PUNCT	—
dirigea	VERB	diriger
taquinaient	VERB	taquiner
—	PUNCT	—
de	ADP	de
nous	PRON	nous
a	AUX	avoir
-il	PRON	il
sur	ADP	sur
temps	NOUN	temps
pub	NOUN	pub
repartait	VERB	repartir
Piggot	PROPN	Piggot
repas	NOUN	repas
trois	NUM	trois
